time,TVL (USD)
2020-06-11T03:00:00Z,$91614138
2020-06-11T00:00:00Z,$88062576
2020-06-10T00:00:00Z,$81195845
2020-06-09T00:00:00Z,$73787327
2020-06-08T00:00:00Z,$72963931
2020-06-07T00:00:00Z,$70001629
2020-06-06T00:00:00Z,$68586545
2020-06-05T00:00:00Z,$67296663
2020-06-04T00:00:00Z,$67908135
2020-06-03T00:00:00Z,$65575076
2020-06-02T00:00:00Z,$66476570
2020-06-01T00:00:00Z,$64085170
2020-05-31T00:00:00Z,$64524244
2020-05-30T00:00:00Z,$59091478
2020-05-29T00:00:00Z,$57186687
2020-05-28T00:00:00Z,$56253931
2020-05-27T00:00:00Z,$55794099
2020-05-26T00:00:00Z,$56648200
2020-05-25T00:00:00Z,$56336114
2020-05-24T00:00:00Z,$56517226
2020-05-23T00:00:00Z,$58061579
2020-05-22T00:00:00Z,$54962599
2020-05-21T00:00:00Z,$57777881
2020-05-20T00:00:00Z,$55969507
2020-05-19T00:00:00Z,$53532448
2020-05-18T00:00:00Z,$53071448
2020-05-17T00:00:00Z,$53240396
2020-05-16T00:00:00Z,$52526928
2020-05-15T00:00:00Z,$52756822
2020-05-14T00:00:00Z,$50794116
2020-05-13T00:00:00Z,$48932445
2020-05-12T00:00:00Z,$50246139
2020-05-11T00:00:00Z,$50741156
2020-05-10T00:00:00Z,$52805927
2020-05-09T00:00:00Z,$51694170
2020-05-08T00:00:00Z,$47555632
2020-05-07T00:00:00Z,$45120595
2020-05-06T00:00:00Z,$42933336
2020-05-05T00:00:00Z,$43177879
2020-05-04T00:00:00Z,$41840009
2020-05-03T00:00:00Z,$43130333
2020-05-02T00:00:00Z,$43934807
2020-05-01T00:00:00Z,$42354290
2020-04-30T00:00:00Z,$44432028
2020-04-29T00:00:00Z,$42450124
2020-04-28T00:00:00Z,$39034171
2020-04-27T00:00:00Z,$39348865
2020-04-26T00:00:00Z,$39026224
2020-04-25T00:00:00Z,$38306559
2020-04-24T00:00:00Z,$37359239
2020-04-23T00:00:00Z,$39693636
2020-04-22T00:00:00Z,$39074475
2020-04-21T00:00:00Z,$44943841
2020-04-20T00:00:00Z,$47258282
2020-04-19T00:00:00Z,$42483349
2020-04-18T00:00:00Z,$40239950
2020-04-17T00:00:00Z,$40248213
2020-04-16T00:00:00Z,$36288894
2020-04-15T00:00:00Z,$37913044
2020-04-14T00:00:00Z,$37458777
2020-04-13T00:00:00Z,$38042043
2020-04-12T00:00:00Z,$37548102
2020-04-11T00:00:00Z,$36900068
2020-04-10T00:00:00Z,$38652854
2020-04-09T00:00:00Z,$36940062
2020-04-08T00:00:00Z,$34566606
2020-04-07T00:00:00Z,$33238367
2020-04-06T00:00:00Z,$30636560
2020-04-05T00:00:00Z,$30947985
2020-04-04T00:00:00Z,$30432402
2020-04-03T00:00:00Z,$30176346
2020-04-02T00:00:00Z,$29778170
2020-04-01T00:00:00Z,$29616651
2020-03-31T00:00:00Z,$28744641
2020-03-30T00:00:00Z,$27635738
2020-03-29T00:00:00Z,$29312843
2020-03-28T00:00:00Z,$29297432
2020-03-27T00:00:00Z,$30143309
2020-03-26T00:00:00Z,$28612093
2020-03-25T00:00:00Z,$29282748
2020-03-24T00:00:00Z,$29076831
2020-03-23T00:00:00Z,$26725152
2020-03-22T00:00:00Z,$30862493
2020-03-21T00:00:00Z,$28542811
2020-03-20T00:00:00Z,$27252807
2020-03-19T00:00:00Z,$25017574
2020-03-18T00:00:00Z,$23467351
2020-03-17T00:00:00Z,$23949023
2020-03-16T00:00:00Z,$25527899
2020-03-15T00:00:00Z,$24011171
2020-03-14T00:00:00Z,$24915277
2020-03-13T00:00:00Z,$19735871
2020-03-12T00:00:00Z,$27578054
2020-03-11T00:00:00Z,$27430745
2020-03-10T00:00:00Z,$27237089
2020-03-09T00:00:00Z,$26274281
2020-03-08T00:00:00Z,$22463695
2020-03-07T00:00:00Z,$23768670
2020-03-06T00:00:00Z,$22989841
2020-03-05T00:00:00Z,$21863168
2020-03-04T00:00:00Z,$21933848
2020-03-03T00:00:00Z,$21029088
2020-03-02T00:00:00Z,$20519363
2020-03-01T00:00:00Z,$20320134
2020-02-29T00:00:00Z,$20342783
2020-02-28T00:00:00Z,$19497219
2020-02-27T00:00:00Z,$18634128
2020-02-26T00:00:00Z,$15588551
2020-02-25T00:00:00Z,$16508845
2020-02-24T00:00:00Z,$16180780
2020-02-23T00:00:00Z,$15595441
2020-02-22T00:00:00Z,$15728012
2020-02-21T00:00:00Z,$15248290
2020-02-20T00:00:00Z,$14582324
2020-02-19T00:00:00Z,$15371513
2020-02-18T00:00:00Z,$14566604
2020-02-17T00:00:00Z,$14275359
2020-02-16T00:00:00Z,$13851130
2020-02-15T00:00:00Z,$14313984
2020-02-14T00:00:00Z,$12009511
2020-02-13T00:00:00Z,$11430328
2020-02-12T00:00:00Z,$10978955
2020-02-11T00:00:00Z,$10146617
2020-02-10T00:00:00Z,$10128531
2020-02-09T00:00:00Z,$9278590
2020-02-08T00:00:00Z,$9296669
2020-02-07T00:00:00Z,$8190244
2020-02-06T00:00:00Z,$7741429
2020-02-05T00:00:00Z,$7038091
2020-02-04T00:00:00Z,$6654286
2020-02-03T00:00:00Z,$6232633
2020-02-02T00:00:00Z,$5840371
2020-02-01T00:00:00Z,$5501333
2020-01-31T00:00:00Z,$5308317
2020-01-30T00:00:00Z,$4978321
2020-01-29T00:00:00Z,$5033854
2020-01-28T00:00:00Z,$4707850
2020-01-27T00:00:00Z,$4481439
2020-01-26T00:00:00Z,$4136532
2020-01-25T00:00:00Z,$4158881
2020-01-24T00:00:00Z,$3949684
2020-01-23T00:00:00Z,$4020737
2020-01-22T00:00:00Z,$3772805
2020-01-21T00:00:00Z,$3006996
2020-01-20T00:00:00Z,$2956981
2020-01-19T00:00:00Z,$2648338
2020-01-18T00:00:00Z,$2518152
2020-01-17T00:00:00Z,$2397260
2020-01-16T00:00:00Z,$2217877
2020-01-15T00:00:00Z,$2037786
2020-01-14T00:00:00Z,$2013974
2020-01-13T00:00:00Z,$1145212
2020-01-12T00:00:00Z,$993936
2020-01-11T00:00:00Z,$812149
2020-01-10T00:00:00Z,$429423
2020-01-09T00:00:00Z,$319620
2020-01-08T00:00:00Z,$0
2020-01-07T00:00:00Z,$0
