time,TVL (USD)
2020-06-11T03:00:00Z,$400033
2020-06-11T00:00:00Z,$394904
2020-06-10T00:00:00Z,$392203
2020-06-09T00:00:00Z,$395949
2020-06-08T00:00:00Z,$391817
2020-06-07T00:00:00Z,$387637
2020-06-06T00:00:00Z,$386173
2020-06-05T00:00:00Z,$389341
2020-06-04T00:00:00Z,$390515
2020-06-03T00:00:00Z,$381414
2020-06-02T00:00:00Z,$392566
2020-06-01T00:00:00Z,$372307
2020-05-31T00:00:00Z,$391232
2020-05-30T00:00:00Z,$352964
2020-05-29T00:00:00Z,$351613
2020-05-28T00:00:00Z,$333573
2020-05-27T00:00:00Z,$326659
2020-05-26T00:00:00Z,$332693
2020-05-25T00:00:00Z,$331566
2020-05-24T00:00:00Z,$337478
2020-05-23T00:00:00Z,$337268
2020-05-22T00:00:00Z,$323914
2020-05-21T00:00:00Z,$338895
2020-05-20T00:00:00Z,$344324
2020-05-19T00:00:00Z,$345049
2020-05-18T00:00:00Z,$332742
2020-05-17T00:00:00Z,$323793
2020-05-16T00:00:00Z,$314602
2020-05-15T00:00:00Z,$327066
2020-05-14T00:00:00Z,$322713
2020-05-13T00:00:00Z,$309281
2020-05-12T00:00:00Z,$301267
2020-05-11T00:00:00Z,$303734
2020-05-10T00:00:00Z,$337582
2020-05-09T00:00:00Z,$339952
2020-05-08T00:00:00Z,$340498
2020-05-07T00:00:00Z,$320500
2020-05-06T00:00:00Z,$331064
2020-05-05T00:00:00Z,$333934
2020-05-04T00:00:00Z,$339977
2020-05-03T00:00:00Z,$344549
2020-05-02T00:00:00Z,$344209
2020-05-01T00:00:00Z,$334612
2020-04-30T00:00:00Z,$347591
2020-04-29T00:00:00Z,$317714
2020-04-28T00:00:00Z,$317760
2020-04-27T00:00:00Z,$318339
2020-04-26T00:00:00Z,$314694
2020-04-25T00:00:00Z,$303483
2020-04-24T00:00:00Z,$299821
2020-04-23T00:00:00Z,$297951
2020-04-22T00:00:00Z,$284361
2020-04-21T00:00:00Z,$284329
2020-04-20T00:00:00Z,$306901
2020-04-19T00:00:00Z,$318673
2020-04-18T00:00:00Z,$290745
2020-04-17T00:00:00Z,$292227
2020-04-16T00:00:00Z,$263227
2020-04-15T00:00:00Z,$271614
2020-04-14T00:00:00Z,$265098
2020-04-13T00:00:00Z,$268483
2020-04-12T00:00:00Z,$269005
2020-04-11T00:00:00Z,$266522
2020-04-10T00:00:00Z,$278917
2020-04-09T00:00:00Z,$283964
2020-04-08T00:00:00Z,$270384
2020-04-07T00:00:00Z,$281065
2020-04-06T00:00:00Z,$235361
2020-04-05T00:00:00Z,$237271
2020-04-04T00:00:00Z,$232048
2020-04-03T00:00:00Z,$232359
2020-04-02T00:00:00Z,$223531
2020-04-01T00:00:00Z,$223140
2020-03-31T00:00:00Z,$221632
2020-03-30T00:00:00Z,$213222
2020-03-29T00:00:00Z,$223762
2020-03-28T00:00:00Z,$252608
2020-03-27T00:00:00Z,$266172
2020-03-26T00:00:00Z,$260732
2020-03-25T00:00:00Z,$265534
2020-03-24T00:00:00Z,$260903
2020-03-23T00:00:00Z,$235488
2020-03-22T00:00:00Z,$254292
2020-03-21T00:00:00Z,$255058
2020-03-20T00:00:00Z,$261683
2020-03-19T00:00:00Z,$228049
2020-03-18T00:00:00Z,$231755
2020-03-17T00:00:00Z,$223012
2020-03-16T00:00:00Z,$250554
2020-03-15T00:00:00Z,$253170
2020-03-14T00:00:00Z,$278287
2020-03-13T00:00:00Z,$223743
2020-03-12T00:00:00Z,$402634
2020-03-11T00:00:00Z,$418291
2020-03-10T00:00:00Z,$425954
2020-03-09T00:00:00Z,$448084
2020-03-08T00:00:00Z,$563149
2020-03-07T00:00:00Z,$583873
