time,TVL (USD)
2020-06-11T03:00:00Z,$20211107
2020-06-11T00:00:00Z,$19625169
2020-06-10T00:00:00Z,$18188118
2020-06-09T00:00:00Z,$18263752
2020-06-08T00:00:00Z,$18414798
2020-06-07T00:00:00Z,$16349402
2020-06-06T00:00:00Z,$16063055
2020-06-05T00:00:00Z,$16288289
2020-06-04T00:00:00Z,$16625559
2020-06-03T00:00:00Z,$16147623
2020-06-02T00:00:00Z,$16621494
2020-06-01T00:00:00Z,$16191279
2020-05-31T00:00:00Z,$16183809
2020-05-30T00:00:00Z,$15643800
2020-05-29T00:00:00Z,$16451068
2020-05-28T00:00:00Z,$14371054
2020-05-27T00:00:00Z,$12906590
2020-05-26T00:00:00Z,$13285512
2020-05-25T00:00:00Z,$12450527
2020-05-24T00:00:00Z,$12213842
2020-05-23T00:00:00Z,$10723939
2020-05-22T00:00:00Z,$9872906
2020-05-21T00:00:00Z,$10246336
2020-05-20T00:00:00Z,$10595975
2020-05-19T00:00:00Z,$11000737
2020-05-18T00:00:00Z,$10248122
2020-05-17T00:00:00Z,$8651823
2020-05-16T00:00:00Z,$8329274
2020-05-15T00:00:00Z,$8592996
2020-05-14T00:00:00Z,$8429302
2020-05-13T00:00:00Z,$8145851
2020-05-12T00:00:00Z,$7920396
2020-05-11T00:00:00Z,$7992964
2020-05-10T00:00:00Z,$8737592
2020-05-09T00:00:00Z,$8831049
2020-05-08T00:00:00Z,$8720432
2020-05-07T00:00:00Z,$8365363
2020-05-06T00:00:00Z,$8582195
2020-05-05T00:00:00Z,$8566492
2020-05-04T00:00:00Z,$8729293
2020-05-03T00:00:00Z,$8996794
2020-05-02T00:00:00Z,$8897191
2020-05-01T00:00:00Z,$8653907
2020-04-30T00:00:00Z,$9026545
2020-04-29T00:00:00Z,$8477466
2020-04-28T00:00:00Z,$8381527
2020-04-27T00:00:00Z,$8449370
2020-04-26T00:00:00Z,$8724083
2020-04-25T00:00:00Z,$8449810
2020-04-24T00:00:00Z,$8290569
2020-04-23T00:00:00Z,$8068203
2020-04-22T00:00:00Z,$7648641
2020-04-21T00:00:00Z,$7649336
2020-04-20T00:00:00Z,$7930516
2020-04-19T00:00:00Z,$8139518
2020-04-18T00:00:00Z,$7583279
2020-04-17T00:00:00Z,$7623460
2020-04-16T00:00:00Z,$7158087
2020-04-15T00:00:00Z,$7371911
2020-04-14T00:00:00Z,$7211511
2020-04-13T00:00:00Z,$7311598
2020-04-12T00:00:00Z,$7305672
2020-04-11T00:00:00Z,$7320281
2020-04-10T00:00:00Z,$7850895
2020-04-09T00:00:00Z,$7941344
2020-04-08T00:00:00Z,$7645233
2020-04-07T00:00:00Z,$7927534
2020-04-06T00:00:00Z,$7115396
2020-04-05T00:00:00Z,$7158517
2020-04-04T00:00:00Z,$7038149
2020-04-03T00:00:00Z,$7028552
2020-04-02T00:00:00Z,$6867976
2020-04-01T00:00:00Z,$6716197
2020-03-31T00:00:00Z,$6642191
2020-03-30T00:00:00Z,$6308746
2020-03-29T00:00:00Z,$6599128
2020-03-28T00:00:00Z,$6679537
2020-03-27T00:00:00Z,$6969794
2020-03-26T00:00:00Z,$6785254
2020-03-25T00:00:00Z,$6884448
2020-03-24T00:00:00Z,$6704969
2020-03-23T00:00:00Z,$6168904
2020-03-22T00:00:00Z,$6571101
2020-03-21T00:00:00Z,$6520295
2020-03-20T00:00:00Z,$6793925
2020-03-19T00:00:00Z,$5757046
2020-03-18T00:00:00Z,$5591353
2020-03-17T00:00:00Z,$5306566
2020-03-16T00:00:00Z,$5902975
2020-03-15T00:00:00Z,$5784730
2020-03-14T00:00:00Z,$6194834
2020-03-13T00:00:00Z,$5181686
2020-03-12T00:00:00Z,$9201024
2020-03-11T00:00:00Z,$9347777
2020-03-10T00:00:00Z,$9362588
2020-03-09T00:00:00Z,$9354015
2020-03-08T00:00:00Z,$11056133
2020-03-07T00:00:00Z,$11435637
2020-03-06T00:00:00Z,$10942780
2020-03-05T00:00:00Z,$10664717
2020-03-04T00:00:00Z,$10528511
2020-03-03T00:00:00Z,$10840127
2020-03-02T00:00:00Z,$10258523
2020-03-01T00:00:00Z,$10279693
2020-02-29T00:00:00Z,$10546499
2020-02-28T00:00:00Z,$10611044
2020-02-27T00:00:00Z,$10359822
2020-02-26T00:00:00Z,$11487167
2020-02-25T00:00:00Z,$12365840
2020-02-24T00:00:00Z,$12845624
2020-02-23T00:00:00Z,$12455414
2020-02-22T00:00:00Z,$12485665
2020-02-21T00:00:00Z,$12299514
2020-02-20T00:00:00Z,$12041770
2020-02-19T00:00:00Z,$12916767
2020-02-18T00:00:00Z,$12245379
2020-02-17T00:00:00Z,$11986569
2020-02-16T00:00:00Z,$12381581
2020-02-15T00:00:00Z,$13346892
2020-02-14T00:00:00Z,$12872052
2020-02-13T00:00:00Z,$12912178
2020-02-12T00:00:00Z,$11897050
2020-02-11T00:00:00Z,$11336791
2020-02-10T00:00:00Z,$11471002
2020-02-09T00:00:00Z,$11212129
2020-02-08T00:00:00Z,$11276939
2020-02-07T00:00:00Z,$10760588
2020-02-06T00:00:00Z,$10229950
2020-02-05T00:00:00Z,$9674480
2020-02-04T00:00:00Z,$9474808
2020-02-03T00:00:00Z,$9463636
2020-02-02T00:00:00Z,$9262090
2020-02-01T00:00:00Z,$8998659
2020-01-31T00:00:00Z,$9165974
2020-01-30T00:00:00Z,$8907049
2020-01-29T00:00:00Z,$9069118
2020-01-28T00:00:00Z,$8776003
