time,TVL (USD)
2020-06-11T03:00:00Z,$92013692
2020-06-11T00:00:00Z,$90656441
2020-06-10T00:00:00Z,$105314592
2020-06-09T00:00:00Z,$107129905
2020-06-08T00:00:00Z,$115044144
2020-06-07T00:00:00Z,$113945596
2020-06-06T00:00:00Z,$111574820
2020-06-05T00:00:00Z,$113576532
2020-06-04T00:00:00Z,$113169458
2020-06-03T00:00:00Z,$100573064
2020-06-02T00:00:00Z,$104850412
2020-06-01T00:00:00Z,$99786126
2020-05-31T00:00:00Z,$103937024
2020-05-30T00:00:00Z,$95993270
2020-05-29T00:00:00Z,$98719570
2020-05-28T00:00:00Z,$98531534
2020-05-27T00:00:00Z,$97622721
2020-05-26T00:00:00Z,$95576256
2020-05-25T00:00:00Z,$95472473
2020-05-24T00:00:00Z,$102129937
2020-05-23T00:00:00Z,$104221619
2020-05-22T00:00:00Z,$104398696
2020-05-21T00:00:00Z,$103673626
2020-05-20T00:00:00Z,$105293235
2020-05-19T00:00:00Z,$105661660
2020-05-18T00:00:00Z,$106196467
2020-05-17T00:00:00Z,$104230628
2020-05-16T00:00:00Z,$99149478
2020-05-15T00:00:00Z,$101848048
2020-05-14T00:00:00Z,$104955181
2020-05-13T00:00:00Z,$98791126
2020-05-12T00:00:00Z,$97307452
2020-05-11T00:00:00Z,$95382722
2020-05-10T00:00:00Z,$100001048
2020-05-09T00:00:00Z,$99843731
2020-05-08T00:00:00Z,$97885979
2020-05-07T00:00:00Z,$95728547
2020-05-06T00:00:00Z,$97790402
2020-05-05T00:00:00Z,$98338238
2020-05-04T00:00:00Z,$100463207
2020-05-03T00:00:00Z,$101150704
2020-05-02T00:00:00Z,$102851047
2020-05-01T00:00:00Z,$94689596
2020-04-30T00:00:00Z,$98461357
2020-04-29T00:00:00Z,$94262169
2020-04-28T00:00:00Z,$93936042
2020-04-27T00:00:00Z,$79648265
2020-04-26T00:00:00Z,$91527389
2020-04-25T00:00:00Z,$88760224
2020-04-24T00:00:00Z,$89325437
2020-04-23T00:00:00Z,$91877843
2020-04-22T00:00:00Z,$87691040
2020-04-21T00:00:00Z,$87178845
2020-04-20T00:00:00Z,$96207820
2020-04-19T00:00:00Z,$99862427
2020-04-18T00:00:00Z,$96939153
2020-04-17T00:00:00Z,$96085205
2020-04-16T00:00:00Z,$93341701
2020-04-15T00:00:00Z,$95500999
2020-04-14T00:00:00Z,$94905908
2020-04-13T00:00:00Z,$96345511
2020-04-12T00:00:00Z,$94404382
2020-04-11T00:00:00Z,$94186303
2020-04-10T00:00:00Z,$99645278
2020-04-09T00:00:00Z,$100381292
2020-04-08T00:00:00Z,$99593395
2020-04-07T00:00:00Z,$100879248
2020-04-06T00:00:00Z,$94886774
2020-04-05T00:00:00Z,$94736309
2020-04-04T00:00:00Z,$92362584
2020-04-03T00:00:00Z,$93656486
2020-04-02T00:00:00Z,$93260019
2020-04-01T00:00:00Z,$89922260
2020-03-31T00:00:00Z,$90244470
2020-03-30T00:00:00Z,$86747306
2020-03-29T00:00:00Z,$90663273
2020-03-28T00:00:00Z,$90070040
2020-03-27T00:00:00Z,$91994898
2020-03-26T00:00:00Z,$82492856
2020-03-25T00:00:00Z,$83238770
2020-03-24T00:00:00Z,$81105314
2020-03-23T00:00:00Z,$76088831
2020-03-22T00:00:00Z,$111116264
2020-03-21T00:00:00Z,$80262584
2020-03-20T00:00:00Z,$81862899
2020-03-19T00:00:00Z,$78304719
2020-03-18T00:00:00Z,$71583930
2020-03-17T00:00:00Z,$71160453
2020-03-16T00:00:00Z,$77139537
