time,TVL (USD)
2020-06-11T03:00:00Z,$12530
2020-06-11T00:00:00Z,$12498
2020-06-10T00:00:00Z,$12490
2020-06-09T00:00:00Z,$12474
2020-06-08T00:00:00Z,$12555
2020-06-07T00:00:00Z,$12406
2020-06-06T00:00:00Z,$12454
2020-06-05T00:00:00Z,$12488
2020-06-04T00:00:00Z,$12438
2020-06-03T00:00:00Z,$12360
2020-06-02T00:00:00Z,$12636
2020-06-01T00:00:00Z,$12295
2020-05-31T00:00:00Z,$12501
2020-05-30T00:00:00Z,$12215
2020-05-29T00:00:00Z,$12519
2020-05-28T00:00:00Z,$12482
2020-05-27T00:00:00Z,$12365
2020-05-26T00:00:00Z,$12340
2020-05-25T00:00:00Z,$12218
2020-05-24T00:00:00Z,$12437
2020-05-23T00:00:00Z,$12510
2020-05-22T00:00:00Z,$12345
2020-05-21T00:00:00Z,$12401
2020-05-20T00:00:00Z,$12324
2020-05-19T00:00:00Z,$12378
2020-05-18T00:00:00Z,$12301
2020-05-17T00:00:00Z,$12422
2020-05-16T00:00:00Z,$12190
2020-05-15T00:00:00Z,$12473
2020-05-14T00:00:00Z,$12659
2020-05-13T00:00:00Z,$12383
2020-05-12T00:00:00Z,$12282
2020-05-11T00:00:00Z,$12426
2020-05-10T00:00:00Z,$12341
2020-05-09T00:00:00Z,$12400
2020-05-08T00:00:00Z,$12447
2020-05-07T00:00:00Z,$12359
2020-05-06T00:00:00Z,$12407
2020-05-05T00:00:00Z,$12385
2020-05-04T00:00:00Z,$12228
2020-05-03T00:00:00Z,$12370
2020-05-02T00:00:00Z,$12316
2020-05-01T00:00:00Z,$12278
2020-04-30T00:00:00Z,$12517
2020-04-29T00:00:00Z,$12322
2020-04-28T00:00:00Z,$12374
2020-04-27T00:00:00Z,$12402
2020-04-26T00:00:00Z,$12510
2020-04-25T00:00:00Z,$12461
2020-04-24T00:00:00Z,$12274
2020-04-23T00:00:00Z,$12482
2020-04-22T00:00:00Z,$12381
2020-04-21T00:00:00Z,$12151
2020-04-20T00:00:00Z,$12397
2020-04-19T00:00:00Z,$12385
2020-04-18T00:00:00Z,$12414
2020-04-17T00:00:00Z,$12457
2020-04-16T00:00:00Z,$11986
2020-04-15T00:00:00Z,$12119
2020-04-14T00:00:00Z,$12325
2020-04-13T00:00:00Z,$12442
2020-04-12T00:00:00Z,$12686
2020-04-11T00:00:00Z,$12564
2020-04-10T00:00:00Z,$12452
2020-04-09T00:00:00Z,$12574
2020-04-08T00:00:00Z,$12574
2020-04-07T00:00:00Z,$12696
2020-04-06T00:00:00Z,$12452
2020-04-05T00:00:00Z,$12578
2020-04-04T00:00:00Z,$12446
2020-04-03T00:00:00Z,$12938
2020-04-02T00:00:00Z,$13056
2020-04-01T00:00:00Z,$12691
2020-03-31T00:00:00Z,$12575
2020-03-30T00:00:00Z,$12575
2020-03-29T00:00:00Z,$12697
2020-03-28T00:00:00Z,$13186
2020-03-27T00:00:00Z,$12941
2020-03-26T00:00:00Z,$12697
2020-03-25T00:00:00Z,$12936
2020-03-24T00:00:00Z,$12936
2020-03-23T00:00:00Z,$12447
2020-03-22T00:00:00Z,$12692
2020-03-21T00:00:00Z,$12328
2020-03-20T00:00:00Z,$12450
2020-03-19T00:00:00Z,$12573
2020-03-18T00:00:00Z,$12817
2020-03-17T00:00:00Z,$13409
2020-03-16T00:00:00Z,$13044
2020-03-15T00:00:00Z,$12434
2020-03-14T00:00:00Z,$13288
2020-03-13T00:00:00Z,$11995
2020-03-12T00:00:00Z,$12434
2020-03-11T00:00:00Z,$12678
2020-03-10T00:00:00Z,$12800
2020-03-09T00:00:00Z,$12032
2020-03-08T00:00:00Z,$12341
2020-03-07T00:00:00Z,$12463
2020-03-06T00:00:00Z,$12178
2020-03-05T00:00:00Z,$12421
2020-03-04T00:00:00Z,$12244
2020-03-03T00:00:00Z,$12433
2020-03-02T00:00:00Z,$12295
2020-03-01T00:00:00Z,$12310
2020-02-29T00:00:00Z,$12173
2020-02-28T00:00:00Z,$12272
2020-02-27T00:00:00Z,$12211
2020-02-26T00:00:00Z,$12151
2020-02-25T00:00:00Z,$12394
2020-02-24T00:00:00Z,$12140
2020-02-23T00:00:00Z,$12868
2020-02-22T00:00:00Z,$12261
2020-02-21T00:00:00Z,$12019
2020-02-20T00:00:00Z,$12155
2020-02-19T00:00:00Z,$12155
2020-02-18T00:00:00Z,$12116
2020-02-17T00:00:00Z,$12249
2020-02-16T00:00:00Z,$12128
2020-02-15T00:00:00Z,$12269
2020-02-14T00:00:00Z,$12147
2020-02-13T00:00:00Z,$12103
2020-02-12T00:00:00Z,$12261
2020-02-11T00:00:00Z,$12091
2020-02-10T00:00:00Z,$12127
2020-02-09T00:00:00Z,$12139
2020-02-08T00:00:00Z,$12382
2020-02-07T00:00:00Z,$12276
2020-02-06T00:00:00Z,$12159
2020-02-05T00:00:00Z,$12281
2020-02-04T00:00:00Z,$12159
2020-02-03T00:00:00Z,$12099
2020-02-02T00:00:00Z,$12159
2020-02-01T00:00:00Z,$12111
2020-01-31T00:00:00Z,$12281
2020-01-30T00:00:00Z,$12159
2020-01-29T00:00:00Z,$12403
2020-01-28T00:00:00Z,$12281
2020-01-27T00:00:00Z,$12403
2020-01-26T00:00:00Z,$12281
2020-01-25T00:00:00Z,$12281
2020-01-24T00:00:00Z,$12276
2020-01-23T00:00:00Z,$12290
2020-01-22T00:00:00Z,$12169
2020-01-21T00:00:00Z,$12169
2020-01-20T00:00:00Z,$12260
2020-01-19T00:00:00Z,$12139
2020-01-18T00:00:00Z,$12126
2020-01-17T00:00:00Z,$12260
2020-01-16T00:00:00Z,$12250
2020-01-15T00:00:00Z,$12250
2020-01-14T00:00:00Z,$12250
2020-01-13T00:00:00Z,$12371
2020-01-12T00:00:00Z,$12250
2020-01-11T00:00:00Z,$12371
2020-01-10T00:00:00Z,$12240
2020-01-09T00:00:00Z,$12250
2020-01-08T00:00:00Z,$12361
2020-01-07T00:00:00Z,$12482
2020-01-06T00:00:00Z,$12361
2020-01-05T00:00:00Z,$12361
2020-01-04T00:00:00Z,$12240
2020-01-03T00:00:00Z,$12240
2020-01-02T00:00:00Z,$12482
2020-01-01T00:00:00Z,$12361
2019-12-31T00:00:00Z,$12240
2019-12-30T00:00:00Z,$12482
2019-12-29T00:00:00Z,$12361
2019-12-28T00:00:00Z,$12244
2019-12-27T00:00:00Z,$12123
2019-12-26T00:00:00Z,$12487
2019-12-25T00:00:00Z,$12244
2019-12-24T00:00:00Z,$12107
2019-12-23T00:00:00Z,$12241
2019-12-22T00:00:00Z,$12241
2019-12-21T00:00:00Z,$12362
2019-12-20T00:00:00Z,$12362
2019-12-19T00:00:00Z,$12253
2019-12-18T00:00:00Z,$12131
2019-12-17T00:00:00Z,$12237
2019-12-16T00:00:00Z,$12237
2019-12-15T00:00:00Z,$12249
2019-12-14T00:00:00Z,$12127
2019-12-13T00:00:00Z,$12127
2019-12-12T00:00:00Z,$12370
2019-12-11T00:00:00Z,$12249
2019-12-10T00:00:00Z,$12127
2019-12-09T00:00:00Z,$12370
2019-12-08T00:00:00Z,$12259
2019-12-07T00:00:00Z,$12249
2019-12-06T00:00:00Z,$12219
2019-12-05T00:00:00Z,$11985
2019-12-04T00:00:00Z,$12202
2019-12-03T00:00:00Z,$12319
2019-12-02T00:00:00Z,$12198
2019-12-01T00:00:00Z,$12164
2019-11-30T00:00:00Z,$12164
2019-11-29T00:00:00Z,$12044
2019-11-28T00:00:00Z,$12044
2019-11-27T00:00:00Z,$12049
2019-11-26T00:00:00Z,$12009
2019-11-25T00:00:00Z,$11973
2019-11-24T00:00:00Z,$12165
2019-11-23T00:00:00Z,$11997
2019-11-22T00:00:00Z,$12165
2019-11-21T00:00:00Z,$12161
2019-11-20T00:00:00Z,$12143
2019-11-19T00:00:00Z,$12134
2019-11-18T00:00:00Z,$12262
2019-11-17T00:00:00Z,$12181
2019-11-16T00:00:00Z,$12178
2019-11-15T00:00:00Z,$12065
2019-11-14T00:00:00Z,$12079
2019-11-13T00:00:00Z,$12181
2019-11-12T00:00:00Z,$12201
2019-11-11T00:00:00Z,$12205
2019-11-10T00:00:00Z,$12184
2019-11-09T00:00:00Z,$12190
2019-11-08T00:00:00Z,$12158
2019-11-07T00:00:00Z,$12059
2019-11-06T00:00:00Z,$12101
2019-11-05T00:00:00Z,$11971
2019-11-04T00:00:00Z,$12091
2019-11-03T00:00:00Z,$11953
2019-11-02T00:00:00Z,$11947
