time,TVL (USD)
2020-06-11T03:00:00Z,$6545517
2020-06-11T00:00:00Z,$6550628
2020-06-10T00:00:00Z,$6455636
2020-06-09T00:00:00Z,$6464165
2020-06-08T00:00:00Z,$6530689
2020-06-07T00:00:00Z,$6527233
2020-06-06T00:00:00Z,$6382486
2020-06-05T00:00:00Z,$6431295
2020-06-04T00:00:00Z,$6321257
2020-06-03T00:00:00Z,$6389852
2020-06-02T00:00:00Z,$6707893
2020-06-01T00:00:00Z,$6644456
2020-05-31T00:00:00Z,$8293951
2020-05-30T00:00:00Z,$7875598
2020-05-29T00:00:00Z,$8019056
2020-05-28T00:00:00Z,$7793731
2020-05-27T00:00:00Z,$6600530
2020-05-26T00:00:00Z,$6742021
2020-05-25T00:00:00Z,$6812976
2020-05-24T00:00:00Z,$6821068
2020-05-23T00:00:00Z,$6815655
2020-05-22T00:00:00Z,$6549660
2020-05-21T00:00:00Z,$6544071
2020-05-20T00:00:00Z,$6572535
2020-05-19T00:00:00Z,$5343092
2020-05-18T00:00:00Z,$6038830
2020-05-17T00:00:00Z,$6025656
2020-05-16T00:00:00Z,$5870349
2020-05-15T00:00:00Z,$6061888
2020-05-14T00:00:00Z,$6024702
2020-05-13T00:00:00Z,$5722640
2020-05-12T00:00:00Z,$5284488
2020-05-11T00:00:00Z,$4852141
2020-05-10T00:00:00Z,$5382866
2020-05-09T00:00:00Z,$4585083
2020-05-08T00:00:00Z,$2981771
2020-05-07T00:00:00Z,$2686941
2020-05-06T00:00:00Z,$2935172
2020-05-05T00:00:00Z,$3913349
2020-05-04T00:00:00Z,$5085602
2020-05-03T00:00:00Z,$5074965
2020-05-02T00:00:00Z,$5037598
2020-05-01T00:00:00Z,$4864582
2020-04-30T00:00:00Z,$5018759
2020-04-29T00:00:00Z,$4850882
2020-04-28T00:00:00Z,$4804313
2020-04-27T00:00:00Z,$4652566
2020-04-26T00:00:00Z,$4797714
2020-04-25T00:00:00Z,$4668959
2020-04-24T00:00:00Z,$4738240
2020-04-23T00:00:00Z,$4849438
2020-04-22T00:00:00Z,$4673007
2020-04-21T00:00:00Z,$3976847
2020-04-20T00:00:00Z,$4364151
2020-04-19T00:00:00Z,$4453571
2020-04-18T00:00:00Z,$4218354
2020-04-17T00:00:00Z,$4282803
2020-04-16T00:00:00Z,$3863139
2020-04-15T00:00:00Z,$4179517
2020-04-14T00:00:00Z,$4017536
2020-04-13T00:00:00Z,$4051175
2020-04-12T00:00:00Z,$4004392
2020-04-11T00:00:00Z,$4050223
2020-04-10T00:00:00Z,$4336020
2020-04-09T00:00:00Z,$4386506
2020-04-08T00:00:00Z,$4245345
2020-04-07T00:00:00Z,$4410317
2020-04-06T00:00:00Z,$4256835
2020-04-05T00:00:00Z,$4315104
2020-04-04T00:00:00Z,$4132925
2020-04-03T00:00:00Z,$4148268
2020-04-02T00:00:00Z,$3937725
2020-04-01T00:00:00Z,$3887356
2020-03-31T00:00:00Z,$3777248
2020-03-30T00:00:00Z,$3729357
2020-03-29T00:00:00Z,$3712892
2020-03-28T00:00:00Z,$3786823
2020-03-27T00:00:00Z,$3850627
2020-03-26T00:00:00Z,$3988068
2020-03-25T00:00:00Z,$3126163
2020-03-24T00:00:00Z,$3089934
2020-03-23T00:00:00Z,$3161603
2020-03-22T00:00:00Z,$3233791
2020-03-21T00:00:00Z,$2963964
2020-03-20T00:00:00Z,$2929828
2020-03-19T00:00:00Z,$2852972
2020-03-18T00:00:00Z,$2710602
2020-03-17T00:00:00Z,$2706419
2020-03-16T00:00:00Z,$2321234
2020-03-15T00:00:00Z,$2279893
2020-03-14T00:00:00Z,$2329448
2020-03-13T00:00:00Z,$2325432
2020-03-12T00:00:00Z,$3259211
2020-03-11T00:00:00Z,$3400918
2020-03-10T00:00:00Z,$3668457
2020-03-09T00:00:00Z,$3865495
2020-03-08T00:00:00Z,$4142717
2020-03-07T00:00:00Z,$4061778
2020-03-06T00:00:00Z,$3906865
2020-03-05T00:00:00Z,$3892210
2020-03-04T00:00:00Z,$3742066
2020-03-03T00:00:00Z,$3831318
2020-03-02T00:00:00Z,$3585244
2020-03-01T00:00:00Z,$3481174
2020-02-29T00:00:00Z,$3554134
2020-02-28T00:00:00Z,$3531190
2020-02-27T00:00:00Z,$3407491
2020-02-26T00:00:00Z,$3514721
2020-02-25T00:00:00Z,$3481019
2020-02-24T00:00:00Z,$3563920
2020-02-23T00:00:00Z,$3561934
2020-02-22T00:00:00Z,$3523424
2020-02-21T00:00:00Z,$3476011
2020-02-20T00:00:00Z,$3414492
2020-02-19T00:00:00Z,$3559459
2020-02-18T00:00:00Z,$3512182
2020-02-17T00:00:00Z,$3413221
2020-02-16T00:00:00Z,$3866540
2020-02-15T00:00:00Z,$3806811
2020-02-14T00:00:00Z,$4306895
2020-02-13T00:00:00Z,$3998035
2020-02-12T00:00:00Z,$3426354
2020-02-11T00:00:00Z,$3219872
2020-02-10T00:00:00Z,$3268894
2020-02-09T00:00:00Z,$3282161
2020-02-08T00:00:00Z,$3241721
2020-02-07T00:00:00Z,$2810686
2020-02-06T00:00:00Z,$2608572
2020-02-05T00:00:00Z,$2507982
2020-02-04T00:00:00Z,$2723484
2020-02-03T00:00:00Z,$2859628
2020-02-02T00:00:00Z,$2772083
2020-02-01T00:00:00Z,$2632871
2020-01-31T00:00:00Z,$2881733
2020-01-30T00:00:00Z,$2668749
2020-01-29T00:00:00Z,$2503747
