time,TVL (USD)
2020-06-11T03:00:00Z,$1284920
2020-06-11T00:00:00Z,$1281823
2020-06-10T00:00:00Z,$1280229
2020-06-09T00:00:00Z,$1279535
2020-06-08T00:00:00Z,$1289160
2020-06-07T00:00:00Z,$1276322
2020-06-06T00:00:00Z,$1250118
2020-06-05T00:00:00Z,$1278105
2020-06-04T00:00:00Z,$1276916
2020-06-03T00:00:00Z,$1280763
2020-06-02T00:00:00Z,$1310138
2020-06-01T00:00:00Z,$1256276
2020-05-31T00:00:00Z,$1279465
2020-05-30T00:00:00Z,$1250082
2020-05-29T00:00:00Z,$1283622
2020-05-28T00:00:00Z,$1281579
2020-05-27T00:00:00Z,$1262529
2020-05-26T00:00:00Z,$1259296
2020-05-25T00:00:00Z,$1254397
2020-05-24T00:00:00Z,$1269030
2020-05-23T00:00:00Z,$1279113
2020-05-22T00:00:00Z,$1267687
2020-05-21T00:00:00Z,$1281220
2020-05-20T00:00:00Z,$1280131
2020-05-19T00:00:00Z,$1294145
2020-05-18T00:00:00Z,$1289913
2020-05-17T00:00:00Z,$1297729
2020-05-16T00:00:00Z,$1277560
2020-05-15T00:00:00Z,$1304375
2020-05-14T00:00:00Z,$1322205
2020-05-13T00:00:00Z,$1291282
2020-05-12T00:00:00Z,$1283463
2020-05-11T00:00:00Z,$1285753
2020-05-10T00:00:00Z,$1297624
2020-05-09T00:00:00Z,$1304492
2020-05-08T00:00:00Z,$1311611
2020-05-07T00:00:00Z,$1297380
2020-05-06T00:00:00Z,$1309348
2020-05-05T00:00:00Z,$1314445
2020-05-04T00:00:00Z,$1305476
2020-05-03T00:00:00Z,$1326683
2020-05-02T00:00:00Z,$1316311
2020-05-01T00:00:00Z,$1292036
2020-04-30T00:00:00Z,$1333735
2020-04-29T00:00:00Z,$1312500
2020-04-28T00:00:00Z,$1320567
2020-04-27T00:00:00Z,$1245142
2020-04-26T00:00:00Z,$1343682
2020-04-25T00:00:00Z,$1321199
2020-04-24T00:00:00Z,$1308597
2020-04-23T00:00:00Z,$1349650
2020-04-22T00:00:00Z,$1310089
2020-04-21T00:00:00Z,$1294570
2020-04-20T00:00:00Z,$1284860
2020-04-19T00:00:00Z,$1283269
2020-04-18T00:00:00Z,$1294666
2020-04-17T00:00:00Z,$1308799
2020-04-16T00:00:00Z,$1330998
2020-04-15T00:00:00Z,$1357620
2020-04-14T00:00:00Z,$1375383
2020-04-13T00:00:00Z,$1404327
2020-04-12T00:00:00Z,$1398071
2020-04-11T00:00:00Z,$1402391
2020-04-10T00:00:00Z,$1444924
2020-04-09T00:00:00Z,$1455335
2020-04-08T00:00:00Z,$1474819
2020-04-07T00:00:00Z,$1579296
2020-04-06T00:00:00Z,$1539798
2020-04-05T00:00:00Z,$1539526
2020-04-04T00:00:00Z,$1523098
2020-04-03T00:00:00Z,$1400951
2020-04-02T00:00:00Z,$1420699
2020-04-01T00:00:00Z,$1396089
2020-03-31T00:00:00Z,$1412072
2020-03-30T00:00:00Z,$1363274
2020-03-29T00:00:00Z,$1401316
2020-03-28T00:00:00Z,$1410776
2020-03-27T00:00:00Z,$1438868
2020-03-26T00:00:00Z,$1422981
2020-03-25T00:00:00Z,$1429496
2020-03-24T00:00:00Z,$1358719
2020-03-23T00:00:00Z,$1198985
2020-03-22T00:00:00Z,$1433195
2020-03-21T00:00:00Z,$1231694
2020-03-20T00:00:00Z,$1249025
2020-03-19T00:00:00Z,$1359115
2020-03-18T00:00:00Z,$1330560
2020-03-17T00:00:00Z,$1370225
2020-03-16T00:00:00Z,$1650665
2020-03-15T00:00:00Z,$1625275
2020-03-14T00:00:00Z,$1749452
2020-03-13T00:00:00Z,$1658135
2020-03-12T00:00:00Z,$1617386
2020-03-11T00:00:00Z,$1614169
2020-03-10T00:00:00Z,$1633413
2020-03-09T00:00:00Z,$1578219
2020-03-08T00:00:00Z,$1613221
2020-03-07T00:00:00Z,$1640287
2020-03-06T00:00:00Z,$1602757
2020-03-05T00:00:00Z,$1585775
2020-03-04T00:00:00Z,$1570932
2020-03-03T00:00:00Z,$1525845
2020-03-02T00:00:00Z,$1480177
2020-03-01T00:00:00Z,$1486248
2020-02-29T00:00:00Z,$1496429
2020-02-28T00:00:00Z,$1518456
2020-02-27T00:00:00Z,$1498776
2020-02-26T00:00:00Z,$1469513
2020-02-25T00:00:00Z,$1431607
2020-02-24T00:00:00Z,$1473618
2020-02-23T00:00:00Z,$1451798
2020-02-22T00:00:00Z,$1412608
2020-02-21T00:00:00Z,$1397538
2020-02-20T00:00:00Z,$1382048
2020-02-19T00:00:00Z,$1434293
2020-02-18T00:00:00Z,$1383933
2020-02-17T00:00:00Z,$1317210
2020-02-16T00:00:00Z,$1267233
2020-02-15T00:00:00Z,$1263324
2020-02-14T00:00:00Z,$1283993
2020-02-13T00:00:00Z,$1310239
2020-02-12T00:00:00Z,$1289540
2020-02-11T00:00:00Z,$1304773
2020-02-10T00:00:00Z,$1305316
2020-02-09T00:00:00Z,$1303573
2020-02-08T00:00:00Z,$1268191
2020-02-07T00:00:00Z,$1224127
2020-02-06T00:00:00Z,$1200610
2020-02-05T00:00:00Z,$1253421
2020-02-04T00:00:00Z,$1257550
2020-02-03T00:00:00Z,$1224025
2020-02-02T00:00:00Z,$1228624
2020-02-01T00:00:00Z,$1229998
2020-01-31T00:00:00Z,$1256791
2020-01-30T00:00:00Z,$1235927
2020-01-29T00:00:00Z,$1177270
2020-01-28T00:00:00Z,$1378010
2020-01-27T00:00:00Z,$1475739
2020-01-26T00:00:00Z,$1447547
2020-01-25T00:00:00Z,$1444015
2020-01-24T00:00:00Z,$1476932
2020-01-23T00:00:00Z,$1440396
2020-01-22T00:00:00Z,$1436686
2020-01-21T00:00:00Z,$1546343
2020-01-20T00:00:00Z,$1443348
2020-01-19T00:00:00Z,$1420377
2020-01-18T00:00:00Z,$1431356
2020-01-17T00:00:00Z,$1385278
2020-01-16T00:00:00Z,$1365477
2020-01-15T00:00:00Z,$1375644
2020-01-14T00:00:00Z,$1577382
2020-01-13T00:00:00Z,$1596235
2020-01-12T00:00:00Z,$1594422
2020-01-11T00:00:00Z,$1595679
2020-01-10T00:00:00Z,$1591605
2020-01-09T00:00:00Z,$1605460
2020-01-08T00:00:00Z,$1624793
2020-01-07T00:00:00Z,$1639802
2020-01-06T00:00:00Z,$1631640
2020-01-05T00:00:00Z,$1626072
2020-01-04T00:00:00Z,$1627809
2020-01-03T00:00:00Z,$1624628
2020-01-02T00:00:00Z,$1652070
2020-01-01T00:00:00Z,$1636548
2019-12-31T00:00:00Z,$1645056
2019-12-30T00:00:00Z,$1667115
2019-12-29T00:00:00Z,$1666991
2019-12-28T00:00:00Z,$1658229
2019-12-27T00:00:00Z,$1662053
2019-12-26T00:00:00Z,$1679629
2019-12-25T00:00:00Z,$1667470
2019-12-24T00:00:00Z,$1688722
2019-12-23T00:00:00Z,$1666748
2019-12-22T00:00:00Z,$1653266
2019-12-21T00:00:00Z,$1701488
2019-12-20T00:00:00Z,$1689933
2019-12-19T00:00:00Z,$1676178
2019-12-18T00:00:00Z,$1660529
2019-12-17T00:00:00Z,$1678295
2019-12-16T00:00:00Z,$1481739
2019-12-15T00:00:00Z,$1472630
2019-12-14T00:00:00Z,$1483514
2019-12-13T00:00:00Z,$1469987
2019-12-12T00:00:00Z,$1511016
2019-12-11T00:00:00Z,$1147884
2019-12-10T00:00:00Z,$1146606
2019-12-09T00:00:00Z,$1086571
2019-12-08T00:00:00Z,$1094058
2019-12-07T00:00:00Z,$1086154
2019-12-06T00:00:00Z,$1056764
2019-12-05T00:00:00Z,$1118997
2019-12-04T00:00:00Z,$1040931
2019-12-03T00:00:00Z,$1053473
2019-12-02T00:00:00Z,$1042587
2019-12-01T00:00:00Z,$1047543
2019-11-30T00:00:00Z,$1051712
2019-11-29T00:00:00Z,$1049422
2019-11-28T00:00:00Z,$1051065
2019-11-27T00:00:00Z,$970642
2019-11-26T00:00:00Z,$975998
2019-11-25T00:00:00Z,$1035322
2019-11-24T00:00:00Z,$1052908
2019-11-23T00:00:00Z,$996534
2019-11-22T00:00:00Z,$1035096
2019-11-21T00:00:00Z,$1040482
2019-11-20T00:00:00Z,$1042770
2019-11-19T00:00:00Z,$1033161
2019-11-18T00:00:00Z,$1039932
2019-11-17T00:00:00Z,$1052379
2019-11-16T00:00:00Z,$1019781
2019-11-15T00:00:00Z,$1026075
2019-11-14T00:00:00Z,$1017795
2019-11-13T00:00:00Z,$1000515
2019-11-12T00:00:00Z,$1073137
2019-11-11T00:00:00Z,$1010247
2019-11-10T00:00:00Z,$991956
2019-11-09T00:00:00Z,$1009788
2019-11-08T00:00:00Z,$1000785
2019-11-07T00:00:00Z,$999475
2019-11-06T00:00:00Z,$1802966
2019-11-05T00:00:00Z,$1786142
2019-11-04T00:00:00Z,$1788572
2019-11-03T00:00:00Z,$1795682
2019-11-02T00:00:00Z,$1773580
2019-11-01T00:00:00Z,$1770873
2019-10-31T00:00:00Z,$1757249
2019-10-30T00:00:00Z,$1735691
2019-10-29T00:00:00Z,$1719933
2019-10-28T00:00:00Z,$1720375
2019-10-27T00:00:00Z,$1742055
2019-10-26T00:00:00Z,$1723360
2019-10-25T00:00:00Z,$1803884
2019-10-24T00:00:00Z,$1772327
2019-10-23T00:00:00Z,$1903065
2019-10-22T00:00:00Z,$3729598
2019-10-21T00:00:00Z,$3709397
2019-10-20T00:00:00Z,$3716101
2019-10-19T00:00:00Z,$3619038
2019-10-18T00:00:00Z,$3663752
2019-10-17T00:00:00Z,$3625615
2019-10-16T00:00:00Z,$3651628
2019-10-15T00:00:00Z,$3692951
2019-10-14T00:00:00Z,$3698080
2019-10-13T00:00:00Z,$3749082
2019-10-12T00:00:00Z,$3635753
2019-10-11T00:00:00Z,$3686245
2019-10-10T00:00:00Z,$3678487
2019-10-09T00:00:00Z,$7023147
2019-10-08T00:00:00Z,$4373275
2019-10-07T00:00:00Z,$4189979
2019-10-06T00:00:00Z,$4343049
2019-10-05T00:00:00Z,$4271696
2019-10-04T00:00:00Z,$5086974
2019-10-03T00:00:00Z,$5469723
2019-10-02T00:00:00Z,$5675802
2019-10-01T00:00:00Z,$5832828
2019-09-30T00:00:00Z,$5799721
2019-09-29T00:00:00Z,$7140446
2019-09-28T00:00:00Z,$7113293
2019-09-27T00:00:00Z,$8308932
2019-09-26T00:00:00Z,$8514710
2019-09-25T00:00:00Z,$8326072
2019-09-24T00:00:00Z,$10110251
2019-09-23T00:00:00Z,$10626322
2019-09-22T00:00:00Z,$10878600
2019-09-21T00:00:00Z,$10992124
2019-09-20T00:00:00Z,$11130874
2019-09-19T00:00:00Z,$10610241
2019-09-18T00:00:00Z,$10537320
2019-09-17T00:00:00Z,$10064173
2019-09-16T00:00:00Z,$9774041
2019-09-15T00:00:00Z,$9675039
2019-09-14T00:00:00Z,$9276541
2019-09-13T00:00:00Z,$9260870
2019-09-12T00:00:00Z,$9139275
2019-09-11T00:00:00Z,$9365449
2019-09-10T00:00:00Z,$9417102
2019-09-09T00:00:00Z,$9485840
2019-09-08T00:00:00Z,$9316657
2019-09-07T00:00:00Z,$9185525
2019-09-06T00:00:00Z,$9451268
2019-09-05T00:00:00Z,$9637870
2019-09-04T00:00:00Z,$9858847
2019-09-03T00:00:00Z,$9842276
2019-09-02T00:00:00Z,$9459134
2019-09-01T00:00:00Z,$9567551
2019-08-31T00:00:00Z,$9228869
2019-08-30T00:00:00Z,$9080735
2019-08-29T00:00:00Z,$9282027
2019-08-28T00:00:00Z,$10002845
2019-08-27T00:00:00Z,$10128633
2019-08-26T00:00:00Z,$10069689
2019-08-25T00:00:00Z,$10298594
2019-08-24T00:00:00Z,$10533549
2019-08-23T00:00:00Z,$10351240
2019-08-22T00:00:00Z,$10168417
2019-08-21T00:00:00Z,$10687465
2019-08-20T00:00:00Z,$11169580
2019-08-19T00:00:00Z,$10749828
2019-08-18T00:00:00Z,$10286233
2019-08-17T00:00:00Z,$10307339
2019-08-16T00:00:00Z,$10477123
2019-08-15T00:00:00Z,$10382851
