time,TVL (USD)
2020-06-11T03:00:00Z,$2717921
2020-06-11T00:00:00Z,$2544690
2020-06-10T00:00:00Z,$2390821
2020-06-09T00:00:00Z,$2385058
2020-06-08T00:00:00Z,$2379399
2020-06-07T00:00:00Z,$2377399
2020-06-06T00:00:00Z,$2356092
2020-06-05T00:00:00Z,$2379356
2020-06-04T00:00:00Z,$2125047
2020-06-03T00:00:00Z,$2029689
2020-06-02T00:00:00Z,$2105303
2020-06-01T00:00:00Z,$2116849
2020-05-31T00:00:00Z,$2195753
2020-05-30T00:00:00Z,$2079542
2020-05-29T00:00:00Z,$2314855
2020-05-28T00:00:00Z,$2227065
2020-05-27T00:00:00Z,$2188089
2020-05-26T00:00:00Z,$2188984
2020-05-25T00:00:00Z,$2321905
2020-05-24T00:00:00Z,$2438689
2020-05-23T00:00:00Z,$2433281
2020-05-22T00:00:00Z,$2058711
2020-05-21T00:00:00Z,$2254854
2020-05-20T00:00:00Z,$2349546
2020-05-19T00:00:00Z,$2420448
2020-05-18T00:00:00Z,$2567363
2020-05-17T00:00:00Z,$2346984
2020-05-16T00:00:00Z,$2295546
2020-05-15T00:00:00Z,$2576298
2020-05-14T00:00:00Z,$2422364
2020-05-13T00:00:00Z,$2446515
2020-05-12T00:00:00Z,$2144917
2020-05-11T00:00:00Z,$2486707
2020-05-10T00:00:00Z,$2733813
2020-05-09T00:00:00Z,$2796247
2020-05-08T00:00:00Z,$2417164
2020-05-07T00:00:00Z,$2374294
2020-05-06T00:00:00Z,$1824954
2020-05-05T00:00:00Z,$1688115
2020-05-04T00:00:00Z,$1565764
2020-05-03T00:00:00Z,$1649662
2020-05-02T00:00:00Z,$1651121
2020-05-01T00:00:00Z,$1577482
2020-04-30T00:00:00Z,$1633807
2020-04-29T00:00:00Z,$1482027
2020-04-28T00:00:00Z,$1496242
2020-04-27T00:00:00Z,$1485663
2020-04-26T00:00:00Z,$1484328
2020-04-25T00:00:00Z,$1483608
2020-04-24T00:00:00Z,$1554625
2020-04-23T00:00:00Z,$1523376
2020-04-22T00:00:00Z,$1474440
2020-04-21T00:00:00Z,$1454145
2020-04-20T00:00:00Z,$1635778
2020-04-19T00:00:00Z,$1402017
2020-04-18T00:00:00Z,$1263409
2020-04-17T00:00:00Z,$1285019
2020-04-16T00:00:00Z,$1194633
2020-04-15T00:00:00Z,$1229302
2020-04-14T00:00:00Z,$1195288
2020-04-13T00:00:00Z,$1173423
2020-04-12T00:00:00Z,$1181593
2020-04-11T00:00:00Z,$1160282
2020-04-10T00:00:00Z,$1167124
2020-04-09T00:00:00Z,$1164365
2020-04-08T00:00:00Z,$1126105
2020-04-07T00:00:00Z,$1165640
2020-04-06T00:00:00Z,$1157479
2020-04-05T00:00:00Z,$1157572
2020-04-04T00:00:00Z,$1141158
2020-04-03T00:00:00Z,$1110529
2020-04-02T00:00:00Z,$1150290
2020-04-01T00:00:00Z,$1130283
2020-03-31T00:00:00Z,$1100068
2020-03-30T00:00:00Z,$1069475
2020-03-29T00:00:00Z,$1125176
2020-03-28T00:00:00Z,$1115607
2020-03-27T00:00:00Z,$1175901
2020-03-26T00:00:00Z,$947137
2020-03-25T00:00:00Z,$903985
2020-03-24T00:00:00Z,$883532
2020-03-23T00:00:00Z,$810016
2020-03-22T00:00:00Z,$891641
2020-03-21T00:00:00Z,$918539
2020-03-20T00:00:00Z,$1000832
2020-03-19T00:00:00Z,$395371
2020-03-18T00:00:00Z,$390998
2020-03-17T00:00:00Z,$349938
2020-03-16T00:00:00Z,$404315
2020-03-15T00:00:00Z,$414759
2020-03-14T00:00:00Z,$468183
2020-03-13T00:00:00Z,$326675
2020-03-12T00:00:00Z,$574563
2020-03-11T00:00:00Z,$582253
2020-03-10T00:00:00Z,$569482
2020-03-09T00:00:00Z,$583326
2020-03-08T00:00:00Z,$676159
2020-03-07T00:00:00Z,$701792
2020-03-06T00:00:00Z,$704563
2020-03-05T00:00:00Z,$689645
2020-03-04T00:00:00Z,$669977
2020-03-03T00:00:00Z,$652780
2020-03-02T00:00:00Z,$624108
2020-03-01T00:00:00Z,$620674
2020-02-29T00:00:00Z,$567038
