time,TVL (USD)
2020-06-04T23:00:00Z,$47079952
2020-06-04T00:00:00Z,$47170246
2020-06-03T00:00:00Z,$46039624
2020-06-02T00:00:00Z,$47352740
2020-06-01T00:00:00Z,$44904845
2020-05-31T00:00:00Z,$47171442
2020-05-30T00:00:00Z,$42588155
2020-05-29T00:00:00Z,$42391847
2020-05-28T00:00:00Z,$40252284
2020-05-27T00:00:00Z,$39338014
2020-05-26T00:00:00Z,$40509056
2020-05-25T00:00:00Z,$40380465
2020-05-24T00:00:00Z,$41093971
2020-05-23T00:00:00Z,$41061567
2020-05-22T00:00:00Z,$39472937
2020-05-21T00:00:00Z,$41291017
2020-05-20T00:00:00Z,$41926047
2020-05-19T00:00:00Z,$42015747
2020-05-18T00:00:00Z,$40475874
2020-05-17T00:00:00Z,$39380543
2020-05-16T00:00:00Z,$38267504
2020-05-15T00:00:00Z,$39766538
2020-05-14T00:00:00Z,$39216868
2020-05-13T00:00:00Z,$37589526
2020-05-12T00:00:00Z,$36623406
2020-05-11T00:00:00Z,$36885593
2020-05-10T00:00:00Z,$41072011
2020-05-09T00:00:00Z,$41369129
2020-05-08T00:00:00Z,$41424770
2020-05-07T00:00:00Z,$38904565
2020-05-06T00:00:00Z,$39897082
2020-05-05T00:00:00Z,$40260555
2020-05-04T00:00:00Z,$41026856
2020-05-03T00:00:00Z,$41566635
2020-05-02T00:00:00Z,$41366479
2020-05-01T00:00:00Z,$40192177
2020-04-30T00:00:00Z,$41669007
2020-04-29T00:00:00Z,$38040378
2020-04-28T00:00:00Z,$37969701
2020-04-27T00:00:00Z,$37890985
2020-04-26T00:00:00Z,$37645104
2020-04-25T00:00:00Z,$36268672
2020-04-24T00:00:00Z,$36106817
2020-04-23T00:00:00Z,$35850673
2020-04-22T00:00:00Z,$33925762
2020-04-21T00:00:00Z,$33896802
2020-04-20T00:00:00Z,$35618509
2020-04-19T00:00:00Z,$36838864
2020-04-18T00:00:00Z,$33603644
2020-04-17T00:00:00Z,$33787089
2020-04-16T00:00:00Z,$30609449
2020-04-15T00:00:00Z,$31609688
2020-04-14T00:00:00Z,$30870065
2020-04-13T00:00:00Z,$31297249
2020-04-12T00:00:00Z,$31305231
2020-04-11T00:00:00Z,$31029394
2020-04-10T00:00:00Z,$33117796
2020-04-09T00:00:00Z,$33718456
2020-04-08T00:00:00Z,$32298312
2020-04-07T00:00:00Z,$33438371
2020-04-06T00:00:00Z,$28043961
2020-04-05T00:00:00Z,$28252586
2020-04-04T00:00:00Z,$27629019
2020-04-03T00:00:00Z,$27578671
2020-04-02T00:00:00Z,$26671836
2020-04-01T00:00:00Z,$26087992
2020-03-31T00:00:00Z,$26061336
2020-03-30T00:00:00Z,$24777243
2020-03-29T00:00:00Z,$25997794
2020-03-28T00:00:00Z,$26102952
2020-03-27T00:00:00Z,$27403529
2020-03-26T00:00:00Z,$26861974
2020-03-25T00:00:00Z,$27403707
2020-03-24T00:00:00Z,$27283689
2020-03-23T00:00:00Z,$26037919
2020-03-22T00:00:00Z,$30054258
2020-03-21T00:00:00Z,$29419861
2020-03-20T00:00:00Z,$29836584
2020-03-19T00:00:00Z,$26444688
2020-03-18T00:00:00Z,$25809443
2020-03-17T00:00:00Z,$22843507
2020-03-16T00:00:00Z,$32667959
2020-03-15T00:00:00Z,$32996130
2020-03-14T00:00:00Z,$34063866
2020-03-13T00:00:00Z,$23032308
2020-03-12T00:00:00Z,$56255787
2020-03-11T00:00:00Z,$53723861
2020-03-10T00:00:00Z,$65517552
2020-03-09T00:00:00Z,$66804793
2020-03-08T00:00:00Z,$79206629
2020-03-07T00:00:00Z,$81354465
2020-03-06T00:00:00Z,$80207554
2020-03-05T00:00:00Z,$79835118
2020-03-04T00:00:00Z,$79461210
2020-03-03T00:00:00Z,$82574784
2020-03-02T00:00:00Z,$77885026
2020-03-01T00:00:00Z,$78426023
2020-02-29T00:00:00Z,$80963747
2020-02-28T00:00:00Z,$81059346
2020-02-27T00:00:00Z,$79609074
2020-02-26T00:00:00Z,$87994317
2020-02-25T00:00:00Z,$94590416
2020-02-24T00:00:00Z,$97475344
2020-02-23T00:00:00Z,$93749773
2020-02-22T00:00:00Z,$94465809
2020-02-21T00:00:00Z,$91622625
2020-02-20T00:00:00Z,$92155248
2020-02-19T00:00:00Z,$101378138
2020-02-18T00:00:00Z,$96147448
2020-02-17T00:00:00Z,$93011006
2020-02-16T00:00:00Z,$94792359
2020-02-15T00:00:00Z,$102154513
2020-02-14T00:00:00Z,$95905177
2020-02-13T00:00:00Z,$94906812
2020-02-12T00:00:00Z,$85979919
2020-02-11T00:00:00Z,$80685683
2020-02-10T00:00:00Z,$82883079
2020-02-09T00:00:00Z,$80986979
2020-02-08T00:00:00Z,$80881657
2020-02-07T00:00:00Z,$77085919
2020-02-06T00:00:00Z,$74286313
2020-02-05T00:00:00Z,$72269430
2020-02-04T00:00:00Z,$72509782
2020-02-03T00:00:00Z,$69479884
2020-02-02T00:00:00Z,$67612544
2020-02-01T00:00:00Z,$66178363
2020-01-31T00:00:00Z,$67866136
2020-01-30T00:00:00Z,$63964439
2020-01-29T00:00:00Z,$64473640
2020-01-28T00:00:00Z,$60995679
2020-01-27T00:00:00Z,$59794080
2020-01-26T00:00:00Z,$57642800
2020-01-25T00:00:00Z,$58139891
2020-01-24T00:00:00Z,$58028016
2020-01-23T00:00:00Z,$60069249
2020-01-22T00:00:00Z,$60128802
2020-01-21T00:00:00Z,$59305470
2020-01-20T00:00:00Z,$60320311
2020-01-19T00:00:00Z,$62302474
2020-01-18T00:00:00Z,$59301114
2020-01-17T00:00:00Z,$58169984
2020-01-16T00:00:00Z,$57163664
2020-01-15T00:00:00Z,$55613119
2020-01-14T00:00:00Z,$48057616
2020-01-13T00:00:00Z,$48867380
2020-01-12T00:00:00Z,$46953582
2020-01-11T00:00:00Z,$47576532
2020-01-10T00:00:00Z,$45256538
2020-01-09T00:00:00Z,$45770191
2020-01-08T00:00:00Z,$45045897
2020-01-07T00:00:00Z,$45507484
2020-01-06T00:00:00Z,$42875044
2020-01-05T00:00:00Z,$42544313
2020-01-04T00:00:00Z,$42341902
2020-01-03T00:00:00Z,$40063744
2020-01-02T00:00:00Z,$39993092
2020-01-01T00:00:00Z,$39474253
2019-12-31T00:00:00Z,$39824321
2019-12-30T00:00:00Z,$40811329
2019-12-29T00:00:00Z,$38853078
2019-12-28T00:00:00Z,$38225996
2019-12-27T00:00:00Z,$37906833
2019-12-26T00:00:00Z,$34230604
2019-12-25T00:00:00Z,$34960099
2019-12-24T00:00:00Z,$34943734
2019-12-23T00:00:00Z,$35955569
2019-12-22T00:00:00Z,$35114961
2019-12-21T00:00:00Z,$34992615
2019-12-20T00:00:00Z,$34729186
2019-12-19T00:00:00Z,$35736169
2019-12-18T00:00:00Z,$32783626
2019-12-17T00:00:00Z,$35714434
2019-12-16T00:00:00Z,$38464333
2019-12-15T00:00:00Z,$38356867
2019-12-14T00:00:00Z,$39004525
2019-12-13T00:00:00Z,$34650180
2019-12-12T00:00:00Z,$34351756
2019-12-11T00:00:00Z,$34829317
2019-12-10T00:00:00Z,$37273740
2019-12-09T00:00:00Z,$36043628
2019-12-08T00:00:00Z,$35318092
2019-12-07T00:00:00Z,$35386559
2019-12-06T00:00:00Z,$35203107
2019-12-05T00:00:00Z,$33296113
2019-12-04T00:00:00Z,$35588334
2019-12-03T00:00:00Z,$36481044
2019-12-02T00:00:00Z,$34349440
2019-12-01T00:00:00Z,$34598697
2019-11-30T00:00:00Z,$32658418
2019-11-29T00:00:00Z,$32546813
2019-11-28T00:00:00Z,$32965786
2019-11-27T00:00:00Z,$43697800
2019-11-26T00:00:00Z,$33847595
2019-11-25T00:00:00Z,$33379471
2019-11-24T00:00:00Z,$36670389
2019-11-23T00:00:00Z,$33382698
2019-11-22T00:00:00Z,$31443920
2019-11-21T00:00:00Z,$34162599
2019-11-20T00:00:00Z,$33538957
2019-11-19T00:00:00Z,$33150120
2019-11-18T00:00:00Z,$34462105
2019-11-17T00:00:00Z,$34149584
2019-11-16T00:00:00Z,$33479605
2019-11-15T00:00:00Z,$34285426
2019-11-14T00:00:00Z,$34730456
2019-11-13T00:00:00Z,$34646569
2019-11-12T00:00:00Z,$34419422
2019-11-11T00:00:00Z,$35021491
2019-11-10T00:00:00Z,$34451997
2019-11-09T00:00:00Z,$33796257
2019-11-08T00:00:00Z,$34206621
2019-11-07T00:00:00Z,$35019062
2019-11-06T00:00:00Z,$34322260
2019-11-05T00:00:00Z,$33111960
2019-11-04T00:00:00Z,$32585778
