time,TVL (USD)
2020-06-11T03:00:00Z,$7059580
2020-06-11T00:00:00Z,$7230844
2020-06-10T00:00:00Z,$6987086
2020-06-09T00:00:00Z,$7015980
2020-06-08T00:00:00Z,$6817470
2020-06-07T00:00:00Z,$7237139
2020-06-06T00:00:00Z,$6905744
2020-06-05T00:00:00Z,$6889887
2020-06-04T00:00:00Z,$6841002
2020-06-03T00:00:00Z,$6876017
2020-06-02T00:00:00Z,$7062838
2020-06-01T00:00:00Z,$6637932
2020-05-31T00:00:00Z,$6681271
2020-05-30T00:00:00Z,$6494631
2020-05-29T00:00:00Z,$6323557
2020-05-28T00:00:00Z,$6461664
2020-05-27T00:00:00Z,$6118472
2020-05-26T00:00:00Z,$5867745
2020-05-25T00:00:00Z,$5660052
2020-05-24T00:00:00Z,$5385852
2020-05-23T00:00:00Z,$5151452
2020-05-22T00:00:00Z,$4974620
2020-05-21T00:00:00Z,$5408502
2020-05-20T00:00:00Z,$5326447
2020-05-19T00:00:00Z,$5217063
2020-05-18T00:00:00Z,$5270064
2020-05-17T00:00:00Z,$5101196
2020-05-16T00:00:00Z,$4814228
2020-05-15T00:00:00Z,$5145477
2020-05-14T00:00:00Z,$4774353
2020-05-13T00:00:00Z,$4664193
2020-05-12T00:00:00Z,$4639505
2020-05-11T00:00:00Z,$4363074
2020-05-10T00:00:00Z,$4816599
2020-05-09T00:00:00Z,$4964963
2020-05-08T00:00:00Z,$4991797
2020-05-07T00:00:00Z,$3829111
2020-05-06T00:00:00Z,$4641821
2020-05-05T00:00:00Z,$4784953
2020-05-04T00:00:00Z,$5033694
2020-05-03T00:00:00Z,$4865372
2020-05-02T00:00:00Z,$4989539
2020-05-01T00:00:00Z,$4900648
2020-04-30T00:00:00Z,$5067169
2020-04-29T00:00:00Z,$4921657
2020-04-28T00:00:00Z,$4844846
2020-04-27T00:00:00Z,$4401269
2020-04-26T00:00:00Z,$4589473
2020-04-25T00:00:00Z,$4500876
2020-04-24T00:00:00Z,$4480654
2020-04-23T00:00:00Z,$4477496
2020-04-22T00:00:00Z,$4235592
2020-04-21T00:00:00Z,$4171802
2020-04-20T00:00:00Z,$4364287
2020-04-19T00:00:00Z,$4266054
2020-04-18T00:00:00Z,$4096392
2020-04-17T00:00:00Z,$4027497
2020-04-16T00:00:00Z,$3827358
2020-04-15T00:00:00Z,$3967441
2020-04-14T00:00:00Z,$3859955
2020-04-13T00:00:00Z,$4058804
2020-04-12T00:00:00Z,$3897886
2020-04-11T00:00:00Z,$4030857
2020-04-10T00:00:00Z,$3938203
2020-04-09T00:00:00Z,$3993784
2020-04-08T00:00:00Z,$3912786
2020-04-07T00:00:00Z,$4223171
2020-04-06T00:00:00Z,$3927906
2020-04-05T00:00:00Z,$4004410
2020-04-04T00:00:00Z,$3925587
2020-04-03T00:00:00Z,$4119997
2020-04-02T00:00:00Z,$3995710
2020-04-01T00:00:00Z,$3916397
2020-03-31T00:00:00Z,$3844336
2020-03-30T00:00:00Z,$3590667
2020-03-29T00:00:00Z,$3725458
2020-03-28T00:00:00Z,$3759921
2020-03-27T00:00:00Z,$3839595
2020-03-26T00:00:00Z,$3875775
2020-03-25T00:00:00Z,$3811144
2020-03-24T00:00:00Z,$3664083
2020-03-23T00:00:00Z,$3382483
2020-03-22T00:00:00Z,$4163239
2020-03-21T00:00:00Z,$3668740
2020-03-20T00:00:00Z,$3732680
2020-03-19T00:00:00Z,$3624537
2020-03-18T00:00:00Z,$3530586
2020-03-17T00:00:00Z,$3117602
2020-03-16T00:00:00Z,$3166922
2020-03-15T00:00:00Z,$3138247
2020-03-14T00:00:00Z,$3466380
2020-03-13T00:00:00Z,$2954351
2020-03-12T00:00:00Z,$4502154
2020-03-11T00:00:00Z,$4552891
2020-03-10T00:00:00Z,$4501517
2020-03-09T00:00:00Z,$4524907
2020-03-08T00:00:00Z,$4980260
2020-03-07T00:00:00Z,$4954439
2020-03-06T00:00:00Z,$4768902
2020-03-05T00:00:00Z,$4883719
2020-03-04T00:00:00Z,$4743754
2020-03-03T00:00:00Z,$4802891
2020-03-02T00:00:00Z,$4454221
2020-03-01T00:00:00Z,$4751858
2020-02-29T00:00:00Z,$4661976
2020-02-28T00:00:00Z,$4602385
2020-02-27T00:00:00Z,$4489872
2020-02-26T00:00:00Z,$4749893
2020-02-25T00:00:00Z,$4993062
2020-02-24T00:00:00Z,$5186863
2020-02-23T00:00:00Z,$5123522
2020-02-22T00:00:00Z,$4998992
2020-02-21T00:00:00Z,$5013706
2020-02-20T00:00:00Z,$5005875
2020-02-19T00:00:00Z,$5228697
2020-02-18T00:00:00Z,$5027205
2020-02-17T00:00:00Z,$4893695
2020-02-16T00:00:00Z,$5491745
2020-02-15T00:00:00Z,$5030725
2020-02-14T00:00:00Z,$4690592
2020-02-13T00:00:00Z,$4793133
2020-02-12T00:00:00Z,$4856712
2020-02-11T00:00:00Z,$4565529
2020-02-10T00:00:00Z,$4671199
2020-02-09T00:00:00Z,$4571709
2020-02-08T00:00:00Z,$4601813
2020-02-07T00:00:00Z,$4495686
2020-02-06T00:00:00Z,$4360611
2020-02-05T00:00:00Z,$4236153
2020-02-04T00:00:00Z,$4224491
2020-02-03T00:00:00Z,$4222155
2020-02-02T00:00:00Z,$4272541
2020-02-01T00:00:00Z,$4127667
2020-01-31T00:00:00Z,$4219576
2020-01-30T00:00:00Z,$4121471
2020-01-29T00:00:00Z,$4212003
2020-01-28T00:00:00Z,$4063584
2020-01-27T00:00:00Z,$3984867
2020-01-26T00:00:00Z,$3847963
2020-01-25T00:00:00Z,$3839671
2020-01-24T00:00:00Z,$3911600
2020-01-23T00:00:00Z,$3976216
2020-01-22T00:00:00Z,$3963591
2020-01-21T00:00:00Z,$3912800
2020-01-20T00:00:00Z,$3980150
2020-01-19T00:00:00Z,$4067227
2020-01-18T00:00:00Z,$4033724
2020-01-17T00:00:00Z,$3931997
2020-01-16T00:00:00Z,$3960854
2020-01-15T00:00:00Z,$4007433
2020-01-14T00:00:00Z,$3690143
2020-01-13T00:00:00Z,$3702088
2020-01-12T00:00:00Z,$3606535
2020-01-11T00:00:00Z,$3727266
2020-01-10T00:00:00Z,$3575479
2020-01-09T00:00:00Z,$3623254
2020-01-08T00:00:00Z,$3710990
2020-01-07T00:00:00Z,$3650017
2020-01-06T00:00:00Z,$3525139
2020-01-05T00:00:00Z,$3493126
2020-01-04T00:00:00Z,$3358436
2020-01-03T00:00:00Z,$3311430
2020-01-02T00:00:00Z,$3397523
2020-01-01T00:00:00Z,$3446405
2019-12-31T00:00:00Z,$3415142
2019-12-30T00:00:00Z,$3449018
2019-12-29T00:00:00Z,$3391814
2019-12-28T00:00:00Z,$3366145
2019-12-27T00:00:00Z,$3328706
2019-12-26T00:00:00Z,$3324101
2019-12-25T00:00:00Z,$3356306
2019-12-24T00:00:00Z,$3337264
2019-12-23T00:00:00Z,$3471649
2019-12-22T00:00:00Z,$3409930
2019-12-21T00:00:00Z,$3335119
2019-12-20T00:00:00Z,$3371580
2019-12-19T00:00:00Z,$3317183
2019-12-18T00:00:00Z,$3078038
2019-12-17T00:00:00Z,$3107651
2019-12-16T00:00:00Z,$3240388
2019-12-15T00:00:00Z,$3280694
2019-12-14T00:00:00Z,$3340002
2019-12-13T00:00:00Z,$3431573
2019-12-12T00:00:00Z,$3458177
2019-12-11T00:00:00Z,$3471172
2019-12-10T00:00:00Z,$3474992
2019-12-09T00:00:00Z,$3600597
2019-12-08T00:00:00Z,$3579392
2019-12-07T00:00:00Z,$3545735
2019-12-06T00:00:00Z,$3495014
2019-12-05T00:00:00Z,$3457147
2019-12-04T00:00:00Z,$3456266
2019-12-03T00:00:00Z,$3491878
2019-12-02T00:00:00Z,$3502913
2019-12-01T00:00:00Z,$3590586
2019-11-30T00:00:00Z,$3608504
2019-11-29T00:00:00Z,$3572298
2019-11-28T00:00:00Z,$3566251
2019-11-27T00:00:00Z,$3477018
2019-11-26T00:00:00Z,$3488743
2019-11-25T00:00:00Z,$3354809
2019-11-24T00:00:00Z,$3341124
2019-11-23T00:00:00Z,$3242121
2019-11-22T00:00:00Z,$3515595
2019-11-21T00:00:00Z,$3429280
2019-11-20T00:00:00Z,$3460809
2019-11-19T00:00:00Z,$3888976
2019-11-18T00:00:00Z,$4118142
2019-11-17T00:00:00Z,$4120895
2019-11-16T00:00:00Z,$4065332
2019-11-15T00:00:00Z,$4209508
2019-11-14T00:00:00Z,$4185317
2019-11-13T00:00:00Z,$4192916
2019-11-12T00:00:00Z,$4250345
2019-11-11T00:00:00Z,$4279003
2019-11-10T00:00:00Z,$4192567
2019-11-09T00:00:00Z,$4214237
2019-11-08T00:00:00Z,$4303908
2019-11-07T00:00:00Z,$4314471
2019-11-06T00:00:00Z,$4265194
2019-11-05T00:00:00Z,$4196428
2019-11-04T00:00:00Z,$4129675
2019-11-03T00:00:00Z,$4218464
2019-11-02T00:00:00Z,$4165962
2019-11-01T00:00:00Z,$4125914
2019-10-31T00:00:00Z,$4213927
2019-10-30T00:00:00Z,$4297301
2019-10-29T00:00:00Z,$4202803
2019-10-28T00:00:00Z,$4238785
2019-10-27T00:00:00Z,$4126150
2019-10-26T00:00:00Z,$3978717
2019-10-25T00:00:00Z,$3580525
2019-10-24T00:00:00Z,$3525999
2019-10-23T00:00:00Z,$3666518
2019-10-22T00:00:00Z,$3366927
2019-10-21T00:00:00Z,$3372627
2019-10-20T00:00:00Z,$3438890
2019-10-19T00:00:00Z,$3409797
2019-10-18T00:00:00Z,$3388983
2019-10-17T00:00:00Z,$3213305
2019-10-16T00:00:00Z,$3342871
2019-10-15T00:00:00Z,$3497533
2019-10-14T00:00:00Z,$3507264
2019-10-13T00:00:00Z,$3514629
2019-10-12T00:00:00Z,$3457439
2019-10-11T00:00:00Z,$3589171
2019-10-10T00:00:00Z,$3560362
2019-10-09T00:00:00Z,$3438060
2019-10-08T00:00:00Z,$3354497
2019-10-07T00:00:00Z,$3274686
2019-10-06T00:00:00Z,$3350373
2019-10-05T00:00:00Z,$3323380
2019-10-04T00:00:00Z,$3201251
2019-10-03T00:00:00Z,$3538112
2019-10-02T00:00:00Z,$3426640
2019-10-01T00:00:00Z,$3420026
2019-09-30T00:00:00Z,$3327708
2019-09-29T00:00:00Z,$3364970
2019-09-28T00:00:00Z,$3319342
2019-09-27T00:00:00Z,$3258207
2019-09-26T00:00:00Z,$3410066
2019-09-25T00:00:00Z,$3197602
2019-09-24T00:00:00Z,$3567982
2019-09-23T00:00:00Z,$3745264
2019-09-22T00:00:00Z,$3709473
2019-09-21T00:00:00Z,$3779559
2019-09-20T00:00:00Z,$3770993
2019-09-19T00:00:00Z,$3691932
2019-09-18T00:00:00Z,$3613874
2019-09-17T00:00:00Z,$3522468
2019-09-16T00:00:00Z,$3463936
2019-09-15T00:00:00Z,$3432323
2019-09-14T00:00:00Z,$3323649
2019-09-13T00:00:00Z,$3361676
2019-09-12T00:00:00Z,$3303856
2019-09-11T00:00:00Z,$3027065
2019-09-10T00:00:00Z,$3005532
2019-09-09T00:00:00Z,$3043737
2019-09-08T00:00:00Z,$3065059
2019-09-07T00:00:00Z,$2921761
2019-09-06T00:00:00Z,$2966027
2019-09-05T00:00:00Z,$2947576
2019-09-04T00:00:00Z,$3031486
2019-09-03T00:00:00Z,$2990253
2019-09-02T00:00:00Z,$2783808
2019-09-01T00:00:00Z,$2834758
2019-08-31T00:00:00Z,$2791822
2019-08-30T00:00:00Z,$2709340
2019-08-29T00:00:00Z,$2726388
2019-08-28T00:00:00Z,$2895695
2019-08-27T00:00:00Z,$2884654
2019-08-26T00:00:00Z,$2879618
2019-08-25T00:00:00Z,$2891677
2019-08-24T00:00:00Z,$2962584
2019-08-23T00:00:00Z,$3117468
2019-08-22T00:00:00Z,$3065655
2019-08-21T00:00:00Z,$3227501
2019-08-20T00:00:00Z,$3276681
2019-08-19T00:00:00Z,$3054392
2019-08-18T00:00:00Z,$3092290
2019-08-17T00:00:00Z,$3119085
2019-08-16T00:00:00Z,$3066264
2019-08-15T00:00:00Z,$2999419
2019-08-14T00:00:00Z,$3289844
2019-08-13T00:00:00Z,$3335287
2019-08-12T00:00:00Z,$3599747
2019-08-11T00:00:00Z,$3546994
2019-08-10T00:00:00Z,$3335680
2019-08-09T00:00:00Z,$3481367
2019-08-08T00:00:00Z,$3551253
2019-08-07T00:00:00Z,$3472124
2019-08-06T00:00:00Z,$3585049
2019-08-05T00:00:00Z,$3428035
2019-08-04T00:00:00Z,$3370763
2019-08-03T00:00:00Z,$3349790
2019-08-02T00:00:00Z,$3361252
2019-08-01T00:00:00Z,$3328318
2019-07-31T00:00:00Z,$3198228
2019-07-30T00:00:00Z,$3137778
2019-07-29T00:00:00Z,$2250266
2019-07-28T00:00:00Z,$2248117
2019-07-27T00:00:00Z,$2301075
2019-07-26T00:00:00Z,$2288423
2019-07-25T00:00:00Z,$2328354
2019-07-24T00:00:00Z,$2247245
2019-07-23T00:00:00Z,$2317760
2019-07-22T00:00:00Z,$2342070
2019-07-21T00:00:00Z,$2347266
2019-07-20T00:00:00Z,$2294282
2019-07-19T00:00:00Z,$2422542
2019-07-18T00:00:00Z,$3004029
2019-07-17T00:00:00Z,$1865635
2019-07-16T00:00:00Z,$2166885
2019-07-15T00:00:00Z,$2033975
2019-07-14T00:00:00Z,$2213659
2019-07-13T00:00:00Z,$2317062
2019-07-12T00:00:00Z,$2240283
2019-07-11T00:00:00Z,$2328981
2019-07-10T00:00:00Z,$2306873
2019-07-09T00:00:00Z,$2273658
2019-07-08T00:00:00Z,$2244080
2019-07-07T00:00:00Z,$2189815
2019-07-06T00:00:00Z,$2413224
2019-07-05T00:00:00Z,$2389705
2019-07-04T00:00:00Z,$2461453
2019-07-03T00:00:00Z,$2384564
2019-07-02T00:00:00Z,$2401949
2019-07-01T00:00:00Z,$2328980
2019-06-30T00:00:00Z,$2447564
2019-06-29T00:00:00Z,$2433743
2019-06-28T00:00:00Z,$2414750
2019-06-27T00:00:00Z,$2666759
2019-06-26T00:00:00Z,$2388294
2019-06-25T00:00:00Z,$2407060
2019-06-24T00:00:00Z,$2358164
2019-06-23T00:00:00Z,$2436410
2019-06-22T00:00:00Z,$2346478
2019-06-21T00:00:00Z,$2252825
2019-06-20T00:00:00Z,$2165539
2019-06-19T00:00:00Z,$2091852
2019-06-18T00:00:00Z,$2103886
2019-06-17T00:00:00Z,$1467709
2019-06-16T00:00:00Z,$1545444
2019-06-15T00:00:00Z,$1508266
2019-06-14T00:00:00Z,$1494764
2019-06-13T00:00:00Z,$1479893
2019-06-12T00:00:00Z,$1385843
2019-06-11T00:00:00Z,$1361988
