time,TVL (USD)
2020-06-11T03:00:00Z,$9368914
2020-06-11T00:00:00Z,$9256859
2020-06-10T00:00:00Z,$9161184
2020-06-09T00:00:00Z,$9170532
2020-06-08T00:00:00Z,$9086129
2020-06-07T00:00:00Z,$8999825
2020-06-06T00:00:00Z,$9001696
2020-06-05T00:00:00Z,$9140930
2020-06-04T00:00:00Z,$9026462
2020-06-03T00:00:00Z,$8919348
2020-06-02T00:00:00Z,$9418495
2020-06-01T00:00:00Z,$8902693
2020-05-31T00:00:00Z,$9099650
2020-05-30T00:00:00Z,$8724585
2020-05-29T00:00:00Z,$8846404
2020-05-28T00:00:00Z,$8523314
2020-05-27T00:00:00Z,$8276163
2020-05-26T00:00:00Z,$8334898
2020-05-25T00:00:00Z,$8228171
2020-05-24T00:00:00Z,$8487215
2020-05-23T00:00:00Z,$8443975
2020-05-22T00:00:00Z,$8352856
2020-05-21T00:00:00Z,$8709067
2020-05-20T00:00:00Z,$8893724
2020-05-19T00:00:00Z,$8847529
2020-05-18T00:00:00Z,$8828999
2020-05-17T00:00:00Z,$8572685
2020-05-16T00:00:00Z,$8611428
2020-05-15T00:00:00Z,$9095940
2020-05-14T00:00:00Z,$8731342
2020-05-13T00:00:00Z,$8326038
2020-05-12T00:00:00Z,$8104481
2020-05-11T00:00:00Z,$8212297
2020-05-10T00:00:00Z,$8886695
2020-05-09T00:00:00Z,$9127852
2020-05-08T00:00:00Z,$9272096
2020-05-07T00:00:00Z,$8547028
2020-05-06T00:00:00Z,$8407611
2020-05-05T00:00:00Z,$8296693
2020-05-04T00:00:00Z,$8374664
2020-05-03T00:00:00Z,$8496945
2020-05-02T00:00:00Z,$8515463
2020-05-01T00:00:00Z,$8344012
2020-04-30T00:00:00Z,$8441577
2020-04-29T00:00:00Z,$7459500
2020-04-28T00:00:00Z,$7490091
2020-04-27T00:00:00Z,$7387055
2020-04-26T00:00:00Z,$7276077
2020-04-25T00:00:00Z,$7229772
2020-04-24T00:00:00Z,$7189226
2020-04-23T00:00:00Z,$6852980
2020-04-22T00:00:00Z,$6647439
2020-04-21T00:00:00Z,$6651641
2020-04-20T00:00:00Z,$6891620
2020-04-19T00:00:00Z,$6999943
2020-04-18T00:00:00Z,$6798337
2020-04-17T00:00:00Z,$6836946
2020-04-16T00:00:00Z,$6480206
2020-04-15T00:00:00Z,$6686281
2020-04-14T00:00:00Z,$6593044
2020-04-13T00:00:00Z,$6618381
2020-04-12T00:00:00Z,$6630815
2020-04-11T00:00:00Z,$6552383
2020-04-10T00:00:00Z,$6954377
2020-04-09T00:00:00Z,$7003698
2020-04-08T00:00:00Z,$6817989
2020-04-07T00:00:00Z,$6864629
2020-04-06T00:00:00Z,$6348047
2020-04-05T00:00:00Z,$6474953
2020-04-04T00:00:00Z,$6314582
2020-04-03T00:00:00Z,$6355784
2020-04-02T00:00:00Z,$6216089
2020-04-01T00:00:00Z,$6032860
2020-03-31T00:00:00Z,$5976520
2020-03-30T00:00:00Z,$5544606
2020-03-29T00:00:00Z,$5849856
2020-03-28T00:00:00Z,$5974141
2020-03-27T00:00:00Z,$6317376
2020-03-26T00:00:00Z,$6212736
2020-03-25T00:00:00Z,$6280830
2020-03-24T00:00:00Z,$6046082
2020-03-23T00:00:00Z,$5462023
2020-03-22T00:00:00Z,$5753270
2020-03-21T00:00:00Z,$5652539
2020-03-20T00:00:00Z,$5620920
2020-03-19T00:00:00Z,$4948868
2020-03-18T00:00:00Z,$4836060
2020-03-17T00:00:00Z,$4602333
2020-03-16T00:00:00Z,$4947433
2020-03-15T00:00:00Z,$4582862
2020-03-14T00:00:00Z,$4954150
2020-03-13T00:00:00Z,$4308260
2020-03-12T00:00:00Z,$7072725
2020-03-11T00:00:00Z,$7052916
2020-03-10T00:00:00Z,$7130820
2020-03-09T00:00:00Z,$7285685
2020-03-08T00:00:00Z,$8072722
2020-03-07T00:00:00Z,$8243390
2020-03-06T00:00:00Z,$8184290
2020-03-05T00:00:00Z,$7968077
2020-03-04T00:00:00Z,$7926641
2020-03-03T00:00:00Z,$8069513
2020-03-02T00:00:00Z,$7772339
2020-03-01T00:00:00Z,$7833039
2020-02-29T00:00:00Z,$7897419
2020-02-28T00:00:00Z,$7999152
2020-02-27T00:00:00Z,$7926607
2020-02-26T00:00:00Z,$8406305
2020-02-25T00:00:00Z,$8719663
2020-02-24T00:00:00Z,$8936685
2020-02-23T00:00:00Z,$8769818
2020-02-22T00:00:00Z,$8738311
2020-02-21T00:00:00Z,$8648739
2020-02-20T00:00:00Z,$8664459
2020-02-19T00:00:00Z,$9118457
2020-02-18T00:00:00Z,$8693755
2020-02-17T00:00:00Z,$8847735
2020-02-16T00:00:00Z,$8782997
2020-02-15T00:00:00Z,$9105254
2020-02-14T00:00:00Z,$9019787
2020-02-13T00:00:00Z,$9056618
2020-02-12T00:00:00Z,$8992730
2020-02-11T00:00:00Z,$8568286
2020-02-10T00:00:00Z,$8838500
2020-02-09T00:00:00Z,$8649495
2020-02-08T00:00:00Z,$8493682
2020-02-07T00:00:00Z,$8462079
2020-02-06T00:00:00Z,$8334028
2020-02-05T00:00:00Z,$8028006
2020-02-04T00:00:00Z,$8179542
2020-02-03T00:00:00Z,$8226991
2020-02-02T00:00:00Z,$8268603
2020-02-01T00:00:00Z,$8221475
2020-01-31T00:00:00Z,$8376786
2020-01-30T00:00:00Z,$8200525
2020-01-29T00:00:00Z,$8312850
2020-01-28T00:00:00Z,$7881039
2020-01-27T00:00:00Z,$7643788
2020-01-26T00:00:00Z,$7473522
2020-01-25T00:00:00Z,$7520340
2020-01-24T00:00:00Z,$7471332
2020-01-23T00:00:00Z,$7703817
2020-01-22T00:00:00Z,$7688200
2020-01-21T00:00:00Z,$7585001
2020-01-20T00:00:00Z,$7609385
2020-01-19T00:00:00Z,$7734846
2020-01-18T00:00:00Z,$7686843
2020-01-17T00:00:00Z,$7501646
2020-01-16T00:00:00Z,$7616864
2020-01-15T00:00:00Z,$7613508
2020-01-14T00:00:00Z,$7045494
2020-01-13T00:00:00Z,$7108490
2020-01-12T00:00:00Z,$6966748
2020-01-11T00:00:00Z,$7107418
2020-01-10T00:00:00Z,$6790882
2020-01-09T00:00:00Z,$6962742
2020-01-08T00:00:00Z,$7046199
2020-01-07T00:00:00Z,$6728269
2020-01-06T00:00:00Z,$6403991
2020-01-05T00:00:00Z,$6394099
2020-01-04T00:00:00Z,$6364492
2020-01-03T00:00:00Z,$6085536
2020-01-02T00:00:00Z,$6319515
2020-01-01T00:00:00Z,$6308948
2019-12-31T00:00:00Z,$6309187
2019-12-30T00:00:00Z,$6453269
2019-12-29T00:00:00Z,$6370470
2019-12-28T00:00:00Z,$6289479
2019-12-27T00:00:00Z,$6243662
2019-12-26T00:00:00Z,$6251906
2019-12-25T00:00:00Z,$6286903
2019-12-24T00:00:00Z,$6336229
2019-12-23T00:00:00Z,$6497179
2019-12-22T00:00:00Z,$6288018
2019-12-21T00:00:00Z,$6239272
2019-12-20T00:00:00Z,$6196353
2019-12-19T00:00:00Z,$6289011
2019-12-18T00:00:00Z,$5730637
2019-12-17T00:00:00Z,$5990405
2019-12-16T00:00:00Z,$6181813
2019-12-15T00:00:00Z,$6139160
2019-12-14T00:00:00Z,$6263795
2019-12-13T00:00:00Z,$535214
2019-12-12T00:00:00Z,$6237972
2019-12-11T00:00:00Z,$6233850
2019-12-10T00:00:00Z,$6271235
2019-12-09T00:00:00Z,$6465715
2019-12-08T00:00:00Z,$6485408
2019-12-07T00:00:00Z,$6462542
2019-12-06T00:00:00Z,$6313620
2019-12-05T00:00:00Z,$6131103
2019-12-04T00:00:00Z,$6203190
2019-12-03T00:00:00Z,$6136680
2019-12-02T00:00:00Z,$6201392
2019-12-01T00:00:00Z,$6335334
2019-11-30T00:00:00Z,$6476278
2019-11-29T00:00:00Z,$551119
2019-11-28T00:00:00Z,$6320706
2019-11-27T00:00:00Z,$5999117
2019-11-26T00:00:00Z,$5976564
2019-11-25T00:00:00Z,$5826468
2019-11-24T00:00:00Z,$6172596
2019-11-23T00:00:00Z,$6100213
2019-11-22T00:00:00Z,$6379541
2019-11-21T00:00:00Z,$6781639
2019-11-20T00:00:00Z,$6796908
2019-11-19T00:00:00Z,$6794432
2019-11-18T00:00:00Z,$7105264
2019-11-17T00:00:00Z,$7081659
2019-11-16T00:00:00Z,$7017243
2019-11-15T00:00:00Z,$7163435
2019-11-14T00:00:00Z,$7259468
2019-11-13T00:00:00Z,$7260873
2019-11-12T00:00:00Z,$7191793
2019-11-11T00:00:00Z,$7462535
2019-11-10T00:00:00Z,$7304835
2019-11-09T00:00:00Z,$7222181
2019-11-08T00:00:00Z,$7592162
2019-11-07T00:00:00Z,$7702782
2019-11-06T00:00:00Z,$7685671
2019-11-05T00:00:00Z,$7760219
2019-11-04T00:00:00Z,$7663339
2019-11-03T00:00:00Z,$7788682
2019-11-02T00:00:00Z,$7682659
2019-11-01T00:00:00Z,$7591469
2019-10-31T00:00:00Z,$7638767
2019-10-30T00:00:00Z,$7826822
2019-10-29T00:00:00Z,$7644787
2019-10-28T00:00:00Z,$7892022
2019-10-27T00:00:00Z,$7621562
2019-10-26T00:00:00Z,$7172613
2019-10-25T00:00:00Z,$6224833
2019-10-24T00:00:00Z,$6210179
2019-10-23T00:00:00Z,$6705981
2019-10-22T00:00:00Z,$6826453
2019-10-21T00:00:00Z,$6862673
2019-10-20T00:00:00Z,$6659496
2019-10-19T00:00:00Z,$6580019
2019-10-18T00:00:00Z,$6711476
2019-10-17T00:00:00Z,$6669457
2019-10-16T00:00:00Z,$6750301
2019-10-15T00:00:00Z,$6934586
2019-10-14T00:00:00Z,$6892357
2019-10-13T00:00:00Z,$6976181
2019-10-12T00:00:00Z,$6829133
2019-10-11T00:00:00Z,$7084887
2019-10-10T00:00:00Z,$7037174
2019-10-09T00:00:00Z,$6733997
2019-10-08T00:00:00Z,$6731893
2019-10-07T00:00:00Z,$6481755
2019-10-06T00:00:00Z,$6785358
2019-10-05T00:00:00Z,$6705473
2019-10-04T00:00:00Z,$6770669
2019-10-03T00:00:00Z,$6891324
2019-10-02T00:00:00Z,$6836851
2019-10-01T00:00:00Z,$6821853
2019-09-30T00:00:00Z,$6701601
2019-09-29T00:00:00Z,$6845665
2019-09-28T00:00:00Z,$6871116
2019-09-27T00:00:00Z,$6740165
2019-09-26T00:00:00Z,$7040371
2019-09-25T00:00:00Z,$7108976
2019-09-24T00:00:00Z,$8095679
2019-09-23T00:00:00Z,$8420602
2019-09-22T00:00:00Z,$8399321
2019-09-21T00:00:00Z,$8538330
2019-09-20T00:00:00Z,$8581969
2019-09-19T00:00:00Z,$8491514
2019-09-18T00:00:00Z,$8534278
2019-09-17T00:00:00Z,$8627264
2019-09-16T00:00:00Z,$8710100
2019-09-15T00:00:00Z,$8681029
2019-09-14T00:00:00Z,$8625624
2019-09-13T00:00:00Z,$8693581
2019-09-12T00:00:00Z,$8472487
2019-09-11T00:00:00Z,$8504669
2019-09-10T00:00:00Z,$8756232
2019-09-09T00:00:00Z,$8856316
2019-09-08T00:00:00Z,$8902914
2019-09-07T00:00:00Z,$8695925
2019-09-06T00:00:00Z,$8879847
2019-09-05T00:00:00Z,$8969298
2019-09-04T00:00:00Z,$8990300
2019-09-03T00:00:00Z,$8763379
2019-09-02T00:00:00Z,$8305515
2019-09-01T00:00:00Z,$8276754
2019-08-31T00:00:00Z,$8201044
2019-08-30T00:00:00Z,$8107497
2019-08-29T00:00:00Z,$8286592
2019-08-28T00:00:00Z,$8707647
2019-08-27T00:00:00Z,$8770945
2019-08-26T00:00:00Z,$8609040
2019-08-25T00:00:00Z,$8736789
2019-08-24T00:00:00Z,$8943255
2019-08-23T00:00:00Z,$8547167
2019-08-22T00:00:00Z,$8496695
2019-08-21T00:00:00Z,$8973679
2019-08-20T00:00:00Z,$9111563
2019-08-19T00:00:00Z,$8641900
2019-08-18T00:00:00Z,$8558902
2019-08-17T00:00:00Z,$8640638
2019-08-16T00:00:00Z,$8601965
2019-08-15T00:00:00Z,$8330635
2019-08-14T00:00:00Z,$9015586
2019-08-13T00:00:00Z,$9397509
2019-08-12T00:00:00Z,$9586653
2019-08-11T00:00:00Z,$9363705
2019-08-10T00:00:00Z,$9827669
2019-08-09T00:00:00Z,$9926969
2019-08-08T00:00:00Z,$9882899
2019-08-07T00:00:00Z,$9520778
2019-08-06T00:00:00Z,$9799410
2019-08-05T00:00:00Z,$9101272
2019-08-04T00:00:00Z,$9048618
2019-08-03T00:00:00Z,$8802650
2019-08-02T00:00:00Z,$8648126
2019-08-01T00:00:00Z,$8383144
2019-07-31T00:00:00Z,$8666029
2019-07-30T00:00:00Z,$8599860
2019-07-29T00:00:00Z,$8618383
2019-07-28T00:00:00Z,$8566203
2019-07-27T00:00:00Z,$8909326
2019-07-26T00:00:00Z,$8938638
2019-07-25T00:00:00Z,$8824371
2019-07-24T00:00:00Z,$8929536
2019-07-23T00:00:00Z,$9346787
2019-07-22T00:00:00Z,$9673628
2019-07-21T00:00:00Z,$9830120
2019-07-20T00:00:00Z,$9612401
2019-07-19T00:00:00Z,$9691574
2019-07-18T00:00:00Z,$8776867
2019-07-17T00:00:00Z,$8500711
2019-07-16T00:00:00Z,$10231884
2019-07-15T00:00:00Z,$9610767
2019-07-14T00:00:00Z,$10705787
2019-07-13T00:00:00Z,$11072114
2019-07-12T00:00:00Z,$10658240
2019-07-11T00:00:00Z,$11462849
2019-07-10T00:00:00Z,$11889972
2019-07-09T00:00:00Z,$11563849
2019-07-08T00:00:00Z,$10753267
2019-07-07T00:00:00Z,$10580506
2019-07-06T00:00:00Z,$10297392
2019-07-05T00:00:00Z,$10486164
2019-07-04T00:00:00Z,$11242955
2019-07-03T00:00:00Z,$10200472
2019-07-02T00:00:00Z,$9996260
2019-07-01T00:00:00Z,$10124588
2019-06-30T00:00:00Z,$11187948
2019-06-29T00:00:00Z,$11641483
2019-06-28T00:00:00Z,$10538707
2019-06-27T00:00:00Z,$12215586
2019-06-26T00:00:00Z,$11121085
2019-06-25T00:00:00Z,$10472222
2019-06-24T00:00:00Z,$10324820
2019-06-23T00:00:00Z,$10168747
2019-06-22T00:00:00Z,$9686565
2019-06-21T00:00:00Z,$9054118
2019-06-20T00:00:00Z,$8807393
2019-06-19T00:00:00Z,$8630976
2019-06-18T00:00:00Z,$8884613
2019-06-17T00:00:00Z,$8550708
2019-06-16T00:00:00Z,$8397597
2019-06-15T00:00:00Z,$8247590
2019-06-14T00:00:00Z,$7805079
2019-06-13T00:00:00Z,$7740200
2019-06-12T00:00:00Z,$7513144
2019-06-11T00:00:00Z,$7613949
