time,TVL (USD)
2020-06-11T03:00:00Z,$8847614
2020-06-11T00:00:00Z,$8797778
2020-06-10T00:00:00Z,$8109084
2020-06-09T00:00:00Z,$7860805
2020-06-08T00:00:00Z,$7932189
2020-06-07T00:00:00Z,$7033959
2020-06-06T00:00:00Z,$6855157
2020-06-05T00:00:00Z,$7126387
2020-06-04T00:00:00Z,$6659507
2020-06-03T00:00:00Z,$6307211
2020-06-02T00:00:00Z,$6362392
2020-06-01T00:00:00Z,$5918731
2020-05-31T00:00:00Z,$6185286
2020-05-30T00:00:00Z,$5667800
2020-05-29T00:00:00Z,$5558194
2020-05-28T00:00:00Z,$5353936
2020-05-27T00:00:00Z,$5328859
2020-05-26T00:00:00Z,$5293174
2020-05-25T00:00:00Z,$5223249
2020-05-24T00:00:00Z,$5250532
2020-05-23T00:00:00Z,$5264048
2020-05-22T00:00:00Z,$5044076
2020-05-21T00:00:00Z,$5210413
2020-05-20T00:00:00Z,$5309282
2020-05-19T00:00:00Z,$5368893
2020-05-18T00:00:00Z,$5095856
2020-05-17T00:00:00Z,$5004737
2020-05-16T00:00:00Z,$4892499
2020-05-15T00:00:00Z,$5004625
2020-05-14T00:00:00Z,$4888249
2020-05-13T00:00:00Z,$4709446
2020-05-12T00:00:00Z,$4548427
2020-05-11T00:00:00Z,$4569354
2020-05-10T00:00:00Z,$4996239
2020-05-09T00:00:00Z,$5052597
2020-05-08T00:00:00Z,$4988432
2020-05-07T00:00:00Z,$4780987
2020-05-06T00:00:00Z,$4924351
2020-05-05T00:00:00Z,$4938465
2020-05-04T00:00:00Z,$5017250
2020-05-03T00:00:00Z,$5105826
2020-05-02T00:00:00Z,$5072265
2020-05-01T00:00:00Z,$4985428
2020-04-30T00:00:00Z,$5199703
2020-04-29T00:00:00Z,$4777001
2020-04-28T00:00:00Z,$4790267
2020-04-27T00:00:00Z,$4797518
2020-04-26T00:00:00Z,$4755758
2020-04-25T00:00:00Z,$4674799
2020-04-24T00:00:00Z,$4679919
2020-04-23T00:00:00Z,$4706256
2020-04-22T00:00:00Z,$4522015
2020-04-21T00:00:00Z,$4545158
2020-04-20T00:00:00Z,$4792168
2020-04-19T00:00:00Z,$4968279
2020-04-18T00:00:00Z,$4663324
2020-04-17T00:00:00Z,$4555494
2020-04-16T00:00:00Z,$4262050
2020-04-15T00:00:00Z,$4426079
2020-04-14T00:00:00Z,$4352502
2020-04-13T00:00:00Z,$4403062
2020-04-12T00:00:00Z,$4402539
2020-04-11T00:00:00Z,$4339197
2020-04-10T00:00:00Z,$4611219
2020-04-09T00:00:00Z,$4608262
2020-04-08T00:00:00Z,$4450650
2020-04-07T00:00:00Z,$4908809
2020-04-06T00:00:00Z,$4366462
2020-04-05T00:00:00Z,$4259190
2020-04-04T00:00:00Z,$4148545
2020-04-03T00:00:00Z,$4120426
2020-04-02T00:00:00Z,$3989627
2020-04-01T00:00:00Z,$3882302
2020-03-31T00:00:00Z,$3809263
2020-03-30T00:00:00Z,$3672846
2020-03-29T00:00:00Z,$3785480
2020-03-28T00:00:00Z,$3699144
2020-03-27T00:00:00Z,$3828540
2020-03-26T00:00:00Z,$3726459
2020-03-25T00:00:00Z,$3763673
2020-03-24T00:00:00Z,$3676634
2020-03-23T00:00:00Z,$3358672
2020-03-22T00:00:00Z,$3507949
2020-03-21T00:00:00Z,$3446394
2020-03-20T00:00:00Z,$3508688
2020-03-19T00:00:00Z,$3096974
2020-03-18T00:00:00Z,$1074447
2020-03-17T00:00:00Z,$1014778
2020-03-16T00:00:00Z,$1099404
2020-03-15T00:00:00Z,$1040621
2020-03-14T00:00:00Z,$888609
2020-03-13T00:00:00Z,$767096
2020-03-12T00:00:00Z,$1208781
2020-03-11T00:00:00Z,$1096456
2020-03-10T00:00:00Z,$1075367
2020-03-09T00:00:00Z,$1053538
2020-03-08T00:00:00Z,$1201359
2020-03-07T00:00:00Z,$1205396
2020-03-06T00:00:00Z,$1124461
2020-03-05T00:00:00Z,$1065139
2020-03-04T00:00:00Z,$1135282
2020-03-03T00:00:00Z,$1023739
2020-03-02T00:00:00Z,$946097
2020-03-01T00:00:00Z,$963766
2020-02-29T00:00:00Z,$970677
2020-02-28T00:00:00Z,$821974
2020-02-27T00:00:00Z,$787784
2020-02-26T00:00:00Z,$680542
2020-02-25T00:00:00Z,$732245
2020-02-24T00:00:00Z,$732245
2020-02-23T00:00:00Z,$787493
2020-02-22T00:00:00Z,$732274
2020-02-21T00:00:00Z,$662448
2020-02-20T00:00:00Z,$647253
2020-02-19T00:00:00Z,$686952
2020-02-18T00:00:00Z,$640403
2020-02-17T00:00:00Z,$642483
2020-02-16T00:00:00Z,$949
2020-02-15T00:00:00Z,$968
2020-02-14T00:00:00Z,$934
2020-02-13T00:00:00Z,$944
2020-02-12T00:00:00Z,$876
2020-02-11T00:00:00Z,$848
2020-02-10T00:00:00Z,$852
2020-02-09T00:00:00Z,$826
2020-02-08T00:00:00Z,$836
2020-02-07T00:00:00Z,$791
2020-02-06T00:00:00Z,$760
2020-02-05T00:00:00Z,$739
2020-02-04T00:00:00Z,$719
2020-02-03T00:00:00Z,$715
2020-02-02T00:00:00Z,$702
2020-02-01T00:00:00Z,$695
2020-01-31T00:00:00Z,$700
2020-01-30T00:00:00Z,$680
2020-01-29T00:00:00Z,$680
2020-01-28T00:00:00Z,$646
2020-01-27T00:00:00Z,$651
2020-01-26T00:00:00Z,$637
2020-01-25T00:00:00Z,$630
2020-01-24T00:00:00Z,$629
2020-01-23T00:00:00Z,$651
2020-01-22T00:00:00Z,$651
2020-01-21T00:00:00Z,$647
2020-01-20T00:00:00Z,$0
2020-01-19T00:00:00Z,$0
2020-01-18T00:00:00Z,$0
2020-01-17T00:00:00Z,$0
2020-01-16T00:00:00Z,$0
2020-01-15T00:00:00Z,$0
2020-01-14T00:00:00Z,$0
2020-01-13T00:00:00Z,$0
2020-01-12T00:00:00Z,$0
2020-01-11T00:00:00Z,$0
2020-01-10T00:00:00Z,$0
2020-01-09T00:00:00Z,$0
2020-01-08T00:00:00Z,$0
2020-01-07T00:00:00Z,$0
2020-01-06T00:00:00Z,$0
2020-01-05T00:00:00Z,$0
2020-01-04T00:00:00Z,$0
