time,TVL (USD)
2020-06-11T03:00:00Z,"$504,624,551 "
2020-06-11T00:00:00Z,"$498,181,442 "
2020-06-10T00:00:00Z,"$495,092,062 "
2020-06-09T00:00:00Z,"$532,406,239 "
2020-06-08T00:00:00Z,"$539,514,739 "
2020-06-07T00:00:00Z,"$532,949,447 "
2020-06-06T00:00:00Z,"$531,353,259 "
2020-06-05T00:00:00Z,"$536,829,474 "
2020-06-04T00:00:00Z,"$536,992,001 "
2020-06-03T00:00:00Z,"$515,202,147 "
2020-06-02T00:00:00Z,"$529,707,470 "
2020-06-01T00:00:00Z,"$510,769,240 "
2020-05-31T00:00:00Z,"$530,284,638 "
2020-05-30T00:00:00Z,"$487,255,358 "
2020-05-29T00:00:00Z,"$483,178,173 "
2020-05-28T00:00:00Z,"$460,596,388 "
2020-05-27T00:00:00Z,"$450,645,745 "
2020-05-26T00:00:00Z,"$458,340,358 "
2020-05-25T00:00:00Z,"$456,870,949 "
2020-05-24T00:00:00Z,"$466,146,521 "
2020-05-23T00:00:00Z,"$471,249,204 "
2020-05-22T00:00:00Z,"$437,949,432 "
2020-05-21T00:00:00Z,"$458,023,606 "
2020-05-20T00:00:00Z,"$453,800,984 "
2020-05-19T00:00:00Z,"$453,861,822 "
2020-05-18T00:00:00Z,"$436,893,108 "
2020-05-17T00:00:00Z,"$424,976,043 "
2020-05-16T00:00:00Z,"$413,474,863 "
2020-05-15T00:00:00Z,"$429,386,426 "
2020-05-14T00:00:00Z,"$423,672,683 "
2020-05-13T00:00:00Z,"$422,388,560 "
2020-05-12T00:00:00Z,"$422,520,162 "
2020-05-11T00:00:00Z,"$437,671,113 "
2020-05-10T00:00:00Z,"$477,401,029 "
2020-05-09T00:00:00Z,"$480,169,493 "
2020-05-08T00:00:00Z,"$480,969,511 "
2020-05-07T00:00:00Z,"$454,734,880 "
2020-05-06T00:00:00Z,"$469,837,803 "
2020-05-05T00:00:00Z,"$470,744,111 "
2020-05-04T00:00:00Z,"$473,162,855 "
2020-05-03T00:00:00Z,"$476,038,099 "
2020-05-02T00:00:00Z,"$457,232,101 "
2020-05-01T00:00:00Z,"$447,483,328 "
2020-04-30T00:00:00Z,"$476,885,719 "
2020-04-29T00:00:00Z,"$433,923,806 "
