time,TVL (USD)
2020-06-11T03:00:00Z,$818780
2020-06-11T00:00:00Z,$808676
2020-06-10T00:00:00Z,$784521
2020-06-09T00:00:00Z,$764055
2020-06-08T00:00:00Z,$741866
2020-06-07T00:00:00Z,$734702
2020-06-06T00:00:00Z,$719972
2020-06-05T00:00:00Z,$595517
2020-06-04T00:00:00Z,$586831
2020-06-03T00:00:00Z,$577515
2020-06-02T00:00:00Z,$591219
2020-06-01T00:00:00Z,$555625
2020-05-31T00:00:00Z,$576802
2020-05-30T00:00:00Z,$538982
2020-05-29T00:00:00Z,$535682
2020-05-28T00:00:00Z,$513500
2020-05-27T00:00:00Z,$504927
2020-05-26T00:00:00Z,$512739
2020-05-25T00:00:00Z,$500939
2020-05-24T00:00:00Z,$513322
2020-05-23T00:00:00Z,$497363
2020-05-22T00:00:00Z,$466588
2020-05-21T00:00:00Z,$479305
2020-05-20T00:00:00Z,$489548
2020-05-19T00:00:00Z,$480684
2020-05-18T00:00:00Z,$437129
2020-05-17T00:00:00Z,$427022
2020-05-16T00:00:00Z,$413255
2020-05-15T00:00:00Z,$395760
2020-05-14T00:00:00Z,$380079
2020-05-13T00:00:00Z,$354282
2020-05-12T00:00:00Z,$299520
2020-05-11T00:00:00Z,$245025
2020-05-10T00:00:00Z,$264400
2020-05-09T00:00:00Z,$241617
2020-05-08T00:00:00Z,$295469
2020-05-07T00:00:00Z,$284221
2020-05-06T00:00:00Z,$291668
2020-05-05T00:00:00Z,$292251
2020-05-04T00:00:00Z,$302876
2020-05-03T00:00:00Z,$285945
2020-05-02T00:00:00Z,$290877
2020-05-01T00:00:00Z,$283290
2020-04-30T00:00:00Z,$298798
2020-04-29T00:00:00Z,$267198
2020-04-28T00:00:00Z,$283480
2020-04-27T00:00:00Z,$266001
2020-04-26T00:00:00Z,$261424
2020-04-25T00:00:00Z,$238476
2020-04-24T00:00:00Z,$241162
2020-04-23T00:00:00Z,$233254
2020-04-22T00:00:00Z,$220200
2020-04-21T00:00:00Z,$229157
2020-04-20T00:00:00Z,$235249
2020-04-19T00:00:00Z,$237234
2020-04-18T00:00:00Z,$226828
2020-04-17T00:00:00Z,$242143
2020-04-16T00:00:00Z,$227658
2020-04-15T00:00:00Z,$235469
2020-04-14T00:00:00Z,$225014
2020-04-13T00:00:00Z,$229417
2020-04-12T00:00:00Z,$227184
2020-04-11T00:00:00Z,$226795
2020-04-10T00:00:00Z,$245954
2020-04-09T00:00:00Z,$244483
2020-04-08T00:00:00Z,$232663
2020-04-07T00:00:00Z,$238143
2020-04-06T00:00:00Z,$206465
2020-04-05T00:00:00Z,$207994
2020-04-04T00:00:00Z,$203655
2020-04-03T00:00:00Z,$203452
2020-04-02T00:00:00Z,$197891
2020-04-01T00:00:00Z,$196991
2020-03-31T00:00:00Z,$193410
2020-03-30T00:00:00Z,$186898
2020-03-29T00:00:00Z,$211301
2020-03-28T00:00:00Z,$215441
2020-03-27T00:00:00Z,$223384
2020-03-26T00:00:00Z,$217538
2020-03-25T00:00:00Z,$216255
2020-03-24T00:00:00Z,$195433
2020-03-23T00:00:00Z,$177097
2020-03-22T00:00:00Z,$191658
2020-03-21T00:00:00Z,$190290
2020-03-20T00:00:00Z,$192662
2020-03-19T00:00:00Z,$168338
2020-03-18T00:00:00Z,$164081
2020-03-17T00:00:00Z,$156377
2020-03-16T00:00:00Z,$173814
2020-03-15T00:00:00Z,$171783
2020-03-14T00:00:00Z,$187125
2020-03-13T00:00:00Z,$149708
2020-03-12T00:00:00Z,$267910
2020-03-11T00:00:00Z,$263875
2020-03-10T00:00:00Z,$267423
2020-03-09T00:00:00Z,$267656
2020-03-08T00:00:00Z,$316446
2020-03-07T00:00:00Z,$316873
2020-03-06T00:00:00Z,$294982
2020-03-05T00:00:00Z,$278287
2020-03-04T00:00:00Z,$273028
2020-03-03T00:00:00Z,$281069
2020-03-02T00:00:00Z,$268446
2020-03-01T00:00:00Z,$269763
2020-02-29T00:00:00Z,$274566
