time,TVL (USD)
2020-06-11T03:00:00Z,$4165454
2020-06-11T00:00:00Z,$4112475
2020-06-10T00:00:00Z,$4066232
2020-06-09T00:00:00Z,$4098369
2020-06-08T00:00:00Z,$4047594
2020-06-07T00:00:00Z,$4005245
2020-06-06T00:00:00Z,$3971585
2020-06-05T00:00:00Z,$4003956
2020-06-04T00:00:00Z,$4016515
2020-06-03T00:00:00Z,$3918399
2020-06-02T00:00:00Z,$4024312
2020-06-01T00:00:00Z,$3813201
2020-05-31T00:00:00Z,$4006557
2020-05-30T00:00:00Z,$3617757
2020-05-29T00:00:00Z,$3607496
2020-05-28T00:00:00Z,$3420988
2020-05-27T00:00:00Z,$3350549
2020-05-26T00:00:00Z,$3405226
2020-05-25T00:00:00Z,$3393329
2020-05-24T00:00:00Z,$3453498
2020-05-23T00:00:00Z,$3451420
2020-05-22T00:00:00Z,$3314744
2020-05-21T00:00:00Z,$3464970
2020-05-20T00:00:00Z,$3518464
2020-05-19T00:00:00Z,$3526328
2020-05-18T00:00:00Z,$3400961
2020-05-17T00:00:00Z,$3307400
2020-05-16T00:00:00Z,$3210832
2020-05-15T00:00:00Z,$3338649
2020-05-14T00:00:00Z,$3276995
2020-05-13T00:00:00Z,$3141366
2020-05-12T00:00:00Z,$3060662
2020-05-11T00:00:00Z,$3085866
2020-05-10T00:00:00Z,$3424309
2020-05-09T00:00:00Z,$3448653
2020-05-08T00:00:00Z,$3454559
2020-05-07T00:00:00Z,$3253729
2020-05-06T00:00:00Z,$3359882
2020-05-05T00:00:00Z,$3378029
2020-05-04T00:00:00Z,$3469474
2020-05-03T00:00:00Z,$3521485
2020-05-02T00:00:00Z,$3528804
2020-05-01T00:00:00Z,$3453128
2020-04-30T00:00:00Z,$3596338
2020-04-29T00:00:00Z,$3292282
2020-04-28T00:00:00Z,$3289769
2020-04-27T00:00:00Z,$3303940
2020-04-26T00:00:00Z,$3267190
2020-04-25T00:00:00Z,$3152139
2020-04-24T00:00:00Z,$3113623
2020-04-23T00:00:00Z,$3096658
2020-04-22T00:00:00Z,$2921876
2020-04-21T00:00:00Z,$2919777
2020-04-20T00:00:00Z,$3074736
2020-04-19T00:00:00Z,$3206468
2020-04-18T00:00:00Z,$2930008
2020-04-17T00:00:00Z,$2945654
2020-04-16T00:00:00Z,$2656492
2020-04-15T00:00:00Z,$2746488
2020-04-14T00:00:00Z,$2683596
2020-04-13T00:00:00Z,$2717418
2020-04-12T00:00:00Z,$2642920
2020-04-11T00:00:00Z,$2618759
2020-04-10T00:00:00Z,$2814313
2020-04-09T00:00:00Z,$2864445
2020-04-08T00:00:00Z,$2654682
2020-04-07T00:00:00Z,$2757567
2020-04-06T00:00:00Z,$2316741
2020-04-05T00:00:00Z,$2334203
2020-04-04T00:00:00Z,$2283496
2020-04-03T00:00:00Z,$2181012
2020-04-02T00:00:00Z,$2100981
2020-04-01T00:00:00Z,$2070319
2020-03-31T00:00:00Z,$2047238
2020-03-30T00:00:00Z,$1945248
2020-03-29T00:00:00Z,$2040205
2020-03-28T00:00:00Z,$2049674
2020-03-27T00:00:00Z,$2050272
2020-03-26T00:00:00Z,$2009062
2020-03-25T00:00:00Z,$2048653
2020-03-24T00:00:00Z,$2014851
2020-03-23T00:00:00Z,$1819142
2020-03-22T00:00:00Z,$1957373
2020-03-21T00:00:00Z,$1962262
2020-03-20T00:00:00Z,$2015184
2020-03-19T00:00:00Z,$1610918
2020-03-18T00:00:00Z,$1568534
2020-03-17T00:00:00Z,$1513329
2020-03-16T00:00:00Z,$1694776
2020-03-15T00:00:00Z,$1668072
2020-03-14T00:00:00Z,$1827610
2020-03-13T00:00:00Z,$1476161
2020-03-12T00:00:00Z,$2621437
2020-03-11T00:00:00Z,$2694418
2020-03-10T00:00:00Z,$2719502
2020-03-09T00:00:00Z,$2697160
2020-03-08T00:00:00Z,$3213684
2020-03-07T00:00:00Z,$3298441
2020-03-06T00:00:00Z,$3068652
2020-03-05T00:00:00Z,$3025588
2020-03-04T00:00:00Z,$3000617
2020-03-03T00:00:00Z,$3110963
2020-03-02T00:00:00Z,$2947691
2020-03-01T00:00:00Z,$2980501
2020-02-29T00:00:00Z,$3076561
2020-02-28T00:00:00Z,$3080169
2020-02-27T00:00:00Z,$3006778
2020-02-26T00:00:00Z,$3340374
2020-02-25T00:00:00Z,$3599573
2020-02-24T00:00:00Z,$3703354
2020-02-23T00:00:00Z,$3552818
2020-02-22T00:00:00Z,$3560253
2020-02-21T00:00:00Z,$3446985
2020-02-20T00:00:00Z,$3502279
2020-02-19T00:00:00Z,$3822942
2020-02-18T00:00:00Z,$3593230
2020-02-17T00:00:00Z,$3459782
2020-02-16T00:00:00Z,$3498064
2020-02-15T00:00:00Z,$3766036
2020-02-14T00:00:00Z,$3518327
2020-02-13T00:00:00Z,$3493389
2020-02-12T00:00:00Z,$3115703
2020-02-11T00:00:00Z,$2926733
2020-02-10T00:00:00Z,$2998762
2020-02-09T00:00:00Z,$2929709
2020-02-08T00:00:00Z,$2929431
2020-02-07T00:00:00Z,$2789714
2020-02-06T00:00:00Z,$2669783
2020-02-05T00:00:00Z,$2483488
2020-02-04T00:00:00Z,$2496847
2020-02-03T00:00:00Z,$2484937
2020-02-02T00:00:00Z,$2420130
2020-02-01T00:00:00Z,$2369107
2020-01-31T00:00:00Z,$2439012
2020-01-30T00:00:00Z,$2273656
2020-01-29T00:00:00Z,$2299334
2020-01-28T00:00:00Z,$2224140
2020-01-27T00:00:00Z,$2196029
2020-01-26T00:00:00Z,$2114770
2020-01-25T00:00:00Z,$2137756
2020-01-24T00:00:00Z,$2137844
2020-01-23T00:00:00Z,$2213873
2020-01-22T00:00:00Z,$2249705
2020-01-21T00:00:00Z,$2218949
2020-01-20T00:00:00Z,$2218867
2020-01-19T00:00:00Z,$2311385
2020-01-18T00:00:00Z,$2250238
2020-01-17T00:00:00Z,$2174758
2020-01-16T00:00:00Z,$2196365
2020-01-15T00:00:00Z,$2184439
2020-01-14T00:00:00Z,$1887244
2020-01-13T00:00:00Z,$1887592
2020-01-12T00:00:00Z,$1824332
2020-01-11T00:00:00Z,$1851017
2020-01-10T00:00:00Z,$1763372
2020-01-09T00:00:00Z,$1794381
2020-01-08T00:00:00Z,$1822630
2020-01-07T00:00:00Z,$1842933
