time,TVL (USD)
2020-06-11T03:00:00Z,$2740960
2020-06-11T00:00:00Z,$2724739
2020-06-10T00:00:00Z,$2707052
2020-06-09T00:00:00Z,$2702206
2020-06-08T00:00:00Z,$2706915
2020-06-07T00:00:00Z,$2655505
2020-06-06T00:00:00Z,$2533521
2020-06-05T00:00:00Z,$2482096
2020-06-04T00:00:00Z,$2504667
2020-06-03T00:00:00Z,$2490269
2020-06-02T00:00:00Z,$2543609
2020-06-01T00:00:00Z,$2483633
2020-05-31T00:00:00Z,$2545245
2020-05-30T00:00:00Z,$2498356
2020-05-29T00:00:00Z,$2532786
2020-05-28T00:00:00Z,$2452173
2020-05-27T00:00:00Z,$2440247
2020-05-26T00:00:00Z,$2447788
2020-05-25T00:00:00Z,$2448497
2020-05-24T00:00:00Z,$2385303
2020-05-23T00:00:00Z,$2280685
2020-05-22T00:00:00Z,$2229368
2020-05-21T00:00:00Z,$2272517
2020-05-20T00:00:00Z,$2267605
2020-05-19T00:00:00Z,$2262818
2020-05-18T00:00:00Z,$2226813
2020-05-17T00:00:00Z,$2192172
2020-05-16T00:00:00Z,$2177727
2020-05-15T00:00:00Z,$2251363
2020-05-14T00:00:00Z,$2270923
2020-05-13T00:00:00Z,$2248349
2020-05-12T00:00:00Z,$2194689
2020-05-11T00:00:00Z,$2208390
2020-05-10T00:00:00Z,$2353459
2020-05-09T00:00:00Z,$2347380
2020-05-08T00:00:00Z,$2322489
2020-05-07T00:00:00Z,$2244026
2020-05-06T00:00:00Z,$2299988
2020-05-05T00:00:00Z,$2320183
2020-05-04T00:00:00Z,$2343151
2020-05-03T00:00:00Z,$2361566
2020-05-02T00:00:00Z,$2365322
2020-05-01T00:00:00Z,$2268292
2020-04-30T00:00:00Z,$2419650
2020-04-29T00:00:00Z,$2279782
2020-04-28T00:00:00Z,$2285156
2020-04-27T00:00:00Z,$2126676
2020-04-26T00:00:00Z,$2308133
2020-04-25T00:00:00Z,$2258153
2020-04-24T00:00:00Z,$2283414
