time,TVL (USD)
2020-06-11T03:00:00Z,$1812095
2020-06-11T00:00:00Z,$1833799
2020-06-10T00:00:00Z,$1823420
2020-06-09T00:00:00Z,$1797534
2020-06-08T00:00:00Z,$1765248
2020-06-07T00:00:00Z,$1687604
2020-06-06T00:00:00Z,$1471883
2020-06-05T00:00:00Z,$1810136
2020-06-04T00:00:00Z,$1598328
2020-06-03T00:00:00Z,$1578683
2020-06-02T00:00:00Z,$1523787
2020-06-01T00:00:00Z,$1442945
2020-05-31T00:00:00Z,$1419238
2020-05-30T00:00:00Z,$1344704
2020-05-29T00:00:00Z,$2102393
2020-05-28T00:00:00Z,$1980828
2020-05-27T00:00:00Z,$1867293
2020-05-26T00:00:00Z,$1770079
2020-05-25T00:00:00Z,$1744051
2020-05-24T00:00:00Z,$1681297
2020-05-23T00:00:00Z,$1598792
2020-05-22T00:00:00Z,$1668460
2020-05-21T00:00:00Z,$1587667
2020-05-20T00:00:00Z,$1531680
2020-05-19T00:00:00Z,$1491067
2020-05-18T00:00:00Z,$1256048
2020-05-17T00:00:00Z,$1144111
2020-05-16T00:00:00Z,$1109552
2020-05-15T00:00:00Z,$1500059
2020-05-14T00:00:00Z,$1448735
2020-05-13T00:00:00Z,$1382161
2020-05-12T00:00:00Z,$1325492
2020-05-11T00:00:00Z,$1229551
2020-05-10T00:00:00Z,$1329818
2020-05-09T00:00:00Z,$1267956
2020-05-08T00:00:00Z,$1837528
2020-05-07T00:00:00Z,$1705460
2020-05-06T00:00:00Z,$1636389
2020-05-05T00:00:00Z,$1587161
2020-05-04T00:00:00Z,$1644450
2020-05-03T00:00:00Z,$1601537
2020-05-02T00:00:00Z,$1554596
2020-05-01T00:00:00Z,$1512100
2020-04-30T00:00:00Z,$1374402
2020-04-29T00:00:00Z,$1206337
2020-04-28T00:00:00Z,$1171733
2020-04-27T00:00:00Z,$678349
2020-04-26T00:00:00Z,$917177
2020-04-25T00:00:00Z,$825330
2020-04-24T00:00:00Z,$2009234
2020-04-23T00:00:00Z,$1790552
2020-04-22T00:00:00Z,$1569160
2020-04-21T00:00:00Z,$1582179
2020-04-20T00:00:00Z,$1689507
2020-04-19T00:00:00Z,$1527554
2020-04-18T00:00:00Z,$1397368
2020-04-17T00:00:00Z,$1294841
2020-04-16T00:00:00Z,$1168609
2020-04-15T00:00:00Z,$1168537
2020-04-14T00:00:00Z,$1019143
2020-04-13T00:00:00Z,$1085874
2020-04-12T00:00:00Z,$1025935
2020-04-11T00:00:00Z,$1011426
2020-04-10T00:00:00Z,$850320
2020-04-09T00:00:00Z,$701086
2020-04-08T00:00:00Z,$586244
2020-04-07T00:00:00Z,$581417
2020-04-06T00:00:00Z,$490294
2020-04-05T00:00:00Z,$471480
2020-04-04T00:00:00Z,$690599
2020-04-03T00:00:00Z,$622092
2020-04-02T00:00:00Z,$622880
2020-04-01T00:00:00Z,$302782
2020-03-31T00:00:00Z,$288377
2020-03-30T00:00:00Z,$260986
2020-03-29T00:00:00Z,$305693
2020-03-28T00:00:00Z,$323378
2020-03-27T00:00:00Z,$327093
2020-03-26T00:00:00Z,$303718
2020-03-25T00:00:00Z,$308369
2020-03-24T00:00:00Z,$246030
2020-03-23T00:00:00Z,$196145
2020-03-22T00:00:00Z,$214915
2020-03-21T00:00:00Z,$207498
2020-03-20T00:00:00Z,$196719
2020-03-19T00:00:00Z,$171455
2020-03-18T00:00:00Z,$166918
2020-03-17T00:00:00Z,$160386
2020-03-16T00:00:00Z,$179839
2020-03-15T00:00:00Z,$176539
2020-03-14T00:00:00Z,$192811
2020-03-13T00:00:00Z,$140643
2020-03-12T00:00:00Z,$198074
2020-03-11T00:00:00Z,$202633
2020-03-10T00:00:00Z,$204247
2020-03-09T00:00:00Z,$185897
2020-03-08T00:00:00Z,$263299
2020-03-07T00:00:00Z,$270403
2020-03-06T00:00:00Z,$251894
2020-03-05T00:00:00Z,$248995
2020-03-04T00:00:00Z,$267237
2020-03-03T00:00:00Z,$277353
2020-03-02T00:00:00Z,$256223
2020-03-01T00:00:00Z,$274155
2020-02-29T00:00:00Z,$283101
2020-02-28T00:00:00Z,$282739
2020-02-27T00:00:00Z,$272149
2020-02-26T00:00:00Z,$290118
2020-02-25T00:00:00Z,$288439
2020-02-24T00:00:00Z,$291007
2020-02-23T00:00:00Z,$276467
2020-02-22T00:00:00Z,$90651
2020-02-21T00:00:00Z,$69944
2020-02-20T00:00:00Z,$70577
2020-02-19T00:00:00Z,$74556
2020-02-18T00:00:00Z,$59598
2020-02-17T00:00:00Z,$57679
2020-02-16T00:00:00Z,$58936
2020-02-15T00:00:00Z,$63529
2020-02-14T00:00:00Z,$59647
2020-02-13T00:00:00Z,$59102
2020-02-12T00:00:00Z,$1
