time,TVL (USD)
2020-06-11T03:00:00Z,$1833135
2020-06-11T00:00:00Z,$1823922
2020-06-10T00:00:00Z,$1820134
2020-06-09T00:00:00Z,$1822784
2020-06-08T00:00:00Z,$1847996
2020-06-07T00:00:00Z,$1832289
2020-06-06T00:00:00Z,$1755037
2020-06-05T00:00:00Z,$1821469
2020-06-04T00:00:00Z,$1821448
2020-06-03T00:00:00Z,$1808454
2020-06-02T00:00:00Z,$1857718
2020-06-01T00:00:00Z,$1817123
2020-05-31T00:00:00Z,$1858429
2020-05-30T00:00:00Z,$1783072
2020-05-29T00:00:00Z,$1796501
2020-05-28T00:00:00Z,$1769457
2020-05-27T00:00:00Z,$1750478
2020-05-26T00:00:00Z,$1747084
2020-05-25T00:00:00Z,$1758018
2020-05-24T00:00:00Z,$1764980
2020-05-23T00:00:00Z,$1758857
2020-05-22T00:00:00Z,$1740060
2020-05-21T00:00:00Z,$1755114
2020-05-20T00:00:00Z,$1767574
2020-05-19T00:00:00Z,$1781429
2020-05-18T00:00:00Z,$1708390
2020-05-17T00:00:00Z,$1700852
2020-05-16T00:00:00Z,$1666606
2020-05-15T00:00:00Z,$1693569
2020-05-14T00:00:00Z,$1692003
2020-05-13T00:00:00Z,$1647007
2020-05-12T00:00:00Z,$1628652
2020-05-11T00:00:00Z,$1616361
2020-05-10T00:00:00Z,$1710767
2020-05-09T00:00:00Z,$1716947
2020-05-08T00:00:00Z,$1720003
2020-05-07T00:00:00Z,$1686534
2020-05-06T00:00:00Z,$1689204
2020-05-05T00:00:00Z,$1692418
2020-05-04T00:00:00Z,$1703871
2020-05-03T00:00:00Z,$1708111
2020-05-02T00:00:00Z,$1705067
2020-05-01T00:00:00Z,$1634945
2020-04-30T00:00:00Z,$1735993
2020-04-29T00:00:00Z,$1749893
2020-04-28T00:00:00Z,$1755208
2020-04-27T00:00:00Z,$1517653
2020-04-26T00:00:00Z,$1754224
2020-04-25T00:00:00Z,$1710577
2020-04-24T00:00:00Z,$1756001
2020-04-23T00:00:00Z,$1755199
2020-04-22T00:00:00Z,$1710276
2020-04-21T00:00:00Z,$1695175
2020-04-20T00:00:00Z,$1787154
2020-04-19T00:00:00Z,$1768111
2020-04-18T00:00:00Z,$2031871
2020-04-17T00:00:00Z,$2055224
2020-04-16T00:00:00Z,$1983025
2020-04-15T00:00:00Z,$2003498
2020-04-14T00:00:00Z,$2009201
2020-04-13T00:00:00Z,$2066136
2020-04-12T00:00:00Z,$1999174
2020-04-11T00:00:00Z,$1971189
2020-04-10T00:00:00Z,$2044556
2020-04-09T00:00:00Z,$2014665
2020-04-08T00:00:00Z,$1958205
2020-04-07T00:00:00Z,$1999151
2020-04-06T00:00:00Z,$1929607
2020-04-05T00:00:00Z,$1938588
2020-04-04T00:00:00Z,$1894234
2020-04-03T00:00:00Z,$1934138
2020-04-02T00:00:00Z,$1936221
2020-04-01T00:00:00Z,$1617376
2020-03-31T00:00:00Z,$1623697
2020-03-30T00:00:00Z,$1542903
2020-03-29T00:00:00Z,$1599189
2020-03-28T00:00:00Z,$1602514
2020-03-27T00:00:00Z,$1510226
2020-03-26T00:00:00Z,$1500604
2020-03-25T00:00:00Z,$1515323
2020-03-24T00:00:00Z,$1506609
2020-03-23T00:00:00Z,$1415648
2020-03-22T00:00:00Z,$1893700
2020-03-21T00:00:00Z,$1452877
2020-03-20T00:00:00Z,$1474637
2020-03-19T00:00:00Z,$1475514
2020-03-18T00:00:00Z,$1389060
2020-03-17T00:00:00Z,$1701241
2020-03-16T00:00:00Z,$1762349
2020-03-15T00:00:00Z,$1989765
2020-03-14T00:00:00Z,$2471124
2020-03-13T00:00:00Z,$3180661
2020-03-12T00:00:00Z,$3171214
2020-03-11T00:00:00Z,$3166810
2020-03-10T00:00:00Z,$3239270
2020-03-09T00:00:00Z,$3212296
2020-03-08T00:00:00Z,$3300711
2020-03-07T00:00:00Z,$3255120
2020-03-06T00:00:00Z,$3703345
2020-03-05T00:00:00Z,$3138063
2020-03-04T00:00:00Z,$3122027
2020-03-03T00:00:00Z,$3090986
