time,TVL (USD)
2020-06-11T03:00:00Z,$17487793
2020-06-11T00:00:00Z,$17176809
2020-06-10T00:00:00Z,$17020429
2020-06-09T00:00:00Z,$16939534
2020-06-08T00:00:00Z,$16782355
2020-06-07T00:00:00Z,$16584887
2020-06-06T00:00:00Z,$16494963
2020-06-05T00:00:00Z,$16641003
2020-06-04T00:00:00Z,$16637301
2020-06-03T00:00:00Z,$16323360
2020-06-02T00:00:00Z,$15868325
2020-06-01T00:00:00Z,$15074435
2020-05-31T00:00:00Z,$15752050
2020-05-30T00:00:00Z,$14288085
2020-05-29T00:00:00Z,$14310033
2020-05-28T00:00:00Z,$13746722
2020-05-27T00:00:00Z,$13473217
2020-05-26T00:00:00Z,$13628535
2020-05-25T00:00:00Z,$13919574
2020-05-24T00:00:00Z,$14148128
2020-05-23T00:00:00Z,$14044304
2020-05-22T00:00:00Z,$14119836
2020-05-21T00:00:00Z,$14029706
2020-05-20T00:00:00Z,$14214619
2020-05-19T00:00:00Z,$14189615
2020-05-18T00:00:00Z,$14137473
2020-05-17T00:00:00Z,$13932189
2020-05-16T00:00:00Z,$13961949
2020-05-15T00:00:00Z,$14264624
2020-05-14T00:00:00Z,$15397022
2020-05-13T00:00:00Z,$15442663
2020-05-12T00:00:00Z,$15592290
2020-05-11T00:00:00Z,$15203021
2020-05-10T00:00:00Z,$17211506
2020-05-09T00:00:00Z,$17302121
2020-05-08T00:00:00Z,$17233101
2020-05-07T00:00:00Z,$16023634
2020-05-06T00:00:00Z,$15523520
2020-05-05T00:00:00Z,$14977933
2020-05-04T00:00:00Z,$14791946
2020-05-03T00:00:00Z,$14794996
2020-05-02T00:00:00Z,$14660732
2020-05-01T00:00:00Z,$13846591
2020-04-30T00:00:00Z,$14177103
2020-04-29T00:00:00Z,$12908577
2020-04-28T00:00:00Z,$12828067
2020-04-27T00:00:00Z,$12697588
2020-04-26T00:00:00Z,$12515094
2020-04-25T00:00:00Z,$12044279
2020-04-24T00:00:00Z,$11724625
2020-04-23T00:00:00Z,$11620334
2020-04-22T00:00:00Z,$10947298
2020-04-21T00:00:00Z,$10885749
2020-04-20T00:00:00Z,$11249025
2020-04-19T00:00:00Z,$11446610
2020-04-18T00:00:00Z,$10335503
2020-04-17T00:00:00Z,$10196153
2020-04-16T00:00:00Z,$9006254
2020-04-15T00:00:00Z,$9148847
2020-04-14T00:00:00Z,$8968076
2020-04-13T00:00:00Z,$8974067
2020-04-12T00:00:00Z,$8770177
2020-04-11T00:00:00Z,$8546931
2020-04-10T00:00:00Z,$8972813
2020-04-09T00:00:00Z,$9092040
2020-04-08T00:00:00Z,$6585618
2020-04-07T00:00:00Z,$6446984
2020-04-06T00:00:00Z,$5411518
2020-04-05T00:00:00Z,$5310129
2020-04-04T00:00:00Z,$5054365
2020-04-03T00:00:00Z,$5005333
2020-04-02T00:00:00Z,$4528466
2020-04-01T00:00:00Z,$4365129
2020-03-31T00:00:00Z,$4329886
2020-03-30T00:00:00Z,$4153161
2020-03-29T00:00:00Z,$4345415
2020-03-28T00:00:00Z,$4328901
2020-03-27T00:00:00Z,$4304450
2020-03-26T00:00:00Z,$4269276
2020-03-25T00:00:00Z,$4268277
2020-03-24T00:00:00Z,$4075168
2020-03-23T00:00:00Z,$3879612
2020-03-22T00:00:00Z,$6947232
2020-03-21T00:00:00Z,$4113085
2020-03-20T00:00:00Z,$4071588
2020-03-19T00:00:00Z,$4257723
2020-03-18T00:00:00Z,$3815237
2020-03-17T00:00:00Z,$3897253
2020-03-16T00:00:00Z,$3758295
2020-03-15T00:00:00Z,$3997007
2020-03-14T00:00:00Z,$3872672
2020-03-13T00:00:00Z,$4417361
2020-03-12T00:00:00Z,$4531568
2020-03-11T00:00:00Z,$4491393
2020-03-10T00:00:00Z,$4680264
2020-03-09T00:00:00Z,$4879155
2020-03-08T00:00:00Z,$5571667
2020-03-07T00:00:00Z,$5579503
2020-03-06T00:00:00Z,$5354685
2020-03-05T00:00:00Z,$5346905
2020-03-04T00:00:00Z,$5394318
2020-03-03T00:00:00Z,$5298193
2020-03-02T00:00:00Z,$5263255
2020-03-01T00:00:00Z,$5268647
2020-02-29T00:00:00Z,$5280767
2020-02-28T00:00:00Z,$5520917
2020-02-27T00:00:00Z,$5464428
2020-02-26T00:00:00Z,$5720862
2020-02-25T00:00:00Z,$5799008
2020-02-24T00:00:00Z,$5941131
2020-02-23T00:00:00Z,$5724663
2020-02-22T00:00:00Z,$5736443
2020-02-21T00:00:00Z,$5530468
2020-02-20T00:00:00Z,$5574524
2020-02-19T00:00:00Z,$5960412
2020-02-18T00:00:00Z,$5641121
2020-02-17T00:00:00Z,$5528823
2020-02-16T00:00:00Z,$5530737
2020-02-15T00:00:00Z,$5924212
2020-02-14T00:00:00Z,$5647596
2020-02-13T00:00:00Z,$5497475
2020-02-12T00:00:00Z,$4866116
2020-02-11T00:00:00Z,$4550655
2020-02-10T00:00:00Z,$4608518
2020-02-09T00:00:00Z,$4512044
2020-02-08T00:00:00Z,$4411313
2020-02-07T00:00:00Z,$4181159
2020-02-06T00:00:00Z,$3901802
2020-02-05T00:00:00Z,$3629683
2020-02-04T00:00:00Z,$3608453
2020-02-03T00:00:00Z,$3567374
2020-02-02T00:00:00Z,$3471247
2020-02-01T00:00:00Z,$3360094
2020-01-31T00:00:00Z,$3404878
2020-01-30T00:00:00Z,$3383153
2020-01-29T00:00:00Z,$3353616
2020-01-28T00:00:00Z,$3352766
2020-01-27T00:00:00Z,$3309284
2020-01-26T00:00:00Z,$3211966
2020-01-25T00:00:00Z,$3181871
2020-01-24T00:00:00Z,$3024346
2020-01-23T00:00:00Z,$2908815
2020-01-22T00:00:00Z,$2644897
2020-01-21T00:00:00Z,$2549907
2020-01-20T00:00:00Z,$2641311
2020-01-19T00:00:00Z,$2735030
2020-01-18T00:00:00Z,$2670100
2020-01-17T00:00:00Z,$2586583
2020-01-16T00:00:00Z,$2563449
2020-01-15T00:00:00Z,$2479495
2020-01-14T00:00:00Z,$2123061
2020-01-13T00:00:00Z,$2162351
2020-01-12T00:00:00Z,$2102419
2020-01-11T00:00:00Z,$2124054
2020-01-10T00:00:00Z,$2012991
2020-01-09T00:00:00Z,$2019754
2020-01-08T00:00:00Z,$2000420
2020-01-07T00:00:00Z,$2008232
2020-01-06T00:00:00Z,$1940143
2020-01-05T00:00:00Z,$1855450
2020-01-04T00:00:00Z,$1851068
2020-01-03T00:00:00Z,$1779612
2020-01-02T00:00:00Z,$1902861
2020-01-01T00:00:00Z,$1834353
2019-12-31T00:00:00Z,$1810688
2019-12-30T00:00:00Z,$1815466
2019-12-29T00:00:00Z,$1770552
2019-12-28T00:00:00Z,$1765721
2019-12-27T00:00:00Z,$1714562
2019-12-26T00:00:00Z,$1740670
2019-12-25T00:00:00Z,$1741291
2019-12-24T00:00:00Z,$1765005
2019-12-23T00:00:00Z,$1741564
2019-12-22T00:00:00Z,$1727742
2019-12-21T00:00:00Z,$1727211
2019-12-20T00:00:00Z,$1662393
2019-12-19T00:00:00Z,$1656475
2019-12-18T00:00:00Z,$1609532
2019-12-17T00:00:00Z,$1503664
2019-12-16T00:00:00Z,$1466290
2019-12-15T00:00:00Z,$1448317
2019-12-14T00:00:00Z,$1453778
2019-12-13T00:00:00Z,$1439860
2019-12-12T00:00:00Z,$1463561
2019-12-11T00:00:00Z,$1439185
2019-12-10T00:00:00Z,$1442394
2019-12-09T00:00:00Z,$1409122
2019-12-08T00:00:00Z,$1419318
2019-12-07T00:00:00Z,$1417396
2019-12-06T00:00:00Z,$1359851
2019-12-05T00:00:00Z,$1467839
2019-12-04T00:00:00Z,$1342650
2019-12-03T00:00:00Z,$1403782
2019-12-02T00:00:00Z,$1422713
2019-12-01T00:00:00Z,$1396507
2019-11-30T00:00:00Z,$1405210
2019-11-29T00:00:00Z,$1398238
2019-11-28T00:00:00Z,$1403559
2019-11-27T00:00:00Z,$1380454
2019-11-26T00:00:00Z,$1414936
2019-11-25T00:00:00Z,$1395230
2019-11-24T00:00:00Z,$1479497
2019-11-23T00:00:00Z,$1415348
2019-11-22T00:00:00Z,$1483089
2019-11-21T00:00:00Z,$1518436
2019-11-20T00:00:00Z,$1526480
2019-11-19T00:00:00Z,$1574364
2019-11-18T00:00:00Z,$1672377
2019-11-17T00:00:00Z,$1789546
2019-11-16T00:00:00Z,$1743365
2019-11-15T00:00:00Z,$1869506
2019-11-14T00:00:00Z,$2292690
2019-11-13T00:00:00Z,$2269503
2019-11-12T00:00:00Z,$2313374
2019-11-11T00:00:00Z,$2340117
2019-11-10T00:00:00Z,$2320113
2019-11-09T00:00:00Z,$2290987
2019-11-08T00:00:00Z,$2344855
2019-11-07T00:00:00Z,$2440665
2019-11-06T00:00:00Z,$2396521
2019-11-05T00:00:00Z,$2364952
2019-11-04T00:00:00Z,$2344738
2019-11-03T00:00:00Z,$2467900
2019-11-02T00:00:00Z,$2459458
2019-11-01T00:00:00Z,$2438168
2019-10-31T00:00:00Z,$2459870
2019-10-30T00:00:00Z,$2543139
2019-10-29T00:00:00Z,$2394406
2019-10-28T00:00:00Z,$2415794
2019-10-27T00:00:00Z,$2356584
2019-10-26T00:00:00Z,$2592419
2019-10-25T00:00:00Z,$2502258
2019-10-24T00:00:00Z,$2476166
2019-10-23T00:00:00Z,$2640215
2019-10-22T00:00:00Z,$2602086
2019-10-21T00:00:00Z,$2581626
2019-10-20T00:00:00Z,$2615777
2019-10-19T00:00:00Z,$2547755
2019-10-18T00:00:00Z,$2577486
2019-10-17T00:00:00Z,$2567776
2019-10-16T00:00:00Z,$2643608
2019-10-15T00:00:00Z,$2733402
2019-10-14T00:00:00Z,$2739173
2019-10-13T00:00:00Z,$2738219
2019-10-12T00:00:00Z,$2657692
2019-10-11T00:00:00Z,$2818385
2019-10-10T00:00:00Z,$2833330
2019-10-09T00:00:00Z,$2805616
2019-10-08T00:00:00Z,$2776742
2019-10-07T00:00:00Z,$2780714
2019-10-06T00:00:00Z,$2867031
2019-10-05T00:00:00Z,$2724187
2019-10-04T00:00:00Z,$2705481
2019-10-03T00:00:00Z,$2775912
2019-10-02T00:00:00Z,$2695289
2019-10-01T00:00:00Z,$2585297
2019-09-30T00:00:00Z,$2550387
2019-09-29T00:00:00Z,$2535321
2019-09-28T00:00:00Z,$2479792
2019-09-27T00:00:00Z,$2506092
2019-09-26T00:00:00Z,$2402018
