time,TVL (USD)
2020-06-11T03:00:00Z,$137874980
2020-06-11T00:00:00Z,$137377165
2020-06-10T00:00:00Z,$139850879
2020-06-09T00:00:00Z,$134698721
2020-06-08T00:00:00Z,$131376272
2020-06-07T00:00:00Z,$131434458
2020-06-06T00:00:00Z,$131743302
2020-06-05T00:00:00Z,$126188321
2020-06-04T00:00:00Z,$124950833
2020-06-03T00:00:00Z,$122366154
2020-06-02T00:00:00Z,$124452869
2020-06-01T00:00:00Z,$122597367
2020-05-31T00:00:00Z,$122545695
2020-05-30T00:00:00Z,$115799771
2020-05-29T00:00:00Z,$116572117
2020-05-28T00:00:00Z,$116458967
2020-05-27T00:00:00Z,$123984053
2020-05-26T00:00:00Z,$125193952
2020-05-25T00:00:00Z,$120645263
2020-05-24T00:00:00Z,$121022097
2020-05-23T00:00:00Z,$123509410
2020-05-22T00:00:00Z,$116022107
2020-05-21T00:00:00Z,$118540977
2020-05-20T00:00:00Z,$125285401
2020-05-19T00:00:00Z,$117736117
2020-05-18T00:00:00Z,$116021295
2020-05-17T00:00:00Z,$117026177
2020-05-16T00:00:00Z,$116884906
2020-05-15T00:00:00Z,$116406337
2020-05-14T00:00:00Z,$115782073
2020-05-13T00:00:00Z,$114892498
2020-05-12T00:00:00Z,$115484256
2020-05-11T00:00:00Z,$117925147
2020-05-10T00:00:00Z,$124000897
2020-05-09T00:00:00Z,$125068146
2020-05-08T00:00:00Z,$125160108
2020-05-07T00:00:00Z,$127233056
2020-05-06T00:00:00Z,$117619453
2020-05-05T00:00:00Z,$112561294
2020-05-04T00:00:00Z,$115204969
2020-05-03T00:00:00Z,$117796481
2020-05-02T00:00:00Z,$116364346
2020-05-01T00:00:00Z,$111156782
2020-04-30T00:00:00Z,$124982497
2020-04-29T00:00:00Z,$112039604
2020-04-28T00:00:00Z,$110930896
2020-04-27T00:00:00Z,$99579539
2020-04-26T00:00:00Z,$93611214
2020-04-25T00:00:00Z,$98944644
2020-04-24T00:00:00Z,$104952994
2020-04-23T00:00:00Z,$112064194
2020-04-22T00:00:00Z,$108630394
2020-04-21T00:00:00Z,$104823389
2020-04-20T00:00:00Z,$106521604
2020-04-19T00:00:00Z,$108919610
2020-04-18T00:00:00Z,$104337523
2020-04-17T00:00:00Z,$103431341
2020-04-16T00:00:00Z,$95772001
2020-04-15T00:00:00Z,$98382239
2020-04-14T00:00:00Z,$99474506
2020-04-13T00:00:00Z,$100929897
2020-04-12T00:00:00Z,$97459613
2020-04-11T00:00:00Z,$98024882
2020-04-10T00:00:00Z,$105314431
2020-04-09T00:00:00Z,$110290395
2020-04-08T00:00:00Z,$107823783
2020-04-07T00:00:00Z,$100198107
2020-04-06T00:00:00Z,$92255564
2020-04-05T00:00:00Z,$91095362
2020-04-04T00:00:00Z,$91533246
2020-04-03T00:00:00Z,$90851249
2020-04-02T00:00:00Z,$89245625
2020-04-01T00:00:00Z,$85517987
2020-03-31T00:00:00Z,$80129880
2020-03-30T00:00:00Z,$75856026
2020-03-29T00:00:00Z,$77397734
2020-03-28T00:00:00Z,$77114467
2020-03-27T00:00:00Z,$80795040
2020-03-26T00:00:00Z,$81502763
2020-03-25T00:00:00Z,$72157171
2020-03-24T00:00:00Z,$66095216
2020-03-23T00:00:00Z,$65446580
2020-03-22T00:00:00Z,$70507897
2020-03-21T00:00:00Z,$70628091
2020-03-20T00:00:00Z,$71141265
2020-03-19T00:00:00Z,$63790865
2020-03-18T00:00:00Z,$68572176
2020-03-17T00:00:00Z,$64496489
2020-03-16T00:00:00Z,$63934741
2020-03-15T00:00:00Z,$67751044
2020-03-14T00:00:00Z,$85026479
2020-03-13T00:00:00Z,$55386260
2020-03-12T00:00:00Z,$110164961
2020-03-11T00:00:00Z,$105586045
2020-03-10T00:00:00Z,$105109170
2020-03-09T00:00:00Z,$85336280
2020-03-08T00:00:00Z,$101211892
2020-03-07T00:00:00Z,$103171059
2020-03-06T00:00:00Z,$105715985
2020-03-05T00:00:00Z,$117023695
2020-03-04T00:00:00Z,$104094556
2020-03-03T00:00:00Z,$122714282
2020-03-02T00:00:00Z,$111161311
2020-03-01T00:00:00Z,$122171285
2020-02-29T00:00:00Z,$121817644
2020-02-28T00:00:00Z,$125753574
2020-02-27T00:00:00Z,$109564593
2020-02-26T00:00:00Z,$120444426
2020-02-25T00:00:00Z,$131266828
2020-02-24T00:00:00Z,$135957368
2020-02-23T00:00:00Z,$135275447
2020-02-22T00:00:00Z,$136578390
2020-02-21T00:00:00Z,$132382294
2020-02-20T00:00:00Z,$127914441
2020-02-19T00:00:00Z,$135632601
2020-02-18T00:00:00Z,$136706431
2020-02-17T00:00:00Z,$127442123
2020-02-16T00:00:00Z,$128771699
2020-02-15T00:00:00Z,$133886724
2020-02-14T00:00:00Z,$124721557
2020-02-13T00:00:00Z,$138841865
2020-02-12T00:00:00Z,$139589924
2020-02-11T00:00:00Z,$133745278
2020-02-10T00:00:00Z,$120185679
2020-02-09T00:00:00Z,$140811230
2020-02-08T00:00:00Z,$138431143
2020-02-07T00:00:00Z,$150981299
2020-02-06T00:00:00Z,$154703322
2020-02-05T00:00:00Z,$161614768
2020-02-04T00:00:00Z,$154604188
2020-02-03T00:00:00Z,$158643390
2020-02-02T00:00:00Z,$158996584
2020-02-01T00:00:00Z,$157963607
2020-01-31T00:00:00Z,$159975642
2020-01-30T00:00:00Z,$147385260
2020-01-29T00:00:00Z,$156693110
2020-01-28T00:00:00Z,$147643581
2020-01-27T00:00:00Z,$140249015
2020-01-26T00:00:00Z,$135976558
2020-01-25T00:00:00Z,$128953507
2020-01-24T00:00:00Z,$137543236
2020-01-23T00:00:00Z,$143498795
2020-01-22T00:00:00Z,$146715732
2020-01-21T00:00:00Z,$143004466
2020-01-20T00:00:00Z,$134936828
2020-01-19T00:00:00Z,$142187427
2020-01-18T00:00:00Z,$140947462
2020-01-17T00:00:00Z,$138190847
2020-01-16T00:00:00Z,$133973229
2020-01-15T00:00:00Z,$144427639
2020-01-14T00:00:00Z,$137427331
2020-01-13T00:00:00Z,$112945926
2020-01-12T00:00:00Z,$108814847
2020-01-11T00:00:00Z,$125090286
2020-01-10T00:00:00Z,$121119742
2020-01-09T00:00:00Z,$129981450
2020-01-08T00:00:00Z,$140732775
2020-01-07T00:00:00Z,$127184637
2020-01-06T00:00:00Z,$156158965
2020-01-05T00:00:00Z,$160004250
2020-01-04T00:00:00Z,$158585823
2020-01-03T00:00:00Z,$154476873
2020-01-02T00:00:00Z,$170614550
2020-01-01T00:00:00Z,$168158017
2019-12-31T00:00:00Z,$169969318
2019-12-30T00:00:00Z,$175061966
2019-12-29T00:00:00Z,$168272759
2019-12-28T00:00:00Z,$172087516
2019-12-27T00:00:00Z,$169177482
2019-12-26T00:00:00Z,$173973373
2019-12-25T00:00:00Z,$172692355
2019-12-24T00:00:00Z,$173394187
2019-12-23T00:00:00Z,$177852307
2019-12-22T00:00:00Z,$173940794
2019-12-21T00:00:00Z,$172479977
2019-12-20T00:00:00Z,$167916073
2019-12-19T00:00:00Z,$172556463
2019-12-18T00:00:00Z,$162247104
2019-12-17T00:00:00Z,$165489295
2019-12-16T00:00:00Z,$169860003
2019-12-15T00:00:00Z,$170661357
2019-12-14T00:00:00Z,$170172808
2019-12-13T00:00:00Z,$169782985
2019-12-12T00:00:00Z,$166921492
2019-12-11T00:00:00Z,$160149288
2019-12-10T00:00:00Z,$166202980
2019-12-09T00:00:00Z,$165688331
2019-12-08T00:00:00Z,$169153283
2019-12-07T00:00:00Z,$162786356
2019-12-06T00:00:00Z,$160274061
2019-12-05T00:00:00Z,$164725113
2019-12-04T00:00:00Z,$176364705
2019-12-03T00:00:00Z,$168666282
2019-12-02T00:00:00Z,$163189417
2019-12-01T00:00:00Z,$178746057
2019-11-30T00:00:00Z,$175050950
2019-11-29T00:00:00Z,$179553714
2019-11-28T00:00:00Z,$177597913
2019-11-27T00:00:00Z,$167396777
2019-11-26T00:00:00Z,$166892493
2019-11-25T00:00:00Z,$153379475
2019-11-24T00:00:00Z,$145690297
2019-11-23T00:00:00Z,$144407755
2019-11-22T00:00:00Z,$138201531
2019-11-21T00:00:00Z,$145441740
2019-11-20T00:00:00Z,$137250506
2019-11-19T00:00:00Z,$124341531
2019-11-18T00:00:00Z,$122337773
2019-11-17T00:00:00Z,$106381262
2019-11-16T00:00:00Z,$103751356
2019-11-15T00:00:00Z,$103212861
2019-11-14T00:00:00Z,$104383185
2019-11-13T00:00:00Z,$100779887
2019-11-12T00:00:00Z,$99191152
2019-11-11T00:00:00Z,$94266551
2019-11-10T00:00:00Z,$100074495
2019-11-09T00:00:00Z,$98563493
2019-11-08T00:00:00Z,$98753844
2019-11-07T00:00:00Z,$96986077
2019-11-06T00:00:00Z,$92293904
2019-11-05T00:00:00Z,$91202584
2019-11-04T00:00:00Z,$89322039
2019-11-03T00:00:00Z,$90474503
2019-11-02T00:00:00Z,$90532208
2019-11-01T00:00:00Z,$90071039
2019-10-31T00:00:00Z,$90802607
2019-10-30T00:00:00Z,$93016310
2019-10-29T00:00:00Z,$88809317
2019-10-28T00:00:00Z,$92069597
2019-10-27T00:00:00Z,$88211500
2019-10-26T00:00:00Z,$95023700
2019-10-25T00:00:00Z,$86703782
2019-10-24T00:00:00Z,$84036910
2019-10-23T00:00:00Z,$76290959
2019-10-22T00:00:00Z,$74675059
2019-10-21T00:00:00Z,$71705148
2019-10-20T00:00:00Z,$69897181
2019-10-19T00:00:00Z,$67522769
2019-10-18T00:00:00Z,$68759926
2019-10-17T00:00:00Z,$61999792
2019-10-16T00:00:00Z,$60104284
