time,TVL (USD)
2020-06-11T03:00:00Z,$33139541
2020-06-11T00:00:00Z,$32791638
2020-06-10T00:00:00Z,$33007959
2020-06-09T00:00:00Z,$33656476
2020-06-08T00:00:00Z,$33852155
2020-06-07T00:00:00Z,$33689742
2020-06-06T00:00:00Z,$33558364
2020-06-05T00:00:00Z,$33701000
2020-06-04T00:00:00Z,$33529268
2020-06-03T00:00:00Z,$32940629
2020-06-02T00:00:00Z,$33842672
2020-06-01T00:00:00Z,$32497455
2020-05-31T00:00:00Z,$34019663
2020-05-30T00:00:00Z,$32441421
2020-05-29T00:00:00Z,$32611171
2020-05-28T00:00:00Z,$31493477
2020-05-27T00:00:00Z,$31196066
2020-05-26T00:00:00Z,$31644474
2020-05-25T00:00:00Z,$32253147
2020-05-24T00:00:00Z,$32576015
2020-05-23T00:00:00Z,$32877157
2020-05-22T00:00:00Z,$34419378
2020-05-21T00:00:00Z,$35519435
2020-05-20T00:00:00Z,$41979198
2020-05-19T00:00:00Z,$44389685
2020-05-18T00:00:00Z,$45746097
2020-05-17T00:00:00Z,$45159878
2020-05-16T00:00:00Z,$44619130
2020-05-15T00:00:00Z,$45648995
2020-05-14T00:00:00Z,$45554073
2020-05-13T00:00:00Z,$43548532
2020-05-12T00:00:00Z,$43497607
2020-05-11T00:00:00Z,$43541178
2020-05-10T00:00:00Z,$46010357
2020-05-09T00:00:00Z,$46181710
2020-05-08T00:00:00Z,$45203742
2020-05-07T00:00:00Z,$42330025
2020-05-06T00:00:00Z,$43367806
2020-05-05T00:00:00Z,$43990104
2020-05-04T00:00:00Z,$44298585
2020-05-03T00:00:00Z,$44557921
2020-05-02T00:00:00Z,$44392101
2020-05-01T00:00:00Z,$42671315
2020-04-30T00:00:00Z,$44843242
2020-04-29T00:00:00Z,$41840557
2020-04-28T00:00:00Z,$41851549
2020-04-27T00:00:00Z,$41839204
2020-04-26T00:00:00Z,$42048756
2020-04-25T00:00:00Z,$40959110
2020-04-24T00:00:00Z,$41011670
2020-04-23T00:00:00Z,$41495857
2020-04-22T00:00:00Z,$39378492
2020-04-21T00:00:00Z,$38651989
2020-04-20T00:00:00Z,$35465840
2020-04-19T00:00:00Z,$38437200
2020-04-18T00:00:00Z,$37183587
2020-04-17T00:00:00Z,$37745489
2020-04-16T00:00:00Z,$35297066
2020-04-15T00:00:00Z,$36160767
2020-04-14T00:00:00Z,$35097826
2020-04-13T00:00:00Z,$34673489
2020-04-12T00:00:00Z,$34746466
2020-04-11T00:00:00Z,$34373592
2020-04-10T00:00:00Z,$36240519
2020-04-09T00:00:00Z,$36659378
