time,TVL (USD)
2020-06-11T03:00:00Z,$32208
2020-06-11T00:00:00Z,$31795
2020-06-10T00:00:00Z,$31578
2020-06-09T00:00:00Z,$31879
2020-06-08T00:00:00Z,$31546
2020-06-07T00:00:00Z,$31210
2020-06-06T00:00:00Z,$31092
2020-06-05T00:00:00Z,$31347
2020-06-04T00:00:00Z,$31442
2020-06-03T00:00:00Z,$30709
2020-06-02T00:00:00Z,$31606
2020-06-01T00:00:00Z,$29975
2020-05-31T00:00:00Z,$31499
2020-05-30T00:00:00Z,$28418
2020-05-29T00:00:00Z,$28309
2020-05-28T00:00:00Z,$26856
2020-05-27T00:00:00Z,$26300
2020-05-26T00:00:00Z,$26839
2020-05-25T00:00:00Z,$26748
2020-05-24T00:00:00Z,$27225
2020-05-23T00:00:00Z,$27208
2020-05-22T00:00:00Z,$26131
2020-05-21T00:00:00Z,$27340
2020-05-20T00:00:00Z,$27778
2020-05-19T00:00:00Z,$27836
2020-05-18T00:00:00Z,$26844
2020-05-17T00:00:00Z,$26098
2020-05-16T00:00:00Z,$25357
2020-05-15T00:00:00Z,$26361
2020-05-14T00:00:00Z,$26010
2020-05-13T00:00:00Z,$24928
2020-05-12T00:00:00Z,$24281
2020-05-11T00:00:00Z,$24480
2020-05-10T00:00:00Z,$27204
2020-05-09T00:00:00Z,$27395
2020-05-08T00:00:00Z,$27438
2020-05-07T00:00:00Z,$25827
2020-05-06T00:00:00Z,$26678
2020-05-05T00:00:00Z,$26909
2020-05-04T00:00:00Z,$27347
2020-05-03T00:00:00Z,$27715
2020-05-02T00:00:00Z,$27642
2020-05-01T00:00:00Z,$26872
2020-04-30T00:00:00Z,$27914
2020-04-29T00:00:00Z,$25503
2020-04-28T00:00:00Z,$25490
2020-04-27T00:00:00Z,$25536
2020-04-26T00:00:00Z,$25243
2020-04-25T00:00:00Z,$24344
2020-04-24T00:00:00Z,$24050
2020-04-23T00:00:00Z,$23899
2020-04-22T00:00:00Z,$22543
2020-04-21T00:00:00Z,$22540
2020-04-20T00:00:00Z,$23684
2020-04-19T00:00:00Z,$24592
2020-04-18T00:00:00Z,$22441
2020-04-17T00:00:00Z,$22556
2020-04-16T00:00:00Z,$20318
2020-04-15T00:00:00Z,$20965
2020-04-14T00:00:00Z,$20462
2020-04-13T00:00:00Z,$20723
2020-04-12T00:00:00Z,$20763
2020-04-11T00:00:00Z,$20572
2020-04-10T00:00:00Z,$22124
2020-04-09T00:00:00Z,$22524
2020-04-08T00:00:00Z,$21451
2020-04-07T00:00:00Z,$22298
2020-04-06T00:00:00Z,$18693
2020-04-05T00:00:00Z,$18833
2020-04-04T00:00:00Z,$18419
2020-04-03T00:00:00Z,$18436
2020-04-02T00:00:00Z,$17735
2020-04-01T00:00:00Z,$17478
2020-03-31T00:00:00Z,$17277
2020-03-30T00:00:00Z,$16405
2020-03-29T00:00:00Z,$17215
2020-03-28T00:00:00Z,$17296
2020-03-27T00:00:00Z,$18224
2020-03-26T00:00:00Z,$17852
2020-03-25T00:00:00Z,$18181
2020-03-24T00:00:00Z,$17864
2020-03-23T00:00:00Z,$16195
2020-03-22T00:00:00Z,$17436
2020-03-21T00:00:00Z,$17488
2020-03-20T00:00:00Z,$17943
2020-03-19T00:00:00Z,$15636
2020-03-18T00:00:00Z,$15224
2020-03-17T00:00:00Z,$14649
2020-03-16T00:00:00Z,$16458
2020-03-15T00:00:00Z,$16197
2020-03-14T00:00:00Z,$17748
2020-03-13T00:00:00Z,$14269
2020-03-12T00:00:00Z,$25678
2020-03-11T00:00:00Z,$26382
2020-03-10T00:00:00Z,$26620
2020-03-09T00:00:00Z,$26302
2020-03-08T00:00:00Z,$31406
2020-03-07T00:00:00Z,$32254
2020-03-06T00:00:00Z,$30027
2020-03-05T00:00:00Z,$29698
2020-03-04T00:00:00Z,$29471
2020-03-03T00:00:00Z,$30585
2020-03-02T00:00:00Z,$28864
2020-03-01T00:00:00Z,$29046
2020-02-29T00:00:00Z,$29995
2020-02-28T00:00:00Z,$30035
2020-02-27T00:00:00Z,$29392
2020-02-26T00:00:00Z,$32427
2020-02-25T00:00:00Z,$34883
2020-02-24T00:00:00Z,$35944
2020-02-23T00:00:00Z,$34574
2020-02-22T00:00:00Z,$34835
2020-02-21T00:00:00Z,$33759
2020-02-20T00:00:00Z,$33904
2020-02-19T00:00:00Z,$36862
2020-02-18T00:00:00Z,$34941
2020-02-17T00:00:00Z,$33832
2020-02-16T00:00:00Z,$34570
2020-02-15T00:00:00Z,$37264
2020-02-14T00:00:00Z,$35005
2020-02-13T00:00:00Z,$34687
2020-02-12T00:00:00Z,$30948
2020-02-11T00:00:00Z,$29061
2020-02-10T00:00:00Z,$29787
2020-02-09T00:00:00Z,$29104
2020-02-08T00:00:00Z,$29094
2020-02-07T00:00:00Z,$27778
2020-02-06T00:00:00Z,$26593
2020-02-05T00:00:00Z,$24682
2020-02-04T00:00:00Z,$24755
2020-02-03T00:00:00Z,$24591
2020-02-02T00:00:00Z,$23951
2020-02-01T00:00:00Z,$23452
2020-01-31T00:00:00Z,$24065
2020-01-30T00:00:00Z,$22681
2020-01-29T00:00:00Z,$22921
2020-01-28T00:00:00Z,$22475
2020-01-27T00:00:00Z,$22247
2020-01-26T00:00:00Z,$21423
2020-01-25T00:00:00Z,$21615
2020-01-24T00:00:00Z,$21599
2020-01-23T00:00:00Z,$22377
2020-01-22T00:00:00Z,$22418
2020-01-21T00:00:00Z,$22116
2020-01-20T00:00:00Z,$22131
2020-01-19T00:00:00Z,$23074
2020-01-18T00:00:00Z,$22464
2020-01-17T00:00:00Z,$21754
2020-01-16T00:00:00Z,$21991
2020-01-15T00:00:00Z,$21939
2020-01-14T00:00:00Z,$19090
2020-01-13T00:00:00Z,$19444
2020-01-12T00:00:00Z,$18915
2020-01-11T00:00:00Z,$19221
2020-01-10T00:00:00Z,$18308
2020-01-09T00:00:00Z,$18650
2020-01-08T00:00:00Z,$18941
2020-01-07T00:00:00Z,$19149
2020-01-06T00:00:00Z,$18058
2020-01-05T00:00:00Z,$17916
2020-01-04T00:00:00Z,$17851
2020-01-03T00:00:00Z,$17033
2020-01-02T00:00:00Z,$17574
2020-01-01T00:00:00Z,$17354
2019-12-31T00:00:00Z,$17294
2019-12-30T00:00:00Z,$17725
2019-12-29T00:00:00Z,$16865
2019-12-28T00:00:00Z,$16595
2019-12-27T00:00:00Z,$16460
2019-12-26T00:00:00Z,$16444
2019-12-25T00:00:00Z,$16795
2019-12-24T00:00:00Z,$16788
2019-12-23T00:00:00Z,$17277
2019-12-22T00:00:00Z,$16872
2019-12-21T00:00:00Z,$16812
2019-12-20T00:00:00Z,$16765
2019-12-19T00:00:00Z,$17326
2019-12-18T00:00:00Z,$15940
2019-12-17T00:00:00Z,$17433
2019-12-16T00:00:00Z,$18704
2019-12-15T00:00:00Z,$18657
2019-12-14T00:00:00Z,$18932
2019-12-13T00:00:00Z,$19111
2019-12-12T00:00:00Z,$18970
2019-12-11T00:00:00Z,$19227
2019-12-10T00:00:00Z,$19377
2019-12-09T00:00:00Z,$19908
2019-12-08T00:00:00Z,$19581
2019-12-07T00:00:00Z,$19619
2019-12-06T00:00:00Z,$19565
2019-12-05T00:00:00Z,$19231
2019-12-04T00:00:00Z,$19515
2019-12-03T00:00:00Z,$19717
2019-12-02T00:00:00Z,$19977
2019-12-01T00:00:00Z,$20129
2019-11-30T00:00:00Z,$20463
2019-11-29T00:00:00Z,$19979
2019-11-28T00:00:00Z,$20280
2019-11-27T00:00:00Z,$19581
2019-11-26T00:00:00Z,$19343
2019-11-25T00:00:00Z,$18654
2019-11-24T00:00:00Z,$20267
2019-11-23T00:00:00Z,$19881
2019-11-22T00:00:00Z,$21264
2019-11-21T00:00:00Z,$23120
2019-11-20T00:00:00Z,$23267
2019-11-19T00:00:00Z,$23575
2019-11-18T00:00:00Z,$24481
2019-11-17T00:00:00Z,$24372
2019-11-16T00:00:00Z,$23895
2019-11-15T00:00:00Z,$24541
2019-11-14T00:00:00Z,$24993
2019-11-13T00:00:00Z,$24801
2019-11-12T00:00:00Z,$24517
2019-11-11T00:00:00Z,$25131
2019-11-10T00:00:00Z,$24698
2019-11-09T00:00:00Z,$24367
2019-11-08T00:00:00Z,$24781
2019-11-07T00:00:00Z,$25412
2019-11-06T00:00:00Z,$25118
2019-11-05T00:00:00Z,$24702
2019-11-04T00:00:00Z,$24315
2019-11-03T00:00:00Z,$24522
2019-11-02T00:00:00Z,$24398
2019-11-01T00:00:00Z,$24183
2019-10-31T00:00:00Z,$24364
2019-10-30T00:00:00Z,$25287
2019-10-29T00:00:00Z,$24133
2019-10-28T00:00:00Z,$24372
2019-10-27T00:00:00Z,$23779
2019-10-26T00:00:00Z,$24076
2019-10-25T00:00:00Z,$21574
2019-10-24T00:00:00Z,$21602
2019-10-23T00:00:00Z,$22885
2019-10-22T00:00:00Z,$23308
2019-10-21T00:00:00Z,$23786
2019-10-20T00:00:00Z,$23417
2019-10-19T00:00:00Z,$23359
2019-10-18T00:00:00Z,$24072
2019-10-17T00:00:00Z,$23746
2019-10-16T00:00:00Z,$24350
2019-10-15T00:00:00Z,$25291
2019-10-14T00:00:00Z,$24623
2019-10-13T00:00:00Z,$24582
2019-10-12T00:00:00Z,$24343
2019-10-11T00:00:00Z,$25872
2019-10-10T00:00:00Z,$25957
2019-10-09T00:00:00Z,$24374
2019-10-08T00:00:00Z,$24241
2019-10-07T00:00:00Z,$23079
2019-10-06T00:00:00Z,$24137
2019-10-05T00:00:00Z,$23718
2019-10-04T00:00:00Z,$23588
2019-10-03T00:00:00Z,$24403
2019-10-02T00:00:00Z,$23675
2019-10-01T00:00:00Z,$24312
2019-09-30T00:00:00Z,$23007
2019-09-29T00:00:00Z,$23602
2019-09-28T00:00:00Z,$23534
2019-09-27T00:00:00Z,$22333
2019-09-26T00:00:00Z,$22887
2019-09-25T00:00:00Z,$22339
2019-09-24T00:00:00Z,$27128
2019-09-23T00:00:00Z,$28503
2019-09-22T00:00:00Z,$29034
2019-09-21T00:00:00Z,$29323
2019-09-20T00:00:00Z,$29956
2019-09-19T00:00:00Z,$28554
2019-09-18T00:00:00Z,$28264
2019-09-17T00:00:00Z,$26934
2019-09-16T00:00:00Z,$25946
2019-09-15T00:00:00Z,$25674
2019-09-14T00:00:00Z,$24609
2019-09-13T00:00:00Z,$24529
2019-09-12T00:00:00Z,$24485
2019-09-11T00:00:00Z,$24724
2019-09-10T00:00:00Z,$24975
2019-09-09T00:00:00Z,$25136
2019-09-08T00:00:00Z,$24675
2019-09-07T00:00:00Z,$23546
2019-09-06T00:00:00Z,$24216
2019-09-05T00:00:00Z,$24340
2019-09-04T00:00:00Z,$24946
2019-09-03T00:00:00Z,$24900
2019-09-02T00:00:00Z,$23929
2019-09-01T00:00:00Z,$24251
2019-08-31T00:00:00Z,$23606
2019-08-30T00:00:00Z,$23656
2019-08-29T00:00:00Z,$24231
2019-08-28T00:00:00Z,$26269
2019-08-27T00:00:00Z,$26306
2019-08-26T00:00:00Z,$26156
2019-08-25T00:00:00Z,$26755
2019-08-24T00:00:00Z,$27270
2019-08-23T00:00:00Z,$26670
2019-08-22T00:00:00Z,$26173
2019-08-21T00:00:00Z,$27472
2019-08-20T00:00:00Z,$28342
2019-08-19T00:00:00Z,$27260
2019-08-18T00:00:00Z,$26844
2019-08-17T00:00:00Z,$26774
2019-08-16T00:00:00Z,$27214
2019-08-15T00:00:00Z,$26940
2019-08-14T00:00:00Z,$30106
2019-08-13T00:00:00Z,$30479
2019-08-12T00:00:00Z,$31333
2019-08-11T00:00:00Z,$29819
2019-08-10T00:00:00Z,$30543
2019-08-09T00:00:00Z,$32171
2019-08-08T00:00:00Z,$32828
2019-08-07T00:00:00Z,$32805
2019-08-06T00:00:00Z,$33825
2019-08-05T00:00:00Z,$32319
2019-08-04T00:00:00Z,$32247
2019-08-03T00:00:00Z,$31601
2019-08-02T00:00:00Z,$31622
2019-08-01T00:00:00Z,$31844
2019-07-31T00:00:00Z,$30641
2019-07-30T00:00:00Z,$30794
2019-07-29T00:00:00Z,$30813
2019-07-28T00:00:00Z,$30274
2019-07-27T00:00:00Z,$32067
2019-07-26T00:00:00Z,$32917
2019-07-25T00:00:00Z,$33096
2019-07-24T00:00:00Z,$32686
2019-07-23T00:00:00Z,$35974
2019-07-22T00:00:00Z,$41774
2019-07-21T00:00:00Z,$42443
2019-07-20T00:00:00Z,$41396
2019-07-19T00:00:00Z,$42225
2019-07-18T00:00:00Z,$39571
2019-07-17T00:00:00Z,$37275
2019-07-16T00:00:00Z,$45220
2019-07-15T00:00:00Z,$45774
2019-07-14T00:00:00Z,$55667
2019-07-13T00:00:00Z,$51896
2019-07-12T00:00:00Z,$58115
2019-07-11T00:00:00Z,$64240
2019-07-10T00:00:00Z,$68553
2019-07-09T00:00:00Z,$73080
2019-07-08T00:00:00Z,$70798
2019-07-07T00:00:00Z,$66833
2019-07-06T00:00:00Z,$66988
2019-07-05T00:00:00Z,$67360
2019-07-04T00:00:00Z,$71824
2019-07-03T00:00:00Z,$69405
2019-07-02T00:00:00Z,$70106
2019-07-01T00:00:00Z,$69031
2019-06-30T00:00:00Z,$75970
2019-06-29T00:00:00Z,$77447
2019-06-28T00:00:00Z,$73460
2019-06-27T00:00:00Z,$82766
2019-06-26T00:00:00Z,$78363
2019-06-25T00:00:00Z,$78053
2019-06-24T00:00:00Z,$77788
2019-06-23T00:00:00Z,$78442
2019-06-22T00:00:00Z,$75698
2019-06-21T00:00:00Z,$70320
2019-06-20T00:00:00Z,$68744
2019-06-19T00:00:00Z,$68249
2019-06-18T00:00:00Z,$70038
2019-06-17T00:00:00Z,$69047
2019-06-16T00:00:00Z,$70300
2019-06-15T00:00:00Z,$68997
2019-06-14T00:00:00Z,$67160
2019-06-13T00:00:00Z,$69185
2019-06-12T00:00:00Z,$65296
2019-06-11T00:00:00Z,$65883
