time,TVL (USD)
2020-06-11T03:00:00Z,$39322561
2020-06-11T00:00:00Z,$38868703
2020-06-10T00:00:00Z,$38769468
2020-06-09T00:00:00Z,$38775100
2020-06-08T00:00:00Z,$38521300
2020-06-07T00:00:00Z,$38190515
2020-06-06T00:00:00Z,$38196821
2020-06-05T00:00:00Z,$38111916
2020-06-04T00:00:00Z,$37537818
2020-06-03T00:00:00Z,$37154395
2020-06-02T00:00:00Z,$39126543
2020-06-01T00:00:00Z,$36381679
2020-05-31T00:00:00Z,$37298565
2020-05-30T00:00:00Z,$36118711
2020-05-29T00:00:00Z,$36623812
2020-05-28T00:00:00Z,$35280161
2020-05-27T00:00:00Z,$34454513
2020-05-26T00:00:00Z,$34710665
2020-05-25T00:00:00Z,$34609375
2020-05-24T00:00:00Z,$35890250
2020-05-23T00:00:00Z,$35713281
2020-05-22T00:00:00Z,$34835984
2020-05-21T00:00:00Z,$21893392
2020-05-20T00:00:00Z,$22377432
2020-05-19T00:00:00Z,$22281947
2020-05-18T00:00:00Z,$22175712
2020-05-17T00:00:00Z,$21582199
2020-05-16T00:00:00Z,$21439580
2020-05-15T00:00:00Z,$22445629
2020-05-14T00:00:00Z,$21441119
2020-05-13T00:00:00Z,$20454802
2020-05-12T00:00:00Z,$11182165
2020-05-11T00:00:00Z,$11373500
2020-05-10T00:00:00Z,$12327765
2020-05-09T00:00:00Z,$12681556
2020-05-08T00:00:00Z,$12345747
2020-05-07T00:00:00Z,$10287373
2020-05-06T00:00:00Z,$10150833
2020-05-05T00:00:00Z,$10011119
2020-05-04T00:00:00Z,$10038794
2020-05-03T00:00:00Z,$10066682
2020-05-02T00:00:00Z,$9964739
2020-05-01T00:00:00Z,$9738994
2020-04-30T00:00:00Z,$9851236
2020-04-29T00:00:00Z,$8704621
2020-04-28T00:00:00Z,$8312193
2020-04-27T00:00:00Z,$8195894
2020-04-26T00:00:00Z,$8072263
2020-04-25T00:00:00Z,$8025632
2020-04-24T00:00:00Z,$7989653
2020-04-23T00:00:00Z,$7675334
2020-04-22T00:00:00Z,$7444738
2020-04-21T00:00:00Z,$7449288
2020-04-20T00:00:00Z,$7717319
2020-04-19T00:00:00Z,$7837963
2020-04-18T00:00:00Z,$7614134
2020-04-17T00:00:00Z,$7657135
2020-04-16T00:00:00Z,$7254715
2020-04-15T00:00:00Z,$7484871
2020-04-14T00:00:00Z,$7377875
2020-04-13T00:00:00Z,$7331552
2020-04-12T00:00:00Z,$7330708
2020-04-11T00:00:00Z,$7263397
2020-04-10T00:00:00Z,$7606949
2020-04-09T00:00:00Z,$7669444
2020-04-08T00:00:00Z,$7511217
2020-04-07T00:00:00Z,$7238714
2020-04-06T00:00:00Z,$6732808
2020-04-05T00:00:00Z,$6795522
2020-04-04T00:00:00Z,$6665325
2020-04-03T00:00:00Z,$6727693
2020-04-02T00:00:00Z,$6586260
2020-04-01T00:00:00Z,$6335500
2020-03-31T00:00:00Z,$6145403
2020-03-30T00:00:00Z,$5697909
2020-03-29T00:00:00Z,$6027365
2020-03-28T00:00:00Z,$6162538
2020-03-27T00:00:00Z,$6521530
2020-03-26T00:00:00Z,$6441581
2020-03-25T00:00:00Z,$6470623
2020-03-24T00:00:00Z,$6216171
2020-03-23T00:00:00Z,$5616958
2020-03-22T00:00:00Z,$5923459
2020-03-21T00:00:00Z,$5916546
2020-03-20T00:00:00Z,$5528063
2020-03-19T00:00:00Z,$4869212
2020-03-18T00:00:00Z,$4764543
2020-03-17T00:00:00Z,$4527954
2020-03-16T00:00:00Z,$4830948
2020-03-15T00:00:00Z,$4665221
2020-03-14T00:00:00Z,$5033160
2020-03-13T00:00:00Z,$4361480
2020-03-12T00:00:00Z,$7138083
2020-03-11T00:00:00Z,$7076108
2020-03-10T00:00:00Z,$7058731
2020-03-09T00:00:00Z,$7202439
2020-03-08T00:00:00Z,$7977363
2020-03-07T00:00:00Z,$8147016
2020-03-06T00:00:00Z,$8078408
2020-03-05T00:00:00Z,$7894178
2020-03-04T00:00:00Z,$7853214
2020-03-03T00:00:00Z,$7996993
2020-03-02T00:00:00Z,$7701372
2020-03-01T00:00:00Z,$7764031
2020-02-29T00:00:00Z,$7827844
2020-02-28T00:00:00Z,$7929300
2020-02-27T00:00:00Z,$7853776
2020-02-26T00:00:00Z,$8328229
2020-02-25T00:00:00Z,$8639931
2020-02-24T00:00:00Z,$8850720
