time,TVL (USD)
2020-06-11T03:00:00Z,$1649874
2020-06-11T00:00:00Z,$1633301
2020-06-10T00:00:00Z,$1632716
2020-06-09T00:00:00Z,$1618776
2020-06-08T00:00:00Z,$1599948
2020-06-07T00:00:00Z,$1577162
2020-06-06T00:00:00Z,$1568668
2020-06-05T00:00:00Z,$1577553
2020-06-04T00:00:00Z,$1581777
2020-06-03T00:00:00Z,$1554935
2020-06-02T00:00:00Z,$1617836
2020-06-01T00:00:00Z,$1560293
2020-05-31T00:00:00Z,$1623865
2020-05-30T00:00:00Z,$1499472
2020-05-29T00:00:00Z,$1476540
2020-05-28T00:00:00Z,$1417928
2020-05-27T00:00:00Z,$1415303
2020-05-26T00:00:00Z,$1430498
2020-05-25T00:00:00Z,$1425379
2020-05-24T00:00:00Z,$1451861
2020-05-23T00:00:00Z,$1477120
2020-05-22T00:00:00Z,$1599600
2020-05-21T00:00:00Z,$1662927
2020-05-20T00:00:00Z,$1669722
2020-05-19T00:00:00Z,$1667785
2020-05-18T00:00:00Z,$1632370
2020-05-17T00:00:00Z,$2556214
2020-05-16T00:00:00Z,$2896965
2020-05-15T00:00:00Z,$2999493
2020-05-14T00:00:00Z,$2980198
2020-05-13T00:00:00Z,$2870524
2020-05-12T00:00:00Z,$2809495
2020-05-11T00:00:00Z,$2849173
2020-05-10T00:00:00Z,$3085732
2020-05-09T00:00:00Z,$3091881
2020-05-08T00:00:00Z,$3093573
2020-05-07T00:00:00Z,$2948127
2020-05-06T00:00:00Z,$3021309
2020-05-05T00:00:00Z,$3044978
2020-05-04T00:00:00Z,$3079785
2020-05-03T00:00:00Z,$3116966
2020-05-02T00:00:00Z,$3107722
2020-05-01T00:00:00Z,$3029195
2020-04-30T00:00:00Z,$3150252
2020-04-29T00:00:00Z,$2932048
2020-04-28T00:00:00Z,$2940053
2020-04-27T00:00:00Z,$2913575
2020-04-26T00:00:00Z,$2942899
2020-04-25T00:00:00Z,$2880132
2020-04-24T00:00:00Z,$2857115
2020-04-23T00:00:00Z,$2849672
2020-04-22T00:00:00Z,$2723669
2020-04-21T00:00:00Z,$2755801
2020-04-20T00:00:00Z,$2875738
2020-04-19T00:00:00Z,$3054254
2020-04-18T00:00:00Z,$2862429
2020-04-17T00:00:00Z,$2875470
2020-04-16T00:00:00Z,$2659387
2020-04-15T00:00:00Z,$2728567
2020-04-14T00:00:00Z,$2763767
2020-04-13T00:00:00Z,$2811573
2020-04-12T00:00:00Z,$2800609
2020-04-11T00:00:00Z,$2771422
2020-04-10T00:00:00Z,$2911682
2020-04-09T00:00:00Z,$2954091
2020-04-08T00:00:00Z,$2823067
2020-04-07T00:00:00Z,$2980983
2020-04-06T00:00:00Z,$2632834
2020-04-05T00:00:00Z,$2558964
2020-04-04T00:00:00Z,$2499981
2020-04-03T00:00:00Z,$2610237
2020-04-02T00:00:00Z,$2723149
2020-04-01T00:00:00Z,$1998357
2020-03-31T00:00:00Z,$2139076
2020-03-30T00:00:00Z,$2075878
2020-03-29T00:00:00Z,$2249246
2020-03-28T00:00:00Z,$2373961
2020-03-27T00:00:00Z,$2410488
2020-03-26T00:00:00Z,$2547759
2020-03-25T00:00:00Z,$3261216
2020-03-24T00:00:00Z,$3299352
2020-03-23T00:00:00Z,$3066623
2020-03-22T00:00:00Z,$3702580
2020-03-21T00:00:00Z,$3802865
2020-03-20T00:00:00Z,$4208963
2020-03-19T00:00:00Z,$3900648
2020-03-18T00:00:00Z,$4017097
2020-03-17T00:00:00Z,$3143948
2020-03-16T00:00:00Z,$3855093
2020-03-15T00:00:00Z,$4602393
