time,TVL (USD)
2020-06-11T03:00:00Z,$2499168
2020-06-11T00:00:00Z,$2496112
2020-06-10T00:00:00Z,$2510926
2020-06-09T00:00:00Z,$2501124
2020-06-08T00:00:00Z,$2517145
2020-06-07T00:00:00Z,$2490229
2020-06-06T00:00:00Z,$2370378
2020-06-05T00:00:00Z,$2471851
2020-06-04T00:00:00Z,$2467596
2020-06-03T00:00:00Z,$2481110
2020-06-02T00:00:00Z,$2477479
2020-06-01T00:00:00Z,$2494793
2020-05-31T00:00:00Z,$2503308
2020-05-30T00:00:00Z,$2508850
2020-05-29T00:00:00Z,$2506022
2020-05-28T00:00:00Z,$2511918
2020-05-27T00:00:00Z,$2518411
2020-05-26T00:00:00Z,$2511017
2020-05-25T00:00:00Z,$2561443
2020-05-24T00:00:00Z,$2518900
2020-05-23T00:00:00Z,$2493500
2020-05-22T00:00:00Z,$2510141
2020-05-21T00:00:00Z,$2478984
2020-05-20T00:00:00Z,$2497871
2020-05-19T00:00:00Z,$2518642
2020-05-18T00:00:00Z,$2501375
2020-05-17T00:00:00Z,$2498069
2020-05-16T00:00:00Z,$2489489
2020-05-15T00:00:00Z,$2487236
2020-05-14T00:00:00Z,$2536910
2020-05-13T00:00:00Z,$2525885
2020-05-12T00:00:00Z,$2515719
2020-05-11T00:00:00Z,$2478627
2020-05-10T00:00:00Z,$2535650
2020-05-09T00:00:00Z,$2528538
2020-05-08T00:00:00Z,$2653234
2020-05-07T00:00:00Z,$2710888
2020-05-06T00:00:00Z,$2712303
2020-05-05T00:00:00Z,$2730111
2020-05-04T00:00:00Z,$2730819
2020-05-03T00:00:00Z,$2714242
2020-05-02T00:00:00Z,$2728298
2020-05-01T00:00:00Z,$2617643
2020-04-30T00:00:00Z,$2743589
2020-04-29T00:00:00Z,$2719024
2020-04-28T00:00:00Z,$269593
2020-04-27T00:00:00Z,$224003
2020-04-26T00:00:00Z,$269444
2020-04-25T00:00:00Z,$265169
2020-04-24T00:00:00Z,$271919
2020-04-23T00:00:00Z,$273720
2020-04-22T00:00:00Z,$270138
2020-04-21T00:00:00Z,$271128
2020-04-20T00:00:00Z,$277418
2020-04-19T00:00:00Z,$269805
2020-04-18T00:00:00Z,$270115
2020-04-17T00:00:00Z,$271772
2020-04-16T00:00:00Z,$275404
2020-04-15T00:00:00Z,$271546
2020-04-14T00:00:00Z,$270023
2020-04-13T00:00:00Z,$275292
2020-04-12T00:00:00Z,$270831
2020-04-11T00:00:00Z,$269012
2020-04-10T00:00:00Z,$268406
2020-04-09T00:00:00Z,$270566
2020-04-08T00:00:00Z,$269662
2020-04-07T00:00:00Z,$269501
2020-04-06T00:00:00Z,$271547
2020-04-05T00:00:00Z,$272486
2020-04-04T00:00:00Z,$268763
2020-04-03T00:00:00Z,$272486
2020-04-02T00:00:00Z,$273427
2020-04-01T00:00:00Z,$269273
