time,TVL (USD)
2020-06-11T03:00:00Z,$34813063
2020-06-11T00:00:00Z,$34427801
2020-06-10T00:00:00Z,$33100443
2020-06-09T00:00:00Z,$33244378
2020-06-08T00:00:00Z,$32569544
2020-06-07T00:00:00Z,$32265366
2020-06-06T00:00:00Z,$31264034
2020-06-05T00:00:00Z,$32044565
2020-06-04T00:00:00Z,$31555316
2020-06-03T00:00:00Z,$31768096
2020-06-02T00:00:00Z,$30501765
2020-06-01T00:00:00Z,$30589892
2020-05-31T00:00:00Z,$31313710
2020-05-30T00:00:00Z,$29773379
2020-05-29T00:00:00Z,$29442694
2020-05-28T00:00:00Z,$28610129
2020-05-27T00:00:00Z,$28010925
2020-05-26T00:00:00Z,$28778979
2020-05-25T00:00:00Z,$29141966
2020-05-24T00:00:00Z,$28703009
2020-05-23T00:00:00Z,$28163191
2020-05-22T00:00:00Z,$27240434
2020-05-21T00:00:00Z,$27918712
2020-05-20T00:00:00Z,$27802465
2020-05-19T00:00:00Z,$28028554
2020-05-18T00:00:00Z,$27439384
2020-05-17T00:00:00Z,$26651419
2020-05-16T00:00:00Z,$25665644
2020-05-15T00:00:00Z,$26482742
2020-05-14T00:00:00Z,$26248595
2020-05-13T00:00:00Z,$25585046
2020-05-12T00:00:00Z,$25586112
2020-05-11T00:00:00Z,$25718085
2020-05-10T00:00:00Z,$27204815
2020-05-09T00:00:00Z,$27283723
2020-05-08T00:00:00Z,$26740917
2020-05-07T00:00:00Z,$24872743
2020-05-06T00:00:00Z,$25101060
2020-05-05T00:00:00Z,$24640814
2020-05-04T00:00:00Z,$23012176
2020-05-03T00:00:00Z,$24272100
2020-05-02T00:00:00Z,$23885000
2020-05-01T00:00:00Z,$23430901
2020-04-30T00:00:00Z,$25061398
2020-04-29T00:00:00Z,$23748683
2020-04-28T00:00:00Z,$23691317
2020-04-27T00:00:00Z,$20626566
2020-04-26T00:00:00Z,$22849814
2020-04-25T00:00:00Z,$22032142
2020-04-24T00:00:00Z,$22367867
2020-04-23T00:00:00Z,$22311900
2020-04-22T00:00:00Z,$22000972
2020-04-21T00:00:00Z,$21911800
2020-04-20T00:00:00Z,$23063495
2020-04-19T00:00:00Z,$24512180
2020-04-18T00:00:00Z,$24165046
2020-04-17T00:00:00Z,$25160405
2020-04-16T00:00:00Z,$23434691
2020-04-15T00:00:00Z,$23777693
2020-04-14T00:00:00Z,$23389997
2020-04-13T00:00:00Z,$24308700
2020-04-12T00:00:00Z,$23759757
2020-04-11T00:00:00Z,$23217354
2020-04-10T00:00:00Z,$23206755
2020-04-09T00:00:00Z,$23195990
2020-04-08T00:00:00Z,$22175781
2020-04-07T00:00:00Z,$21301725
2020-04-06T00:00:00Z,$19618445
2020-04-05T00:00:00Z,$20464289
2020-04-04T00:00:00Z,$19824686
2020-04-03T00:00:00Z,$19450264
2020-04-02T00:00:00Z,$20884110
2020-04-01T00:00:00Z,$20000337
2020-03-31T00:00:00Z,$19844965
2020-03-30T00:00:00Z,$18977927
2020-03-29T00:00:00Z,$19789671
2020-03-28T00:00:00Z,$20052758
2020-03-27T00:00:00Z,$20980087
2020-03-26T00:00:00Z,$20522912
2020-03-25T00:00:00Z,$21556817
2020-03-24T00:00:00Z,$20853130
2020-03-23T00:00:00Z,$20173981
2020-03-22T00:00:00Z,$28243934
2020-03-21T00:00:00Z,$20217911
2020-03-20T00:00:00Z,$20586638
