time,TVL (USD)
2020-06-11T03:00:00Z,$45754
2020-06-11T00:00:00Z,$45596
2020-06-10T00:00:00Z,$45507
2020-06-09T00:00:00Z,$45439
2020-06-08T00:00:00Z,$45685
2020-06-07T00:00:00Z,$45193
2020-06-06T00:00:00Z,$45220
2020-06-05T00:00:00Z,$45377
2020-06-04T00:00:00Z,$44945
2020-06-03T00:00:00Z,$44593
2020-06-02T00:00:00Z,$45676
2020-06-01T00:00:00Z,$44442
2020-05-31T00:00:00Z,$45136
2020-05-30T00:00:00Z,$44123
2020-05-29T00:00:00Z,$45117
2020-05-28T00:00:00Z,$44983
2020-05-27T00:00:00Z,$44540
2020-05-26T00:00:00Z,$64297
2020-05-25T00:00:00Z,$68737
2020-05-24T00:00:00Z,$69868
2020-05-23T00:00:00Z,$70131
2020-05-22T00:00:00Z,$69248
2020-05-21T00:00:00Z,$69608
2020-05-20T00:00:00Z,$68988
2020-05-19T00:00:00Z,$69232
2020-05-18T00:00:00Z,$67490
2020-05-17T00:00:00Z,$68181
2020-05-16T00:00:00Z,$66901
2020-05-15T00:00:00Z,$67863
2020-05-14T00:00:00Z,$69039
2020-05-13T00:00:00Z,$67419
2020-05-12T00:00:00Z,$66986
2020-05-11T00:00:00Z,$67686
2020-05-10T00:00:00Z,$62168
2020-05-09T00:00:00Z,$62347
2020-05-08T00:00:00Z,$62157
2020-05-07T00:00:00Z,$61636
2020-05-06T00:00:00Z,$61783
2020-05-05T00:00:00Z,$61488
2020-05-04T00:00:00Z,$60691
2020-05-03T00:00:00Z,$61370
2020-05-02T00:00:00Z,$61176
2020-05-01T00:00:00Z,$60896
2020-04-30T00:00:00Z,$62055
2020-04-29T00:00:00Z,$60916
2020-04-28T00:00:00Z,$61176
2020-04-27T00:00:00Z,$61494
2020-04-26T00:00:00Z,$62031
2020-04-25T00:00:00Z,$61739
2020-04-24T00:00:00Z,$60706
2020-04-23T00:00:00Z,$61763
2020-04-22T00:00:00Z,$61358
2020-04-21T00:00:00Z,$60227
2020-04-20T00:00:00Z,$61434
2020-04-19T00:00:00Z,$61465
2020-04-18T00:00:00Z,$61546
2020-04-17T00:00:00Z,$61707
2020-04-16T00:00:00Z,$59872
2020-04-15T00:00:00Z,$60539
2020-04-14T00:00:00Z,$61511
2020-04-13T00:00:00Z,$61595
2020-04-12T00:00:00Z,$60935
2020-04-11T00:00:00Z,$60585
2020-04-10T00:00:00Z,$61674
2020-04-09T00:00:00Z,$61612
2020-04-08T00:00:00Z,$61305
2020-04-07T00:00:00Z,$63521
2020-04-06T00:00:00Z,$61123
2020-04-05T00:00:00Z,$61457
2020-04-04T00:00:00Z,$60867
2020-04-03T00:00:00Z,$61487
2020-04-02T00:00:00Z,$41458
2020-04-01T00:00:00Z,$40818
2020-03-31T00:00:00Z,$41151
2020-03-30T00:00:00Z,$39530
2020-03-29T00:00:00Z,$40330
2020-03-28T00:00:00Z,$40233
2020-03-27T00:00:00Z,$40782
2020-03-26T00:00:00Z,$40212
2020-03-25T00:00:00Z,$40049
2020-03-24T00:00:00Z,$41333
2020-03-23T00:00:00Z,$38610
2020-03-22T00:00:00Z,$40114
2020-03-21T00:00:00Z,$39313
2020-03-20T00:00:00Z,$41391
2020-03-19T00:00:00Z,$40245
2020-03-18T00:00:00Z,$40035
2020-03-17T00:00:00Z,$41502
2020-03-16T00:00:00Z,$41794
2020-03-15T00:00:00Z,$40191
2020-03-14T00:00:00Z,$43883
2020-03-13T00:00:00Z,$42230
2020-03-12T00:00:00Z,$40221
2020-03-11T00:00:00Z,$39504
2020-03-10T00:00:00Z,$39847
2020-03-09T00:00:00Z,$38811
2020-03-08T00:00:00Z,$39463
2020-03-07T00:00:00Z,$40354
2020-03-06T00:00:00Z,$39938
2020-03-05T00:00:00Z,$39570
2020-03-04T00:00:00Z,$39415
2020-03-03T00:00:00Z,$39483
2020-03-02T00:00:00Z,$39113
2020-03-01T00:00:00Z,$39138
2020-02-29T00:00:00Z,$39553
2020-02-28T00:00:00Z,$38908
2020-02-27T00:00:00Z,$39032
2020-02-26T00:00:00Z,$38314
2020-02-25T00:00:00Z,$38460
2020-02-24T00:00:00Z,$39444
2020-02-23T00:00:00Z,$38825
2020-02-22T00:00:00Z,$38979
2020-02-21T00:00:00Z,$38440
2020-02-20T00:00:00Z,$37621
2020-02-19T00:00:00Z,$39890
2020-02-18T00:00:00Z,$39058
2020-02-17T00:00:00Z,$37327
2020-02-16T00:00:00Z,$36989
2020-02-15T00:00:00Z,$38045
2020-02-14T00:00:00Z,$38163
2020-02-13T00:00:00Z,$38916
2020-02-12T00:00:00Z,$38645
2020-02-11T00:00:00Z,$38268
2020-02-10T00:00:00Z,$39072
2020-02-09T00:00:00Z,$39123
2020-02-08T00:00:00Z,$38333
2020-02-07T00:00:00Z,$38099
2020-02-06T00:00:00Z,$38870
2020-02-05T00:00:00Z,$38423
2020-02-04T00:00:00Z,$38212
2020-02-03T00:00:00Z,$38109
2020-02-02T00:00:00Z,$38648
2020-02-01T00:00:00Z,$38354
2020-01-31T00:00:00Z,$38639
2020-01-30T00:00:00Z,$38069
2020-01-29T00:00:00Z,$39477
2020-01-28T00:00:00Z,$39206
2020-01-27T00:00:00Z,$38844
2020-01-26T00:00:00Z,$37693
2020-01-25T00:00:00Z,$38026
2020-01-24T00:00:00Z,$37787
2020-01-23T00:00:00Z,$38018
2020-01-22T00:00:00Z,$37589
2020-01-21T00:00:00Z,$36962
2020-01-20T00:00:00Z,$36788
2020-01-19T00:00:00Z,$37277
2020-01-18T00:00:00Z,$37342
2020-01-17T00:00:00Z,$36552
2020-01-16T00:00:00Z,$36840
2020-01-15T00:00:00Z,$37175
2020-01-14T00:00:00Z,$37123
2020-01-13T00:00:00Z,$37102
2020-01-12T00:00:00Z,$37051
2020-01-11T00:00:00Z,$36830
2020-01-10T00:00:00Z,$36952
2020-01-09T00:00:00Z,$36820
2020-01-08T00:00:00Z,$36556
2020-01-07T00:00:00Z,$37344
2020-01-06T00:00:00Z,$37436
2020-01-05T00:00:00Z,$37463
2020-01-04T00:00:00Z,$37175
2020-01-03T00:00:00Z,$37214
2020-01-02T00:00:00Z,$37239
2020-01-01T00:00:00Z,$37182
2019-12-31T00:00:00Z,$37535
2019-12-30T00:00:00Z,$37475
2019-12-29T00:00:00Z,$37434
2019-12-28T00:00:00Z,$37405
2019-12-27T00:00:00Z,$37196
2019-12-26T00:00:00Z,$37433
2019-12-25T00:00:00Z,$37338
2019-12-24T00:00:00Z,$36895
2019-12-23T00:00:00Z,$37255
2019-12-22T00:00:00Z,$37236
2019-12-21T00:00:00Z,$37595
2019-12-20T00:00:00Z,$37564
2019-12-19T00:00:00Z,$37170
